Dealer Name: Donner Honda
Address:     9484 Ford Parkwark
             Hinds, NC
Dealer ID:   14
Owner:       Donner, Earl
Date:        Thu, Jan 15, 2010 thru Wed, Jan 21, 2010  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH154SU182X33ABA4  Odyssey      2010  28651  32375  Hart, Leona             Sat, Jan 17, 2010       D14-13-05 
 JH158S4182X371216  Odyssey      2010  40133  41375  Hart, Leona             Thu, Jan 15, 2010       D14-13-05 
 JJ16AF1172X3X7878  Pilot        2010  39451  41970  Dixon, Alfredo          Sat, Jan 17, 2010       D14-13-02 
 JH155FU172X34BCCX  Odyssey      2010  43759  47825  Carr, Geraldine         Sat, Jan 17, 2010       D14-13-08 
 JB121S12A2X371222  Civic        2010  15796  16455  Rose, Terrance          Thu, Jan 15, 2010       D14-13-06 
 JD137FU122X329AA4  CR-Z         2010  23648  25705  Rose, Terrance          Sat, Jan 17, 2010       D14-13-06 
 JB123H1582X35CXX6  Civic        2010  24840  27600  Reid, Danielle          Fri, Jan 16, 2010       D14-13-03 
 JB13ASU412X329AA8  Civic        2010  22662  23855  Reynolds, Alan          Mon, Jan 19, 2010       D14-13-01 
 JA111S1302X35CX1X  Accord       2010  20569  22480  Dixon, Alfredo          Sat, Jan 17, 2010       D14-13-02 
 JC131F1102X3X7892  CR-V         2010  29290  30995  Carr, Geraldine         Thu, Jan 15, 2010       D14-13-08 
 JB127S1372X371234  Civic        2010  14739  16655  Dixon, Alfredo          Thu, Jan 15, 2010       D14-13-02 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JE145F418V44X7643  Crosstour   2005  41394  46640  Hart, Leona             Fri, Jan 16, 2010       D14-13-05 
 JH153FU181X13A975  Odyssey     2009  36660  45825  Dixon, Alfredo          Thu, Jan 15, 2010       D14-13-02 
 JG148F115X446XCA7  Insight     2007  15752  24390  Edwards, Heather        Thu, Jan 15, 2010       D14-13-04 
 JC131F111V1318759  CR-V        2005  15799  30995  Carr, Geraldine         Thu, Jan 15, 2010       D14-13-08 
 JG148F118W153A981  Insight     2006  14703  24390  Carr, Geraldine         Thu, Jan 15, 2010       D14-13-08 
 JB127S1362X23A983  Civic        2010  15276  16655  Hart, Leona             Thu, Jan 15, 2010       D14-13-05 
 JH156S319T224BA95  Odyssey     2004  11700  30375  Carr, Geraldine         Thu, Jan 15, 2010       D14-13-08 
 JD14AF414X365CBA7  CR-Z        2007  21881  33705  Carr, Geraldine         Sun, Jan 18, 2010       D14-13-08 
