Dealer Name: Lance Honda
Address:     1136 Brooklin Ave
             Norbert, FL
Dealer ID:   17
Owner:       Lance, Samuel
Date:        Thu, Jan 15, 2010 thru Wed, Jan 21, 2010  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JK165F1142X318A78  Ridgeline    2010  43477  46750  Baker, Lynn             Thu, Jan 15, 2010       D17-16-08 
 JB121S1202X318A8X  Civic        2010  15632  16455  Rodriguez, Mathew       Tue, Jan 20, 2010       D17-16-06 
 JB127S1392X329B92  Civic        2010  14989  16655  Cole, Peter             Mon, Jan 19, 2010       D17-16-02 
 JA116FU382X318A84  Accord       2010  33594  35930  Herrera, Nina           Mon, Jan 19, 2010       D17-16-03 
 JB127S13A2X318A86  Civic        2010  15322  16655  Morris, Bobbie          Sun, Jan 18, 2010       D17-16-05 
 JE144F3112X3X7978  Crosstour    2010  34389  38640  Morris, Bobbie          Sun, Jan 18, 2010       D17-16-05 
 JJ163F3152X33ACBX  Pilot        2010  38673  42970  Medina, Emily           Sat, Jan 17, 2010       D17-16-07 
 JA115SU322X318A92  Accord       2010  23059  25480  Herrera, Nina           Tue, Jan 20, 2010       D17-16-03 
 JB121S12A2X329BA4  Civic        2010  15632  16455  Hansen, Ralph           Tue, Jan 20, 2010       D17-16-09 
 JA111S1342X36X216  Accord       2010  20344  22480  Lambert, Anita          Mon, Jan 19, 2010       D17-16-01 
 JB121S12A2X36X218  Civic        2010  14562  16455  West, Sally             Tue, Jan 20, 2010       D17-16-04 
 JH155FU142X3X799X  Odyssey      2010  44716  47825  Herrera, Nina           Fri, Jan 16, 2010       D17-16-03 
 JB127S1322X35C112  Civic        2010  16072  16655  West, Sally             Sat, Jan 17, 2010       D17-16-04 
 JH153FU112X36X224  Odyssey      2010  42388  45825  Rodriguez, Mathew       Tue, Jan 20, 2010       D17-16-06 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB13ASU48W3729951  Civic       2006  14371  23855  Medina, Emily           Thu, Jan 15, 2010       D17-16-07 
 JB127S130X1929953  Civic       2007  10662  16655  Baker, Lynn             Tue, Jan 20, 2010       D17-16-08 
 JH154SU16149711A5  Odyssey     2009  26223  32375  Rodriguez, Mathew       Wed, Jan 21, 2010       D17-16-06 
 JE141F11AY2818847  Crosstour   2008  27462  37640  Baker, Lynn             Sun, Jan 18, 2010       D17-16-08 
 JK169F41A1394BB79  Ridgeline   2009  46412  58750  Baker, Lynn             Sat, Jan 17, 2010       D17-16-08 
 JB127S135W163AA71  Civic       2006  9907   16655  Herrera, Nina           Sat, Jan 17, 2010       D17-16-03 
 JB121S12A2X15CC93  Civic        2010  15095  16455  Medina, Emily           Wed, Jan 21, 2010       D17-16-07 
 JH155FU17X273AA75  Odyssey     2007  30320  47825  West, Sally             Wed, Jan 21, 2010       D17-16-04 
 JH156S312X5P6XXA7  Odyssey     2007  19690  30375  West, Sally             Thu, Jan 15, 2010       D17-16-04 
 JB123H156X1418859  Civic       2007  17864  27600  Medina, Emily           Wed, Jan 21, 2010       D17-16-07 
 JB127S138W163AA81  Civic       2006  9588   16655  Medina, Emily           Tue, Jan 20, 2010       D17-16-07 
 JH157F318W113AA83  Odyssey     2006  27993  45825  Herrera, Nina           Sat, Jan 17, 2010       D17-16-03 
 JB128SU37Y235CCA5  Civic       2008  12646  17455  Herrera, Nina           Fri, Jan 16, 2010       D17-16-03 
 JB129S141WX2711C7  Civic       2006  13875  23055  Lambert, Anita          Thu, Jan 15, 2010       D17-16-01 
 JB127S136XX229979  Civic       2007  10662  16655  Rodriguez, Mathew       Sat, Jan 17, 2010       D17-16-06 
 JB129S146V13711X1  Civic       2005  11631  23055  Rodriguez, Mathew       Sun, Jan 18, 2010       D17-16-06 
 JC133FU1012P6XXC3  CR-V        2009  27196  33995  West, Sally             Sat, Jan 17, 2010       D17-16-04 
 JE142FU1AX1218875  Crosstour   2007  24441  38640  Herrera, Nina           Sun, Jan 18, 2010       D17-16-03 
 JD136F114X473AA97  CR-Z        2007  15959  24705  Medina, Emily           Wed, Jan 21, 2010       D17-16-07 
