Dealer Name: State Honda
Address:     1322 Centerville Road
             Louderdale, FL
Dealer ID:   30
Owner:       Samuels, Sammy
Date:        Thu, Feb 12, 2010 thru Wed, Feb 18, 2010  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JC132FU182X772AB2  CR-V         2010  30715  31995  Romero, Floyd           Sun, Feb 15, 2010       D30-26-01 
 JB121S1282X719454  Civic        2010  15961  16455  Shelton, Marshall       Fri, Feb 13, 2010       D30-26-02 
 JG148F1152X72A566  Insight      2010  22682  24390  Shelton, Marshall       Thu, Feb 12, 2010       D30-26-02 
 JB127S1312X72A568  Civic        2010  14739  16655  Romero, Floyd           Sat, Feb 14, 2010       D30-26-01 
 JH159F4142X71946X  Odyssey      2010  50574  56825  Shelton, Marshall       Sat, Feb 14, 2010       D30-26-02 
 JA112F1352X72A572  Accord       2010  30295  32930  Shelton, Marshall       Fri, Feb 13, 2010       D30-26-02 
 JB129S1482X719464  Civic        2010  21786  23055  Romero, Floyd           Mon, Feb 16, 2010       D30-26-01 
 JB121S1262X7X8356  Civic        2010  15303  16455  Romero, Floyd           Thu, Feb 12, 2010       D30-26-01 
 JA1X1S1202X783BX8  Accord       2010  22402  24089  Shelton, Marshall       Sat, Feb 14, 2010       D30-26-02 
 JC133FU142X71947X  CR-V         2010  31785  33995  Shelton, Marshall       Thu, Feb 12, 2010       D30-26-02 
 JB121S1212X7X8362  Civic        2010  15467  16455  Romero, Floyd           Thu, Feb 12, 2010       D30-26-01 
 JA113SU322X7619C4  Accord       2010  22658  23480  Shelton, Marshall       Mon, Feb 16, 2010       D30-26-02 
 JB121S1242X783B16  Civic        2010  14809  16455  Romero, Floyd           Wed, Feb 18, 2010       D30-26-01 
 JA119S4332X772AX8  Accord       2010  30378  31480  Romero, Floyd           Tue, Feb 17, 2010       D30-26-01 
 JH15AS11A2X72A59X  Odyssey      2010  27318  29375  Shelton, Marshall       Sat, Feb 14, 2010       D30-26-02 
 JE143FU192X74C7B2  Crosstour    2010  36982  40640  Shelton, Marshall       Wed, Feb 18, 2010       D30-26-02 
 JG148F1152X772A14  Insight      2010  22194  24390  Romero, Floyd           Sat, Feb 14, 2010       D30-26-01 
 JH152SU182X7619X6  Odyssey      2010  27185  30375  Romero, Floyd           Mon, Feb 16, 2010       D30-26-01 
 JH151F1172X719488  Odyssey      2010  39670  44825  Romero, Floyd           Wed, Feb 18, 2010       D30-26-01 
 JB121S1242X71949X  Civic        2010  14974  16455  Romero, Floyd           Tue, Feb 17, 2010       D30-26-01 
 JJ164F4152X719492  Pilot        2010  51271  53970  Shelton, Marshall       Fri, Feb 13, 2010       D30-26-02 
