Dealer Name: Wallace Honda
Address:     2132 Tupelo Road
             Clarksville, NC
Dealer ID:   4
Owner:       Wallace, Patrick
Date:        Thu, Feb 19, 2010 thru Wed, Feb 25, 2010  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA1X1S12A2X86XAC8  Accord       2010  22643  24089  Wilson, Chad            Sat, Feb 21, 2010       D04-04-08 
 JA1X1S1202X882C2X  Accord       2010  21559  24089  Richards, Angela        Wed, Feb 25, 2010       D04-04-06 
 JB121S1292X871B12  Civic        2010  14644  16455  Miller, Julian          Tue, Feb 24, 2010       D04-04-04 
 JB121S1292X83A7A4  Civic        2010  15549  16455  Miller, Julian          Tue, Feb 24, 2010       D04-04-04 
 JA114FU382X83A7A6  Accord       2010  31554  33930  Richards, Angela        Sun, Feb 22, 2010       D04-04-06 
 JB121S1262X83A7A8  Civic        2010  15467  16455  Lucas, Carl             Fri, Feb 20, 2010       D04-04-01 
 JB125G1662X8296AX  Civic        2010  27507  28505  Russell, Jerry          Sun, Feb 22, 2010       D04-04-03 
 JH151F1142X818592  Odyssey      2010  41239  44825  Dixon, Patsy            Sun, Feb 22, 2010       D04-04-07 
 JH152SU132X83A7B4  Odyssey      2010  27641  30375  Pena, Elaine            Thu, Feb 19, 2010       D04-04-05 
 JC132FU182X85C9X6  CR-V         2010  30715  31995  Wilson, Chad            Sat, Feb 21, 2010       D04-04-08 
 JB121S1282X86XA18  Civic        2010  14891  16455  Dixon, Patsy            Mon, Feb 23, 2010       D04-04-07 
 JB127S1322X85C91X  Civic        2010  15489  16655  Miller, Julian          Tue, Feb 24, 2010       D04-04-04 
 JH153FU112X84B8X2  Odyssey      2010  41242  45825  Miller, Julian          Mon, Feb 23, 2010       D04-04-04 
 JH15AS1192X85C914  Odyssey      2010  26584  29375  Miller, Julian          Thu, Feb 19, 2010       D04-04-04 
 JA116FU352X84B8X6  Accord       2010  32875  35930  Richards, Angela        Fri, Feb 20, 2010       D04-04-06 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JJ164F411XX329643  Pilot       2007  33289  53970  Miller, Julian          Sun, Feb 22, 2010       D04-04-04 
 JB127S137X524B865  Civic       2007  10662  16655  Richards, Angela        Sun, Feb 22, 2010       D04-04-06 
 JG148F115XX5X7427  Insight     2007  15752  24390  Miller, Julian          Sat, Feb 21, 2010       D04-04-04 
 JH153FU1012171B99  Odyssey     2009  36660  45825  Pena, Elaine            Sat, Feb 21, 2010       D04-04-05 
 JG148F119W3129651  Insight     2006  14229  24390  Russell, Jerry          Sun, Feb 22, 2010       D04-04-03 
 JC134F319X2882CB3  CR-V        2007  20188  31995  Campbell, Jeanne        Fri, Feb 20, 2010       D04-04-02 
 JH157F312X354B875  Odyssey     2007  29856  45825  Pena, Elaine            Thu, Feb 19, 2010       D04-04-05 
 JB127S130X494B877  Civic       2007  10662  16655  Miller, Julian          Fri, Feb 20, 2010       D04-04-04 
 JB127S139Y144B879  Civic       2008  12059  16655  Dixon, Patsy            Fri, Feb 20, 2010       D04-04-07 
 JB127S135T386XAA1  Civic       2004  6677   16655  Miller, Julian          Wed, Feb 25, 2010       D04-04-04 
 JA115SU38W2P82CC3  Accord      2006  15379  25480  Campbell, Jeanne        Wed, Feb 25, 2010       D04-04-02 
 JE141F116X1182CC5  Crosstour   2007  23801  37640  Lucas, Carl             Sun, Feb 22, 2010       D04-04-01 
 JB129S140YX771BB7  Civic       2008  16757  23055  Richards, Angela        Sun, Feb 22, 2010       D04-04-06 
 JG148F118XX25C999  Insight     2007  15752  24390  Wilson, Chad            Thu, Feb 19, 2010       D04-04-08 
 JH157F31A1X318561  Odyssey     2009  41471  45825  Pena, Elaine            Fri, Feb 20, 2010       D04-04-05 
 JJ162FU11W414B893  Pilot       2006  26577  44970  Russell, Jerry          Sat, Feb 21, 2010       D04-04-03 
 JH153FU16V4671BC5  Odyssey     2005  23585  45825  Miller, Julian          Wed, Feb 25, 2010       D04-04-04 
 JJ161FU17W3982CX7  Pilot       2006  25377  42970  Lucas, Carl             Thu, Feb 19, 2010       D04-04-01 
 JB121S126Y1PX7459  Civic       2008  11912  16455  Russell, Jerry          Thu, Feb 19, 2010       D04-04-03 
 JH151F115W345C9B1  Odyssey     2006  26490  44825  Miller, Julian          Wed, Feb 25, 2010       D04-04-04 
 JD136F116W52X7463  CR-Z        2006  14418  24705  Russell, Jerry          Mon, Feb 23, 2010       D04-04-03 
 JH157F318T4129685  Odyssey     2004  19221  45825  Campbell, Jeanne        Sun, Feb 22, 2010       D04-04-02 
 JH156S310X2882C17  Odyssey     2007  19152  30375  Russell, Jerry          Wed, Feb 25, 2010       D04-04-03 
 JC132FU1A1266XAC9  CR-V        2009  25915  31995  Campbell, Jeanne        Fri, Feb 20, 2010       D04-04-02 
 JH15AS111X493A7A1  Odyssey     2007  19032  29375  Campbell, Jeanne        Mon, Feb 23, 2010       D04-04-02 
