Dealer Name: Carter Honda
Address:     2499 Bob Jones St
             Louderdale, FL
Dealer ID:   29
Owner:       Carter, Jimmy
Date:        Thu, Feb 19, 2010 thru Wed, Feb 25, 2010  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA117S3322X8291CX  Accord       2010  21836  23480  Coleman, Arnold         Thu, Feb 19, 2010       D29-25-05 
 JA1X4FU202X86X532  Accord       2010  32158  34030  Coleman, Arnold         Sat, Feb 21, 2010       D29-25-05 
 JK165F11A2X871644  Ridgeline    2010  41841  46750  Lawson, Carolyn         Thu, Feb 19, 2010       D29-25-02 
 JJ161FU162X8291C6  Pilot        2010  39102  42970  Lawson, Carolyn         Sat, Feb 21, 2010       D29-25-02 
 JB129S1492X84B318  Civic        2010  22017  23055  Graham, Sheila          Sat, Feb 21, 2010       D29-25-03 
 JH153FU102X86197X  Odyssey      2010  40784  45825  Rodriguez, Leonard      Thu, Feb 19, 2010       D29-25-01 
 JH15AS1152X819422  Odyssey      2010  27318  29375  Lawson, Carolyn         Tue, Feb 24, 2010       D29-25-02 
 JB127S1392X8X8314  Civic        2010  16072  16655  Walker, Roland          Tue, Feb 24, 2010       D29-25-04 
 JH15AS1122X819426  Odyssey      2010  27906  29375  Graham, Sheila          Wed, Feb 25, 2010       D29-25-03 
 JK165F1162X85X868  Ridgeline    2010  41607  46750  Coleman, Arnold         Mon, Feb 23, 2010       D29-25-05 
 JD136F1132X83B65X  CR-Z         2010  21863  24705  Rodriguez, Leonard      Sat, Feb 21, 2010       D29-25-01 
 JB13ASU452X83B652  Civic        2010  21946  23855  Graham, Sheila          Tue, Feb 24, 2010       D29-25-03 
 JH159F4152X883BA4  Odyssey      2010  53131  56825  Lawson, Carolyn         Thu, Feb 19, 2010       D29-25-02 
 JB129S1482X85X876  Civic        2010  21556  23055  Walker, Roland          Mon, Feb 23, 2010       D29-25-04 
 JB122SU232X85X878  Civic        2010  16737  17255  Walker, Roland          Wed, Feb 25, 2010       D29-25-04 
 JH157F3142X883BBX  Odyssey      2010  40555  45825  Lawson, Carolyn         Fri, Feb 20, 2010       D29-25-02 
 JB127S1372X85X882  Civic        2010  14739  16655  Lucas, Jose             Fri, Feb 20, 2010       D29-25-06 
 JB121S1212X819444  Civic        2010  14974  16455  Graham, Sheila          Mon, Feb 23, 2010       D29-25-03 
 JH156S3112X8X8336  Odyssey      2010  27641  30375  Coleman, Arnold         Tue, Feb 24, 2010       D29-25-05 
 JJ161FU182X819448  Pilot        2010  40821  42970  Lucas, Jose             Mon, Feb 23, 2010       D29-25-06 
 JD136F1122X82A56X  CR-Z         2010  22358  24705  Lucas, Jose             Tue, Feb 24, 2010       D29-25-06 
 JH155FU122X84C782  Odyssey      2010  45912  47825  Coleman, Arnold         Sun, Feb 22, 2010       D29-25-05 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JC131F114W19X7A59  CR-V        2006  18798  30995  Lawson, Carolyn         Fri, Feb 20, 2010       D29-25-02 
 JG148F113W153AX91  Insight     2006  14229  24390  Walker, Roland          Wed, Feb 25, 2010       D29-25-04 
 JE143FU112X682513  Crosstour    2010  36982  40640  Coleman, Arnold         Wed, Feb 25, 2010       D29-25-05 
 JB121S123X3982515  Civic       2007  10531  16455  Graham, Sheila          Tue, Feb 24, 2010       D29-25-03 
 JH15AS112W3929C87  Odyssey     2006  17794  29375  Coleman, Arnold         Sat, Feb 21, 2010       D29-25-05 
 JD136F113Y2P3AX99  CR-Z        2008  22032  24705  Walker, Roland          Fri, Feb 20, 2010       D29-25-04 
