Dealer Name: Value Honda
Address:     6846 Harrison Ave
             West Junction, AL
Dealer ID:   7
Owner:       Walker, Shelly
Date:        Thu, Mar 12, 2010 thru Wed, Mar 18, 2010  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB121S125211X7572  Civic        2010  14809  16455  Caldwell, Wade          Wed, Mar 18, 2010       D07-07-04 
 JA1X1S125211X7574  Accord       2010  22041  24089  Green, Francis          Sun, Mar 15, 2010       D07-07-02 
 JA111S1322114B9B6  Accord       2010  21468  22480  Meyer, Vincent          Sat, Mar 14, 2010       D07-07-03 
 JA1X3SU2121182X28  Accord       2010  23458  25089  Caldwell, Wade          Tue, Mar 17, 2010       D07-07-04 
 JH155FU1721182X3X  Odyssey      2010  43999  47825  Meyer, Vincent          Tue, Mar 17, 2010       D07-07-03 
 JB127S139211297A2  Civic        2010  15572  16655  Soto, Victor            Tue, Mar 17, 2010       D07-07-07 
 JH152SU182116XB14  Odyssey      2010  29008  30375  Mills, Naomi            Mon, Mar 16, 2010       D07-07-06 
 JG148F1192113A8B6  Insight      2010  23048  24390  Schmidt, Phillip        Sat, Mar 14, 2010       D07-07-01 
 JA111S13621171C28  Accord       2010  21580  22480  Meyer, Vincent          Sun, Mar 15, 2010       D07-07-03 
 JA1X1S126211X759X  Accord       2010  21198  24089  Chavez, Joy             Thu, Mar 12, 2010       D07-07-05 
 JA117S334211297B2  Accord       2010  21014  23480  Soto, Victor            Tue, Mar 17, 2010       D07-07-07 
 JB121S1292115CA14  Civic        2010  14727  16455  Green, Francis          Thu, Mar 12, 2010       D07-07-02 
 JA117S3372113A8C6  Accord       2010  21601  23480  Meyer, Vincent          Fri, Mar 13, 2010       D07-07-03 
 JH153FU132113A8C8  Odyssey      2010  43533  45825  Caldwell, Wade          Wed, Mar 18, 2010       D07-07-04 
 JA1X1S12821171C4X  Accord       2010  22764  24089  Schmidt, Phillip        Mon, Mar 16, 2010       D07-07-01 
 JJ161FU172116XB32  Pilot        2010  38887  42970  Chavez, Joy             Mon, Mar 16, 2010       D07-07-05 
 JH152SU14211X75A4  Odyssey      2010  28248  30375  Chavez, Joy             Sun, Mar 15, 2010       D07-07-05 
 JB127S1362116XB36  Civic        2010  15988  16655  Caldwell, Wade          Sat, Mar 14, 2010       D07-07-04 
 JJ163F314211X75A8  Pilot        2010  38458  42970  Caldwell, Wade          Tue, Mar 17, 2010       D07-07-04 
 JB121S1212115CB6X  Civic        2010  14974  16455  Caldwell, Wade          Thu, Mar 12, 2010       D07-07-04 
 JH152SU1021182192  Odyssey      2010  27945  30375  Schmidt, Phillip        Fri, Mar 13, 2010       D07-07-01 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
