Dealer Name: Zeigler Honda
Address:     2940 Davison Highway
             Sawyer, TN
Dealer ID:   36
Owner:       Zeigler, Martin
Date:        Thu, Mar 12, 2010 thru Wed, Mar 18, 2010  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB127S13A2112A7A6  Civic        2010  15072  16655  Armstrong, Amber        Sun, Mar 15, 2010       D36-32-06 
 JC132FU15211X8588  CR-V         2010  29435  31995  Fleming, Larry          Mon, Mar 16, 2010       D36-32-05 
 JB127S1342112A7BX  Civic        2010  16155  16655  Gonzales, Brian         Tue, Mar 17, 2010       D36-32-03 
 JA1X7S320211196A2  Accord       2010  22705  25089  Webb, Hector            Mon, Mar 16, 2010       D36-32-02 
 JE141F119211X8594  Crosstour    2010  36134  37640  Gonzales, Brian         Fri, Mar 13, 2010       D36-32-03 
 JA1X7S32321172C36  Accord       2010  23709  25089  Fleming, Larry          Sat, Mar 14, 2010       D36-32-05 
 JB125G1662113B8C8  Civic        2010  26652  28505  Fleming, Larry          Sat, Mar 14, 2010       D36-32-05 
 JG148F11821161B3X  Insight      2010  22560  24390  Gonzales, Brian         Sat, Mar 14, 2010       D36-32-03 
 JA1X1S1222115XA22  Accord       2010  22161  24089  Washington, Jerry       Wed, Mar 18, 2010       D36-32-01 
 JA1X2F12521161B34  Accord       2010  29727  33030  Armstrong, Amber        Fri, Mar 13, 2010       D36-32-06 
 JA111S13221172C46  Accord       2010  21131  22480  Washington, Jerry       Sat, Mar 14, 2010       D36-32-01 
 JH153FU10211X85A8  Odyssey      2010  43304  45825  Armstrong, Amber        Fri, Mar 13, 2010       D36-32-06 
 JB122SU292112A83X  Civic        2010  15529  17255  Washington, Jerry       Mon, Mar 16, 2010       D36-32-01 
 JA115SU3121183192  Accord       2010  22549  25480  Webb, Hector            Fri, Mar 13, 2010       D36-32-02 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH152SU11Y3283B99  Odyssey     2008  21708  30375  Fleming, Larry          Fri, Mar 13, 2010       D36-32-05 
 JD136F1191364C761  CR-Z        2009  19764  24705  Fleming, Larry          Fri, Mar 13, 2010       D36-32-05 
 JF146S112XX361983  Fit         2007  9968   16025  Washington, Jerry       Tue, Mar 17, 2010       D36-32-01 
 JJ163F31AY3372A95  Pilot       2008  38684  42970  Gonzales, Brian         Fri, Mar 13, 2010       D36-32-03 
 JH151F112Y155X877  Odyssey     2008  32736  44825  Webb, Hector            Thu, Mar 12, 2010       D36-32-02 
 JC132FU16W362A549  CR-V        2006  18792  31995  Washington, Jerry       Mon, Mar 16, 2010       D36-32-01 
 JB127S138V2572AA1  Civic       2005  8271   16655  Fleming, Larry          Wed, Mar 18, 2010       D36-32-05 
 JB129S148X3P2A553  Civic       2007  14874  23055  Gonzales, Brian         Sat, Mar 14, 2010       D36-32-03 
 JC132FU11Y4P2A555  CR-V        2008  23319  31995  Fleming, Larry          Wed, Mar 18, 2010       D36-32-05 
 JE145F418WX85X887  Crosstour   2006  28498  46640  Fleming, Larry          Tue, Mar 17, 2010       D36-32-05 
 JG148F113X2372AA9  Insight     2007  15752  24390  Armstrong, Amber        Fri, Mar 13, 2010       D36-32-06 
