Dealer Name: Isern Honda
Address:     9833 Florida Highway
             Brookland, GA
Dealer ID:   28
Owner:       Isern, Mareen
Date:        Thu, Mar 19, 2010 thru Wed, Mar 25, 2010  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JD139F3172124B386  CR-Z         2010  23520  25705  Sullivan, Jorge         Thu, Mar 19, 2010       D28-20-02 
 JB127S13821229168  Civic        2010  14739  16655  Sullivan, Jorge         Tue, Mar 24, 2010       D28-20-02 
 JC131F1142125C4AX  CR-V         2010  28515  30995  Gregory, Brad           Mon, Mar 23, 2010       D28-20-05 
 JB129S146212X7C52  Civic        2010  21556  23055  Sullivan, Jorge         Mon, Mar 23, 2010       D28-20-02 
 JA1X3SU272123A284  Accord       2010  23834  25089  Simpson, Charlene       Fri, Mar 20, 2010       D28-20-01 
 JD136F116212827X6  CR-Z         2010  22234  24705  Simpson, Charlene       Thu, Mar 19, 2010       D28-20-01 
 JH155FU13212X7C58  Odyssey      2010  46390  47825  Sullivan, Jorge         Mon, Mar 23, 2010       D28-20-02 
 JB127S138212716XX  Civic        2010  15489  16655  Gregory, Brad           Sun, Mar 22, 2010       D28-20-05 
 JG148F11321282712  Insight      2010  22316  24390  White, Ana              Mon, Mar 23, 2010       D28-20-03 
 JA1X4FU25212716X4  Accord       2010  31477  34030  Gregory, Brad           Wed, Mar 25, 2010       D28-20-05 
 JA1X1S12421218X76  Accord       2010  21318  24089  Sullivan, Jorge         Thu, Mar 19, 2010       D28-20-02 
 JB129S1432125C4B8  Civic        2010  21441  23055  Simpson, Charlene       Mon, Mar 23, 2010       D28-20-01 
 JB127S1382128272X  Civic        2010  15322  16655  White, Ana              Wed, Mar 25, 2010       D28-20-03 
 JB127S13421218X82  Civic        2010  15405  16655  Sullivan, Jorge         Sun, Mar 22, 2010       D28-20-02 
 JH154SU17212X7C74  Odyssey      2010  30756  32375  White, Ana              Mon, Mar 23, 2010       D28-20-03 
 JA111S1312126X5X6  Accord       2010  21356  22480  Simpson, Charlene       Sat, Mar 21, 2010       D28-20-01 
 JH151F1102126X5X8  Odyssey      2010  39670  44825  Gregory, Brad           Fri, Mar 20, 2010       D28-20-05 
 JA1X7S32A2125C4XX  Accord       2010  23834  25089  Simpson, Charlene       Mon, Mar 23, 2010       D28-20-01 
 JA1X1S1252125C4X2  Accord       2010  21920  24089  Sullivan, Jorge         Thu, Mar 19, 2010       D28-20-02 
 JB127S1342126X514  Civic        2010  15322  16655  Stephens, Christy       Wed, Mar 25, 2010       D28-20-06 
 JB121S1212124B3C6  Civic        2010  15714  16455  Gregory, Brad           Sat, Mar 21, 2010       D28-20-05 
 JD136F11921282738  CR-Z         2010  23346  24705  Young, Bryan            Mon, Mar 23, 2010       D28-20-04 
 JA111S1322124B3XX  Accord       2010  19894  22480  Sullivan, Jorge         Sun, Mar 22, 2010       D28-20-02 
 JB128SU3421218XA2  Civic        2010  16669  17455  Young, Bryan            Tue, Mar 24, 2010       D28-20-04 
 JH155FU122124B3X4  Odyssey      2010  46151  47825  Young, Bryan            Wed, Mar 25, 2010       D28-20-04 
 JC132FU142124B3X6  CR-V         2010  29595  31995  White, Ana              Wed, Mar 25, 2010       D28-20-03 
 JB129S14121282748  Civic        2010  20518  23055  Gregory, Brad           Sat, Mar 21, 2010       D28-20-05 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA111S132V2P18B37  Accord      2005  11329  22480  Simpson, Charlene       Tue, Mar 24, 2010       D28-20-01 
 JH151F118X276X389  Odyssey     2007  28400  44825  Gregory, Brad           Tue, Mar 24, 2010       D28-20-05 
 JH152SU12X34714A1  Odyssey     2007  19152  30375  Young, Bryan            Mon, Mar 23, 2010       D28-20-04 
 JB127S13112618B43  Civic       2009  13324  16655  Simpson, Charlene       Fri, Mar 20, 2010       D28-20-01 
 JA1X3SU23X4629C55  Accord      2007  16212  25089  Sullivan, Jorge         Wed, Mar 25, 2010       D28-20-02 
 JH152SU11X47X7A37  Odyssey     2007  19152  30375  Young, Bryan            Sat, Mar 21, 2010       D28-20-04 
 JH157F314V4718B49  Odyssey     2005  22462  45825  Sullivan, Jorge         Wed, Mar 25, 2010       D28-20-02 
 JC131F114X486X3A1  CR-V        2007  19548  30995  Sullivan, Jorge         Wed, Mar 25, 2010       D28-20-02 
 JH15AS1131X35C293  Odyssey     2009  23793  29375  Gregory, Brad           Mon, Mar 23, 2010       D28-20-05 
 JH157F319Y386X3A5  Odyssey     2008  32832  45825  White, Ana              Tue, Mar 24, 2010       D28-20-03 
 JH153FU1AX32X7A47  Odyssey     2007  29856  45825  Simpson, Charlene       Fri, Mar 20, 2010       D28-20-01 
 JD136F119Y13825C9  CR-Z        2008  17625  24705  Sullivan, Jorge         Tue, Mar 24, 2010       D28-20-02 
 JE144F312X34X7A51  Crosstour   2007  25129  38640  Stephens, Christy       Wed, Mar 25, 2010       D28-20-06 
 JB13ASU46W124B193  Civic       2006  13908  23855  Gregory, Brad           Fri, Mar 20, 2010       D28-20-05 
 JE143FU19W3118B65  Crosstour   2006  24778  40640  White, Ana              Mon, Mar 23, 2010       D28-20-03 
 JH152SU14Y525C2A7  Odyssey     2008  21708  30375  Simpson, Charlene       Tue, Mar 24, 2010       D28-20-01 
