Dealer Name: Lance Honda
Address:     1136 Brooklin Ave
             Norbert, FL
Dealer ID:   17
Owner:       Lance, Samuel
Date:        Thu, Apr 16, 2010 thru Wed, Apr 22, 2010  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH157F31A21682418  Odyssey      2010  41013  45825  Medina, Emily           Thu, Apr 16, 2010       D17-16-07 
 JA1X1S12921629B9X  Accord       2010  23004  24089  Morris, Bobbie          Sat, Apr 18, 2010       D17-16-05 
 JA111S1392166X2X2  Accord       2010  19894  22480  Cole, Peter             Wed, Apr 22, 2010       D17-16-02 
 JG148F1162163ACA4  Insight      2010  23292  24390  Medina, Emily           Sat, Apr 18, 2010       D17-16-07 
 JA111S13821682426  Accord       2010  21131  22480  Hansen, Ralph           Sat, Apr 18, 2010       D17-16-09 
 JH153FU112163ACA8  Odyssey      2010  41242  45825  Cole, Peter             Thu, Apr 16, 2010       D17-16-02 
 JB121S12921618A9X  Civic        2010  15549  16455  Baker, Lynn             Mon, Apr 20, 2010       D17-16-08 
 JD136F1102165C1X2  CR-Z         2010  22358  24705  Herrera, Nina           Thu, Apr 16, 2010       D17-16-03 
 JC131F1132163ACB4  CR-V         2010  28515  30995  Herrera, Nina           Wed, Apr 22, 2010       D17-16-03 
 JH156S31121618A96  Odyssey      2010  28552  30375  Baker, Lynn             Sat, Apr 18, 2010       D17-16-08 
 JE142FU1521682438  Crosstour    2010  35548  38640  Baker, Lynn             Thu, Apr 16, 2010       D17-16-08 
 JA1X4FU2A2166X22X  Accord       2010  32328  34030  Medina, Emily           Sat, Apr 18, 2010       D17-16-07 
 JC131F1182164BXX2  CR-V         2010  27895  30995  Hansen, Ralph           Thu, Apr 16, 2010       D17-16-09 
 JH151F11921671334  Odyssey      2010  40790  44825  Lambert, Anita          Wed, Apr 22, 2010       D17-16-01 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB129S145VX33AA61  Civic       2005  11631  23055  Hansen, Ralph           Wed, Apr 22, 2010       D17-16-09 
 JG148F1111X85CC83  Insight     2009  19755  24390  Cole, Peter             Fri, Apr 17, 2010       D17-16-02 
 JH154SU19X3329955  Odyssey     2007  19857  32375  Rodriguez, Mathew       Mon, Apr 20, 2010       D17-16-06 
 JH151F111X31822B7  Odyssey     2007  39715  44825  Medina, Emily           Thu, Apr 16, 2010       D17-16-07 
 JA1X5SU26W2P3AA69  Accord      2006  16376  27089  Cole, Peter             Mon, Apr 20, 2010       D17-16-02 
 JG148F112W394BB81  Insight     2006  14703  24390  Rodriguez, Mathew       Wed, Apr 22, 2010       D17-16-06 
 JG148F1171436XXA3  Insight     2009  19512  24390  Morris, Bobbie          Sat, Apr 18, 2010       D17-16-05 
 JB127S1361X618855  Civic       2009  13324  16655  Cole, Peter             Wed, Apr 22, 2010       D17-16-02 
 JK168F312Y334BB87  Ridgeline   2008  34883  47750  Hansen, Ralph           Tue, Apr 21, 2010       D17-16-09 
 JH153FU12WX729969  Odyssey     2006  26187  45825  Cole, Peter             Thu, Apr 16, 2010       D17-16-02 
 JG148F110W515CCA1  Insight     2006  14703  24390  Hansen, Ralph           Sat, Apr 18, 2010       D17-16-09 
 JC131F118W295CCA3  CR-V        2006  18798  30995  Lambert, Anita          Fri, Apr 17, 2010       D17-16-01 
 JG148F115V364BB95  Insight     2005  12332  24390  Herrera, Nina           Sat, Apr 18, 2010       D17-16-03 
 JK165F1131436XXB7  Ridgeline   2009  36932  46750  Lambert, Anita          Wed, Apr 22, 2010       D17-16-01 
 JE141F113X153AA89  Crosstour   2007  23801  37640  Cole, Peter             Wed, Apr 22, 2010       D17-16-02 
 JH152SU17VX14BBA1  Odyssey     2005  14737  30375  Medina, Emily           Sat, Apr 18, 2010       D17-16-07 
 JH159F415TX382213  Odyssey     2004  23951  56825  Baker, Lynn             Fri, Apr 17, 2010       D17-16-08 
 JB127S1371X46XXC5  Civic       2009  14989  16655  Baker, Lynn             Thu, Apr 16, 2010       D17-16-08 
 JB129S14AX215CCB7  Civic       2007  14467  23055  Lambert, Anita          Mon, Apr 20, 2010       D17-16-01 
