Dealer Name: Harrison Honda
Address:     692 Sanders Ave
             Port Kiln, SC
Dealer ID:   11
Owner:       Harrision, Owen
Date:        Thu, Apr 23, 2010 thru Wed, Apr 29, 2010  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH151F11321729986  Odyssey      2010  42583  44825  Fields, Joan            Sun, Apr 26, 2010       D11-10-03 
 JA116FU392173AA98  Accord       2010  32157  35930  Lambert, Donna          Sun, Apr 26, 2010       D11-10-04 
 JA1X6FU212178222X  Accord       2010  32246  36030  Day, Jennifer           Sat, Apr 25, 2010       D11-10-06 
 JF146S11A2175CCC2  Fit          2010  14182  16025  Fields, Joan            Wed, Apr 29, 2010       D11-10-03 
 JA1X3SU2421782224  Accord       2010  23834  25089  Burke, Derrick          Thu, Apr 23, 2010       D11-10-01 
 JB121S1222176XXX6  Civic        2010  14891  16455  Burke, Derrick          Tue, Apr 28, 2010       D11-10-01 
 JC131F1132174BBB8  CR-V         2010  27430  30995  Bishop, Joann           Sun, Apr 26, 2010       D11-10-05 
 JB121S1252173AABX  Civic        2010  14809  16455  Mason, Felicia          Wed, Apr 29, 2010       D11-10-02 
 JH153FU132175CCX2  Odyssey      2010  40784  45825  Day, Jennifer           Fri, Apr 24, 2010       D11-10-06 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH152SU14XX982XB5  Odyssey     2007  19690  30375  Bishop, Joann           Sun, Apr 26, 2010       D11-10-05 
 JB121S128Y3318647  Civic       2008  11912  16455  Lambert, Donna          Wed, Apr 29, 2010       D11-10-04 
 JH151F113X394B979  Odyssey     2007  28400  44825  Lambert, Donna          Mon, Apr 27, 2010       D11-10-04 
 JH153FU17X386XBA1  Odyssey     2007  29856  45825  Bishop, Joann           Tue, Apr 28, 2010       D11-10-05 
 JC131F115VX571CB3  CR-V        2005  15799  30995  Burke, Derrick          Sun, Apr 26, 2010       D11-10-01 
 JB128SU37Y15X7545  Civic       2008  12405  17455  Fields, Joan            Wed, Apr 29, 2010       D11-10-03 
 JC134F319X4729767  CR-V        2007  20756  31995  Fields, Joan            Fri, Apr 24, 2010       D11-10-03 
 JH157F316Y173A879  Odyssey     2008  33470  45825  Burke, Derrick          Sun, Apr 26, 2010       D11-10-01 
 JJ163F311X17X7551  Pilot       2007  26447  42970  Burke, Derrick          Thu, Apr 23, 2010       D11-10-01 
 JH158S412X483A883  Odyssey     2007  26192  41375  Mason, Felicia          Fri, Apr 24, 2010       D11-10-02 
 JK166FU15X4782XX5  Ridgeline   2007  31123  47750  Burke, Derrick          Thu, Apr 23, 2010       D11-10-01 
 JB127S130Y365CAA7  Civic       2008  12059  16655  Mason, Felicia          Sun, Apr 26, 2010       D11-10-02 
 JH153FU102X73A889  Odyssey      2010  41214  45825  Bishop, Joann           Tue, Apr 28, 2010       D11-10-05 
 JB13ASU44Y325CAB1  Civic       2008  17344  23855  Burke, Derrick          Sat, Apr 25, 2010       D11-10-01 
 JC132FU19V375CAB3  CR-V        2005  28140  31995  Day, Jennifer           Wed, Apr 29, 2010       D11-10-06 
 JK166FU141396XBC5  Ridgeline   2009  38200  47750  Mason, Felicia          Fri, Apr 24, 2010       D11-10-02 
 JJ16AF1171X84B9A7  Pilot       2009  33576  41970  Burke, Derrick          Tue, Apr 28, 2010       D11-10-01 
 JB129S145X2218679  Civic       2007  14874  23055  Bishop, Joann           Fri, Apr 24, 2010       D11-10-05 
 JC132FU15Y2429791  CR-V        2008  22874  31995  Fields, Joan            Sun, Apr 26, 2010       D11-10-03 
