Dealer Name: Riverside Honda
Address:     9663 Mason Road
             Granger, AL
Dealer ID:   35
Owner:       Riverside, Francis
Date:        Thu, May 14, 2010 thru Wed, May 20, 2010  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB123H15222P5XA98  Civic        2010  25530  27600  Morris, Tracey          Mon, May 18, 2010       D35-31-05 
 JH151F11922P4C99X  Odyssey      2010  42359  44825  Jones, Kyle             Sat, May 16, 2010       D35-31-01 
 JC131F11222P3B882  CR-V         2010  27430  30995  Jimenez, Alfred         Fri, May 15, 2010       D35-31-02 
 JG148F11022P5XAA4  Insight      2010  23048  24390  Fox, Alvin              Mon, May 18, 2010       D35-31-06 
 JA1X3SU2A22P61BB6  Accord       2010  22956  25089  Fox, Alvin              Sun, May 17, 2010       D35-31-06 
 JA1X3SU2322P61BB8  Accord       2010  22956  25089  Morris, Tracey          Thu, May 14, 2010       D35-31-05 
 JA1X5SU2622P72CXX  Accord       2010  26140  27089  Fox, Alvin              Mon, May 18, 2010       D35-31-06 
 JA1X4FU2422P19672  Accord       2010  32158  34030  Jones, Kyle             Sat, May 16, 2010       D35-31-01 
 JB127S13022P61BC4  Civic        2010  15988  16655  Anderson, Sean          Fri, May 15, 2010       D35-31-04 
 JB127S13922P19676  Civic        2010  14989  16655  Fox, Alvin              Tue, May 19, 2010       D35-31-06 
 JB127S13822P61BC8  Civic        2010  15489  16655  Jimenez, Alfred         Sun, May 17, 2010       D35-31-02 
 JB127S13922P2A79X  Civic        2010  15822  16655  Jones, Kyle             Tue, May 19, 2010       D35-31-01 
 JB121S12922P2A792  Civic        2010  14974  16455  Jones, Kyle             Mon, May 18, 2010       D35-31-01 
 JB121S12022P61BX4  Civic        2010  14891  16455  Jones, Kyle             Sat, May 16, 2010       D35-31-01 
 JA1X9S42522P61BX6  Accord       2010  29780  33089  Jimenez, Alfred         Wed, May 20, 2010       D35-31-02 
 JB129S14222P5XAC8  Civic        2010  21786  23055  Fox, Alvin              Tue, May 19, 2010       D35-31-06 
 JB122SU2422P1969X  Civic        2010  16478  17255  Jones, Kyle             Thu, May 14, 2010       D35-31-01 
 JE141F11422P83X32  Crosstour    2010  33876  37640  Anderson, Sean          Tue, May 19, 2010       D35-31-04 
 JD136F11622P5XAX4  CR-Z         2010  22852  24705  Jimenez, Alfred         Thu, May 14, 2010       D35-31-02 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB121S12211P3A2C1  Civic       2009  13328  16455  Lambert, Patsy          Mon, May 18, 2010       D35-31-03 
 JH153FU13YX73A2C3  Odyssey     2008  32193  45825  Jones, Kyle             Wed, May 20, 2010       D35-31-01 
 JB129S145X4618XA5  Civic       2007  14874  23055  Jones, Kyle             Mon, May 18, 2010       D35-31-01 
 JB127S1362X582747  Civic        2010  15276  16655  Fox, Alvin              Sat, May 16, 2010       D35-31-06 
 JB129S14AY4682749  Civic       2008  16437  23055  Fox, Alvin              Fri, May 15, 2010       D35-31-06 
 JH151F119X31X7CA1  Odyssey     2007  29198  44825  Morris, Tracey          Tue, May 19, 2010       D35-31-05 
 JD136F115Y27291C3  CR-Z        2008  17968  24705  Lambert, Patsy          Sun, May 17, 2010       D35-31-03 
 JH157F3121X382755  Odyssey     2009  37118  45825  Lambert, Patsy          Mon, May 18, 2010       D35-31-03 
 JH153FU19XX571647  Odyssey     2007  29856  45825  Morris, Tracey          Mon, May 18, 2010       D35-31-05 
 JD136F11AX356X539  CR-Z        2007  15959  24705  Lambert, Patsy          Sat, May 16, 2010       D35-31-03 
 JB121S125W423B641  Civic       2006  9783   16455  Fox, Alvin              Mon, May 18, 2010       D35-31-06 
 JH155FU10Y242A533  Odyssey     2008  34938  47825  Anderson, Sean          Sat, May 16, 2010       D35-31-04 
 JH153FU111292A535  Odyssey     2009  36660  45825  Fox, Alvin              Mon, May 18, 2010       D35-31-06 
 JC133FU1211619427  CR-V        2009  27196  33995  Anderson, Sean          Mon, May 18, 2010       D35-31-04 
