Dealer Name: Duncan Honda
Address:     2069 California Blvd
             Granger, AL
Dealer ID:   33
Owner:       Duncan, Phil
Date:        Thu, May 21, 2010 thru Wed, May 27, 2010  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB121S12922161A12  Civic        2010  14727  16455  Wells, Clayton          Wed, May 27, 2010       D33-29-01 
 JC134F31622172B24  CR-V         2010  28155  31995  Martinez, Katherine     Wed, May 27, 2010       D33-29-04 
 JB121S1292213B7B6  Civic        2010  14727  16455  Shelton, Adam           Sun, May 24, 2010       D33-29-05 
 JH15AS11222161A18  Odyssey      2010  28200  29375  Mitchell, John          Thu, May 21, 2010       D33-29-02 
 JD136F119221195AX  CR-Z         2010  22110  24705  Martinez, Katherine     Tue, May 26, 2010       D33-29-04 
 JH153FU1822161A22  Odyssey      2010  43762  45825  Mitchell, John          Tue, May 26, 2010       D33-29-02 
 JG148F11A22172B34  Insight      2010  22316  24390  Martinez, Katherine     Sat, May 23, 2010       D33-29-04 
 JA113SU362212A6B6  Accord       2010  22306  23480  Shelton, Adam           Thu, May 21, 2010       D33-29-05 
 JB124HU5A221X8498  Civic        2010  25134  28400  Morgan, Milton          Sun, May 24, 2010       D33-29-03 
 JC131F117221195BX  CR-V         2010  27740  30995  Wells, Clayton          Sat, May 23, 2010       D33-29-01 
 JH152SU1222172B42  Odyssey      2010  28552  30375  Shelton, Adam           Wed, May 27, 2010       D33-29-05 
 JH152SU1622172B44  Odyssey      2010  27489  30375  Martinez, Katherine     Thu, May 21, 2010       D33-29-04 
 JH154SU1722172B46  Odyssey      2010  30594  32375  Wells, Clayton          Wed, May 27, 2010       D33-29-01 
 JB121S126221195B8  Civic        2010  15879  16455  Wells, Clayton          Sat, May 23, 2010       D33-29-01 
 JB129S1452211962X  Civic        2010  22017  23055  Wells, Clayton          Mon, May 25, 2010       D33-29-01 
 JB121S12922161B72  Civic        2010  15879  16455  Shelton, Adam           Wed, May 27, 2010       D33-29-05 
 JB127S13722183X94  Civic        2010  15822  16655  Mitchell, John          Wed, May 27, 2010       D33-29-02 
 JB129S145221X8516  Civic        2010  21210  23055  Wells, Clayton          Fri, May 22, 2010       D33-29-01 
 JB121S1282214C958  Civic        2010  14644  16455  Martinez, Katherine     Thu, May 21, 2010       D33-29-04 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB127S139Y436X597  Civic       2008  11829  16655  Wells, Clayton          Fri, May 22, 2010       D33-29-01 
 JC131F117X423A269  CR-V        2007  20098  30995  Morgan, Milton          Sun, May 24, 2010       D33-29-03 
 JD138FU11Y245C491  CR-Z        2008  20170  27705  Shelton, Adam           Tue, May 26, 2010       D33-29-05 
 JH159F412T245C493  Odyssey     2004  23951  56825  Martinez, Katherine     Wed, May 27, 2010       D33-29-04 
 JH152SU13X2729165  Odyssey     2007  19152  30375  Martinez, Katherine     Fri, May 22, 2010       D33-29-04 
 JB121S126V25X7C47  Civic       2005  8166   16455  Martinez, Katherine     Sun, May 24, 2010       D33-29-04 
 JE143FU1A2X618X59  Crosstour    2010  36778  40640  Martinez, Katherine     Wed, May 27, 2010       D33-29-04 
 JC134F310X175C4A1  CR-V        2007  20188  31995  Mitchell, John          Tue, May 26, 2010       D33-29-02 
 JC132FU10X3118X63  CR-V        2007  20756  31995  Mitchell, John          Sun, May 24, 2010       D33-29-02 
 JF146S115X18716C5  Fit         2007  10248  16025  Shelton, Adam           Wed, May 27, 2010       D33-29-05 
 JB129S142W456X5B7  Civic       2006  13875  23055  Mitchell, John          Fri, May 22, 2010       D33-29-02 
 JG148F113X525C4A9  Insight     2007  15321  24390  Wells, Clayton          Wed, May 27, 2010       D33-29-01 
 JC131F112YX15C4B1  CR-V        2008  22154  30995  Shelton, Adam           Wed, May 27, 2010       D33-29-05 
 JB129S14AW154B3A3  Civic       2006  13428  23055  Shelton, Adam           Mon, May 25, 2010       D33-29-05 
 JJ162FU19215X7C65  Pilot        2010  45195  44970  Martinez, Katherine     Tue, May 26, 2010       D33-29-04 
 JH154SU18X2229187  Odyssey     2007  21006  32375  Morgan, Milton          Sat, May 23, 2010       D33-29-03 
