Dealer Name: Shelly Walker Honda
Address:     8797 Dixon Drive
             New Whales, SC
Dealer ID:   20
Owner:       Walker, Sally
Date:        Thu, Jun 11, 2010 thru Wed, Jun 17, 2010  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JC132FU1322429C58  CR-V         2010  29435  31995  James, Alma             Mon, Jun 15, 2010       D20-01-07 
 JC134F3132245C29X  CR-V         2010  29755  31995  Lawson, Tyler           Sat, Jun 13, 2010       D20-01-08 
 JB121S12A2243AX72  Civic        2010  14809  16455  Smith, Teresa           Tue, Jun 16, 2010       D20-01-04 
 JH157F3132244B184  Odyssey      2010  41471  45825  Kelley, Edna            Fri, Jun 12, 2010       D20-01-06 
 JA1X7S326224714B6  Accord       2010  23583  25089  Smith, Teresa           Fri, Jun 12, 2010       D20-01-04 
 JK165F11222418B58  Ridgeline    2010  41841  46750  Hoffman, Marilyn        Wed, Jun 17, 2010       D20-01-01 
 JA1X5SU292244B19X  Accord       2010  26140  27089  Simpson, Suzanne        Sat, Jun 13, 2010       D20-01-03 
 JB123H1562246X3B2  Civic        2010  24702  27600  Kelley, Edna            Sun, Jun 14, 2010       D20-01-06 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH158S413XX718927  Odyssey     2007  26928  41375  Simpson, Suzanne        Fri, Jun 12, 2010       D20-01-03 
 JC134F314W246X179  CR-V        2006  19418  31995  Hoffman, Marilyn        Sat, Jun 13, 2010       D20-01-01 
 JH155FU14YX418931  Odyssey     2008  34272  47825  Foster, Leah            Mon, Jun 15, 2010       D20-01-05 
 JH153FU14Y4929A43  Odyssey     2008  32193  45825  James, Alma             Wed, Jun 17, 2010       D20-01-07 
 JH153FU11X374BC65  Odyssey     2007  29040  45825  Hoffman, Marilyn        Wed, Jun 17, 2010       D20-01-01 
 JH155FU11W4671297  Odyssey     2006  27346  47825  Hoffman, Marilyn        Sat, Jun 13, 2010       D20-01-01 
 JH157F319X296X189  Odyssey     2007  29856  45825  Simpson, Suzanne        Fri, Jun 12, 2010       D20-01-03 
 JH153FU16X185CX81  Odyssey     2007  29856  45825  Clark, Veronica         Sun, Jun 14, 2010       D20-01-02 
 JC131F1191286X193  CR-V        2009  24796  30995  James, Alma             Sat, Jun 13, 2010       D20-01-07 
