Dealer Name: Zeigler Honda
Address:     2940 Davison Highway
             Sawyer, TN
Dealer ID:   36
Owner:       Zeigler, Martin
Date:        Thu, Aug 20, 2010 thru Wed, Aug 26, 2010  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB123H15A2344C9C8  Civic        2010  26082  27600  Gonzales, Brian         Thu, Aug 20, 2010       D36-32-03 
 JA113SU3123461B2X  Accord       2010  21366  23480  Washington, Jerry       Mon, Aug 24, 2010       D36-32-01 
 JC131F1102342A7B2  CR-V         2010  29755  30995  Armstrong, Amber        Fri, Aug 21, 2010       D36-32-06 
 JA111S1362343B8C4  Accord       2010  20232  22480  Fleming, Larry          Thu, Aug 20, 2010       D36-32-05 
 JB127S1352345XA16  Civic        2010  15489  16655  Carr, Linda             Sun, Aug 23, 2010       D36-32-04 
 JG148F1172342A7B8  Insight      2010  22682  24390  Webb, Hector            Sat, Aug 22, 2010       D36-32-02 
 JA112F1342344C91X  Accord       2010  30460  32930  Washington, Jerry       Wed, Aug 26, 2010       D36-32-01 
 JB121S12423461B32  Civic        2010  15632  16455  Fleming, Larry          Thu, Aug 20, 2010       D36-32-05 
 JC134F31923483X54  CR-V         2010  28635  31995  Gonzales, Brian         Fri, Aug 21, 2010       D36-32-03 
 JC131F1152343B8X6  CR-V         2010  28825  30995  Armstrong, Amber        Tue, Aug 25, 2010       D36-32-06 
 JG148F1142343B8X8  Insight      2010  22194  24390  Washington, Jerry       Mon, Aug 24, 2010       D36-32-01 
 JC134F3172343B94X  CR-V         2010  30395  31995  Fleming, Larry          Fri, Aug 21, 2010       D36-32-05 
 JA1X3SU232344CA52  Accord       2010  22580  25089  Fleming, Larry          Sun, Aug 23, 2010       D36-32-05 
 JA119S43523461C74  Accord       2010  28961  31480  Webb, Hector            Fri, Aug 21, 2010       D36-32-02 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JD136F112T122A541  CR-Z        2004  10139  24705  Gonzales, Brian         Mon, Aug 24, 2010       D36-32-03 
 JH154SU1AT3261983  Odyssey     2004  13437  32375  Gonzales, Brian         Sat, Aug 22, 2010       D36-32-03 
 JB128SU37X1961985  Civic       2007  10883  17455  Webb, Hector            Mon, Aug 24, 2010       D36-32-02 
 JE141F113X424C767  Crosstour   2007  23801  37640  Gonzales, Brian         Tue, Aug 25, 2010       D36-32-03 
 JH159F410X113B659  Odyssey     2007  36080  56825  Washington, Jerry       Mon, Aug 24, 2010       D36-32-01 
 JG148F11AX3561991  Insight     2007  15321  24390  Carr, Linda             Thu, Aug 20, 2010       D36-32-04 
 JH153FU19Y465X883  Odyssey     2008  41268  45825  Webb, Hector            Mon, Aug 24, 2010       D36-32-02 
 JE142FU10W2P83BB5  Crosstour   2006  23538  38640  Gonzales, Brian         Thu, Aug 20, 2010       D36-32-03 
 JH153FU1AY2272AA7  Odyssey     2008  32832  45825  Webb, Hector            Wed, Aug 26, 2010       D36-32-02 
 JJ161FU12X2883BB9  Pilot       2007  26447  42970  Gonzales, Brian         Sat, Aug 22, 2010       D36-32-03 
 JK165F119227619A1  Ridgeline    2010  42042  46750  Webb, Hector            Mon, Aug 24, 2010       D36-32-02 
