Dealer Name: Ed's Honda One
Address:     7243 Lee Road
             Clarksville, NC
Dealer ID:   2
Owner:       Tipton, Ed
Date:        Thu, Sep 10, 2010 thru Wed, Sep 16, 2010  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB122SU2823782B32  Civic        2010  16564  17255  Shelton, Marion         Fri, Sep 11, 2010       D02-02-04 
 JC131F1152373A6B4  CR-V         2010  29910  30995  Shelton, Marion         Mon, Sep 14, 2010       D02-02-04 
 JB13ASU4423782B36  Civic        2010  22900  23855  Shelton, Judith         Sat, Sep 12, 2010       D02-02-03 
 JA114FU3523782B38  Accord       2010  31554  33930  Moore, Carla            Fri, Sep 11, 2010       D02-02-02 
 JH151F1162376X92X  Odyssey      2010  42583  44825  Shelton, Marion         Tue, Sep 15, 2010       D02-02-04 
 JB123H1522373A6C2  Civic        2010  25668  27600  Watson, Peggy           Sat, Sep 12, 2010       D02-02-01 
 JB122SU292374B7X4  Civic        2010  16047  17255  Moore, Carla            Fri, Sep 11, 2010       D02-02-02 
 JA1X1S1272376X926  Accord       2010  22884  24089  Watson, Peggy           Fri, Sep 11, 2010       D02-02-01 
 JA1X1S123237X7398  Accord       2010  23004  24089  Shelton, Judith         Mon, Sep 14, 2010       D02-02-03 
 JA111S1372374B71X  Accord       2010  21356  22480  Snyder, Pauline         Sat, Sep 12, 2010       D02-02-06 
 JA1X1S125237295C2  Accord       2010  23245  24089  Shelton, Judith         Wed, Sep 16, 2010       D02-02-03 
 JC133FU112373A6X4  CR-V         2010  30425  33995  Watson, Peggy           Wed, Sep 16, 2010       D02-02-01 
 JB127S13623771A46  Civic        2010  16155  16655  Snyder, Pauline         Tue, Sep 15, 2010       D02-02-06 
 JB127S1342373A6X8  Civic        2010  15572  16655  Snyder, Pauline         Sun, Sep 13, 2010       D02-02-06 
 JH15AS11A2376XA7X  Odyssey      2010  26731  29375  Shelton, Marion         Mon, Sep 14, 2010       D02-02-04 
 JA111S13023729632  Accord       2010  21018  22480  Simpson, Greg           Wed, Sep 16, 2010       D02-02-05 
 JB121S1282374B854  Civic        2010  14891  16455  Moore, Carla            Mon, Sep 14, 2010       D02-02-02 
