Dealer Name: Value Honda
Address:     6846 Harrison Ave
             West Junction, AL
Dealer ID:   7
Owner:       Walker, Shelly
Date:        Thu, Sep 10, 2010 thru Wed, Sep 16, 2010  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB123H1562376XBX4  Civic        2010  25668  27600  Meyer, Vincent          Mon, Sep 14, 2010       D07-07-03 
 JE141F1172374B9B6  Crosstour    2010  34440  37640  Meyer, Vincent          Mon, Sep 14, 2010       D07-07-03 
 JB129S14423718688  Civic        2010  21786  23055  Meyer, Vincent          Wed, Sep 16, 2010       D07-07-03 
 JH155FU13237297AX  Odyssey      2010  43759  47825  Chavez, Joy             Thu, Sep 10, 2010       D07-07-05 
 JB129S148237X7582  Civic        2010  22132  23055  Chavez, Joy             Sat, Sep 12, 2010       D07-07-05 
 JD137FU1A23771C24  CR-Z         2010  23391  25705  Mills, Naomi            Tue, Sep 15, 2010       D07-07-06 
 JB121S1212375CAX6  Civic        2010  14644  16455  Patterson, Hilda        Thu, Sep 10, 2010       D07-07-08 
 JB121S12A23718698  Civic        2010  14644  16455  Schmidt, Phillip        Mon, Sep 14, 2010       D07-07-01 
 JB121S1222374B9XX  Civic        2010  15220  16455  Patterson, Hilda        Sat, Sep 12, 2010       D07-07-08 
 JA1X1S1242375CA12  Accord       2010  23366  24089  Meyer, Vincent          Mon, Sep 14, 2010       D07-07-03 
 JE143FU1A237X7594  Crosstour    2010  35966  40640  Caldwell, Wade          Sat, Sep 12, 2010       D07-07-04 
 JA112F1332374B9X6  Accord       2010  30954  32930  Green, Francis          Thu, Sep 10, 2010       D07-07-02 
 JA1X1S1262373A8C8  Accord       2010  22764  24089  Schmidt, Phillip        Sun, Sep 13, 2010       D07-07-01 
 JH155FU1A2374B91X  Odyssey      2010  43042  47825  Green, Francis          Sat, Sep 12, 2010       D07-07-02 
 JB129S14A23782X52  Civic        2010  20634  23055  Mills, Naomi            Sat, Sep 12, 2010       D07-07-06 
 JA112F138237X75A4  Accord       2010  29637  32930  Caldwell, Wade          Thu, Sep 10, 2010       D07-07-04 
 JA111S135237186B6  Accord       2010  21018  22480  Mills, Naomi            Mon, Sep 14, 2010       D07-07-06 
 JA114FU372376XB38  Accord       2010  32572  33930  Chavez, Joy             Tue, Sep 15, 2010       D07-07-05 
 JG149FU11237X761X  Insight      2010  23426  25190  Soto, Victor            Sun, Sep 13, 2010       D07-07-07 
 JB123H15423718722  Civic        2010  24978  27600  Patterson, Hilda        Sat, Sep 12, 2010       D07-07-08 
 JB129S14423718724  Civic        2010  20864  23055  Soto, Victor            Thu, Sep 10, 2010       D07-07-07 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
