Dealer Name: Shelly Walker Honda
Address:     8797 Dixon Drive
             New Whales, SC
Dealer ID:   20
Owner:       Walker, Sally
Date:        Thu, Oct 22, 2010 thru Wed, Oct 28, 2010  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JK166FU122433AX64  Ridgeline    2010  46317  47750  Lawson, Tyler           Sat, Oct 24, 2010       D20-01-08 
 JH152SU1824329C56  Odyssey      2010  28856  30375  James, Alma             Sat, Oct 24, 2010       D20-01-07 
 JG148F113243X7A38  Insight      2010  21829  24390  Simpson, Suzanne        Thu, Oct 22, 2010       D20-01-03 
 JB121S124243714BX  Civic        2010  15714  16455  Kelley, Edna            Tue, Oct 27, 2010       D20-01-06 
 JB129S142243714B2  Civic        2010  21441  23055  Simpson, Suzanne        Mon, Oct 26, 2010       D20-01-03 
 JB128SU35243825C4  Civic        2010  16145  17455  Smith, Teresa           Wed, Oct 28, 2010       D20-01-04 
 JG149FU1A2435C296  Insight      2010  22671  25190  Clark, Veronica         Sun, Oct 25, 2010       D20-01-02 
 JB121S126243714B8  Civic        2010  15796  16455  Lawson, Tyler           Mon, Oct 26, 2010       D20-01-08 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JE143FU18X165CX63  Crosstour   2007  26445  40640  Foster, Leah            Thu, Oct 22, 2010       D20-01-05 
 JH153FU16X34X7815  Odyssey     2007  29040  45825  Smith, Teresa           Sun, Oct 25, 2010       D20-01-04 
 JH156S31AXX95CX67  Odyssey     2007  19690  30375  James, Alma             Fri, Oct 23, 2010       D20-01-07 
 JJ161FU14W253AB49  Pilot       2006  26222  42970  Hoffman, Marilyn        Sat, Oct 24, 2010       D20-01-01 
 JH159F410X454BC61  Odyssey     2007  37094  56825  Foster, Leah            Mon, Oct 26, 2010       D20-01-05 
 JH156S317X39823A3  Odyssey     2007  18613  30375  Hoffman, Marilyn        Thu, Oct 22, 2010       D20-01-01 
 JB121S126212823A5  Civic        2010  15095  16455  Simpson, Suzanne        Tue, Oct 27, 2010       D20-01-03 
 JD136F117W1P3AB57  CR-Z        2006  14418  24705  Lawson, Tyler           Wed, Oct 28, 2010       D20-01-08 
 JK165F11A1314BC69  Ridgeline   2009  37867  46750  Foster, Leah            Tue, Oct 27, 2010       D20-01-05 
