Dealer Name: Lakeside Honda
Address:     6205 Meridian Road
             East Valley, FL
Dealer ID:   39
Owner:       Isern, Mareen
Date:        Thu, Oct 22, 2010 thru Wed, Oct 28, 2010  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JC131F11824383134  CR-V         2010  29135  30995  Lynch, Stacey           Tue, Oct 27, 2010       D39-20-04 
 JC135F4182435XBX6  CR-V         2010  35995  39995  Rivera, Jesus           Fri, Oct 23, 2010       D39-20-03 
 JD137FU18243X8688  CR-Z         2010  23648  25705  Rivera, Jesus           Fri, Oct 23, 2010       D39-20-03 
 JH155FU112433B9CX  Odyssey      2010  43759  47825  Evans, Violet           Wed, Oct 28, 2010       D39-20-06 
 JK166FU17243X8692  Ridgeline    2010  42497  47750  Edwards, Julio          Tue, Oct 27, 2010       D39-20-01 
 JA113SU372432A8B4  Accord       2010  22188  23480  Medina, Jamie           Fri, Oct 23, 2010       D39-20-02 
 JC131F11624361C26  CR-V         2010  28515  30995  Lynch, Stacey           Sun, Oct 25, 2010       D39-20-04 
 JH152SU1924361C28  Odyssey      2010  28096  30375  Edwards, Julio          Sat, Oct 24, 2010       D39-20-01 
 JE142FU1424372X4X  Crosstour    2010  35742  38640  Edwards, Julio          Tue, Oct 27, 2010       D39-20-01 
 JA116FU372435XB22  Accord       2010  31798  35930  Medina, Jamie           Thu, Oct 22, 2010       D39-20-02 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH151F11913472B85  Odyssey     2009  36308  44825  Edwards, Julio          Tue, Oct 27, 2010       D39-20-01 
 JH157F317XX92A637  Odyssey     2007  29040  45825  Evans, Violet           Tue, Oct 27, 2010       D39-20-06 
 JJ162FU19Y183B749  Pilot       2008  40494  44970  Adams, Danny            Sun, Oct 25, 2010       D39-20-05 
 JC133FU171X45X971  CR-V        2009  27535  33995  Rivera, Jesus           Mon, Oct 26, 2010       D39-20-03 
 JC131F11914119533  CR-V        2009  25105  30995  Rivera, Jesus           Wed, Oct 28, 2010       D39-20-03 
 JB121S1291152A645  Civic       2009  13328  16455  Medina, Jamie           Sat, Oct 24, 2010       D39-20-02 
 JH157F313XX73B757  Odyssey     2007  29856  45825  Lynch, Stacey           Mon, Oct 26, 2010       D39-20-04 
 JE144F314W41X8429  Crosstour   2006  23538  38640  Medina, Jamie           Tue, Oct 27, 2010       D39-20-02 
 JG148F119X474C871  Insight     2007  15752  24390  Lynch, Stacey           Sat, Oct 24, 2010       D39-20-04 
 JE142FU11W4319543  Crosstour   2006  23538  38640  Rivera, Jesus           Mon, Oct 26, 2010       D39-20-03 
 JH152SU18W245X985  Odyssey     2006  26730  30375  Evans, Violet           Thu, Oct 22, 2010       D39-20-06 
 JH153FU1AX3561A97  Odyssey     2007  29040  45825  Rivera, Jesus           Sun, Oct 25, 2010       D39-20-03 
 JH151F113X212A659  Odyssey     2007  28400  44825  Rivera, Jesus           Wed, Oct 28, 2010       D39-20-03 
 JB128SU3AX49X8441  Civic       2007  10883  17455  Medina, Jamie           Tue, Oct 27, 2010       D39-20-02 
 JH154SU11X155X993  Odyssey     2007  21006  32375  Medina, Jamie           Sun, Oct 25, 2010       D39-20-02 
 JH157F319XX55X995  Odyssey     2007  29856  45825  Lynch, Stacey           Sat, Oct 24, 2010       D39-20-04 
 JD138FU12X295X997  CR-Z        2007  17443  27705  Edwards, Julio          Sat, Oct 24, 2010       D39-20-01 
 JD139F317Y282A669  CR-Z        2008  18345  25705  Adams, Danny            Sat, Oct 24, 2010       D39-20-05 
 JD136F119T375X9A1  CR-Z        2004  10139  24705  Rivera, Jesus           Sun, Oct 25, 2010       D39-20-03 
 JH151F1131465X9A3  Odyssey     2009  36308  44825  Adams, Danny            Sat, Oct 24, 2010       D39-20-05 
 JC131F117X453B785  CR-V        2007  20098  30995  Edwards, Julio          Wed, Oct 28, 2010       D39-20-01 
 JD136F1172122A677  CR-Z         2010  22437  24705  Medina, Jamie           Tue, Oct 27, 2010       D39-20-02 
 JB129S148X4183CX9  Civic       2007  14874  23055  Rivera, Jesus           Fri, Oct 23, 2010       D39-20-03 
 JH153FU13TX519571  Odyssey     2004  19221  45825  Evans, Violet           Tue, Oct 27, 2010       D39-20-06 
 JH151F116W1272BX3  Odyssey     2006  39735  44825  Edwards, Julio          Fri, Oct 23, 2010       D39-20-01 
