Dealer Name: Isern Honda
Address:     9833 Florida Highway
             Brookland, GA
Dealer ID:   28
Owner:       Isern, Mareen
Date:        Thu, Dec 17, 2010 thru Wed, Dec 23, 2010  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JG148F1162515C498  Insight      2010  22438  24390  Sullivan, Jorge         Tue, Dec 22, 2010       D28-20-02 
 JB121S1242516X5BX  Civic        2010  15796  16455  Young, Bryan            Sun, Dec 20, 2010       D28-20-04 
 JB127S13125118X62  Civic        2010  15405  16655  Sullivan, Jorge         Wed, Dec 23, 2010       D28-20-02 
 JA117S3302514B394  Accord       2010  20897  23480  Stephens, Christy       Sun, Dec 20, 2010       D28-20-06 
 JA111S135251716C6  Accord       2010  21693  22480  Simpson, Charlene       Sat, Dec 19, 2010       D28-20-01 
 JB121S1282513A288  Civic        2010  15467  16455  Young, Bryan            Tue, Dec 22, 2010       D28-20-04 
 JC131F112251716XX  CR-V         2010  27895  30995  Young, Bryan            Thu, Dec 17, 2010       D28-20-04 
 JC134F31525182712  CR-V         2010  29435  31995  Sullivan, Jorge         Fri, Dec 18, 2010       D28-20-02 
 JA1X1S120251716X4  Accord       2010  22643  24089  Young, Bryan            Sat, Dec 19, 2010       D28-20-04 
 JE141F1172513A296  Crosstour    2010  35758  37640  Stephens, Christy       Mon, Dec 21, 2010       D28-20-06 
 JA1X1S12025118X78  Accord       2010  21439  24089  Stephens, Christy       Tue, Dec 22, 2010       D28-20-06 
 JA111S13325118X8X  Accord       2010  20007  22480  Sullivan, Jorge         Wed, Dec 23, 2010       D28-20-02 
 JH151F11425182722  Odyssey      2010  39670  44825  Young, Bryan            Fri, Dec 18, 2010       D28-20-04 
 JB121S12A25118X84  Civic        2010  14562  16455  Stephens, Christy       Tue, Dec 22, 2010       D28-20-06 
 JA1X1S1222516X5X6  Accord       2010  22161  24089  Young, Bryan            Tue, Dec 22, 2010       D28-20-04 
 JG148F11625129198  Insight      2010  22560  24390  Simpson, Charlene       Sun, Dec 20, 2010       D28-20-01 
 JB125G1602514B3CX  Civic        2010  25511  28505  Young, Bryan            Sat, Dec 19, 2010       D28-20-04 
 JB121S12A251X7C82  Civic        2010  14809  16455  Sullivan, Jorge         Sun, Dec 20, 2010       D28-20-02 
 JH153FU1725171624  Odyssey      2010  42846  45825  Young, Bryan            Thu, Dec 17, 2010       D28-20-04 
 JB123H1592513A2B6  Civic        2010  25254  27600  Gregory, Brad           Tue, Dec 22, 2010       D28-20-05 
 JB121S1232516X518  Civic        2010  14480  16455  Sullivan, Jorge         Sun, Dec 20, 2010       D28-20-02 
 JH156S3112514B3XX  Odyssey      2010  27033  30375  Gregory, Brad           Wed, Dec 23, 2010       D28-20-05 
 JA114FU392513A2C2  Accord       2010  31554  33930  Sullivan, Jorge         Sat, Dec 19, 2010       D28-20-02 
 JA111S134251X7C94  Accord       2010  21580  22480  Sullivan, Jorge         Tue, Dec 22, 2010       D28-20-02 
 JG148F1102516X526  Insight      2010  22682  24390  Simpson, Charlene       Wed, Dec 23, 2010       D28-20-01 
 JA1X3SU28251291B8  Accord       2010  23207  25089  Stephens, Christy       Mon, Dec 21, 2010       D28-20-06 
 JB128SU312517164X  Civic        2010  15709  17455  Simpson, Charlene       Sun, Dec 20, 2010       D28-20-01 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH151F114X4PX7A29  Odyssey     2007  27601  44825  Simpson, Charlene       Mon, Dec 21, 2010       D28-20-01 
 JB121S124W284B171  Civic       2006  9783   16455  Sullivan, Jorge         Fri, Dec 18, 2010       D28-20-02 
 JH157F311XX76X393  Odyssey     2007  29040  45825  Gregory, Brad           Fri, Dec 18, 2010       D28-20-05 
 JF146S118X213AX65  Fit         2007  10248  16025  Simpson, Charlene       Fri, Dec 18, 2010       D28-20-01 
 JC134F31AVX5X7A37  CR-V        2005  16324  31995  Gregory, Brad           Wed, Dec 23, 2010       D28-20-05 
 JA1X1S12AW453AX69  Accord      2006  14516  24089  Young, Bryan            Mon, Dec 21, 2010       D28-20-04 
 JC132FU10136X7A41  CR-V        2009  25915  31995  Young, Bryan            Sun, Dec 20, 2010       D28-20-04 
 JH157F312W16825C3  Odyssey     2006  27090  45825  Gregory, Brad           Tue, Dec 22, 2010       D28-20-05 
 JB123H156W2329C65  Civic       2006  16693  27600  Gregory, Brad           Fri, Dec 18, 2010       D28-20-05 
 JG148F116W395C297  Insight     2006  14703  24390  Sullivan, Jorge         Tue, Dec 22, 2010       D28-20-02 
 JH155FU14XX13AX79  Odyssey     2007  30320  47825  Gregory, Brad           Thu, Dec 17, 2010       D28-20-05 
 JH151F111X3918B61  Odyssey     2007  27601  44825  Simpson, Charlene       Thu, Dec 17, 2010       D28-20-01 
 JH155FU10XX66X3B3  Odyssey     2007  29467  47825  Stephens, Christy       Thu, Dec 17, 2010       D28-20-06 
 JB127S13AX154B195  Civic       2007  10662  16655  Gregory, Brad           Tue, Dec 22, 2010       D28-20-05 
 JH153FU19W3318B67  Odyssey     2006  27090  45825  Stephens, Christy       Sun, Dec 20, 2010       D28-20-06 
 JH153FU1211629C79  Odyssey     2009  36660  45825  Gregory, Brad           Wed, Dec 23, 2010       D28-20-05 
