Dealer Name: Sally's Honda Plus
Address:     8187 Kline Ave
             Clarksville, NC
Dealer ID:   1
Owner:       Walker, Sally
Date:        Thu, Dec 24, 2010 thru Thu, Dec 31, 2010  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB129S14925229532  Civic        2010  20864  23055  King, Michelle          Tue, Dec 29, 2010       D01-01-03 
 JE143FU162525C864  Crosstour    2010  35966  40640  Harper, Freddie         Thu, Dec 24, 2010       D01-01-05 
 JB129S14225282B96  Civic        2010  22017  23055  Ryan, Margie            Fri, Dec 25, 2010       D01-01-06 
 JB121S12225271A88  Civic        2010  14562  16455  Jennings, Terry         Thu, Dec 24, 2010       D01-01-02 
 JH15AS1142526X98X  Odyssey      2010  26731  29375  Wood, Lloyd             Mon, Dec 28, 2010       D01-01-04 
 JC131F1152525C872  CR-V         2010  29290  30995  Harper, Freddie         Thu, Dec 24, 2010       D01-01-05 
 JC132FU1125282BA4  CR-V         2010  28635  31995  Wood, Lloyd             Sat, Dec 26, 2010       D01-01-04 
 JD14AF41225282BA6  CR-Z         2010  31008  33705  Ryan, Margie            Tue, Dec 29, 2010       D01-01-06 
 JB127S1342526X988  Civic        2010  15822  16655  Harper, Freddie         Tue, Dec 29, 2010       D01-01-05 
 JE141F11A2521844X  Crosstour    2010  36134  37640  Jennings, Terry         Sat, Dec 26, 2010       D01-01-02 
 JA112F13A25229552  Accord       2010  30789  32930  Russell, Connie         Thu, Dec 24, 2010       D01-01-01 
 JA111S134252X7334  Accord       2010  20344  22480  Wood, Lloyd             Sat, Dec 26, 2010       D01-01-04 
 JB125G1672525C886  Civic        2010  25369  28505  Jennings, Terry         Sat, Dec 26, 2010       D01-01-02 
 JB127S1372525C888  Civic        2010  15988  16655  Wood, Lloyd             Wed, Dec 30, 2010       D01-01-04 
 JA1X9S4232526X9AX  Accord       2010  30607  33089  Ryan, Margie            Wed, Dec 30, 2010       D01-01-06 
 JG148F1112526X9A2  Insight      2010  22194  24390  Russell, Connie         Wed, Dec 30, 2010       D01-01-01 
 JA115SU352526X9A4  Accord       2010  22422  25480  Russell, Connie         Sun, Dec 27, 2010       D01-01-01 
 JB127S13A25282BC6  Civic        2010  15572  16655  Russell, Connie         Tue, Dec 29, 2010       D01-01-01 
 JB122SU2125282BC8  Civic        2010  16651  17255  Jennings, Terry         Sat, Dec 26, 2010       D01-01-02 
 JB127S138252X735X  Civic        2010  14739  16655  Ryan, Margie            Wed, Dec 30, 2010       D01-01-06 
 JH156S31725229572  Odyssey      2010  27793  30375  Harper, Freddie         Thu, Dec 24, 2010       D01-01-05 
 JA111S13425229574  Accord       2010  20794  22480  Harper, Freddie         Tue, Dec 29, 2010       D01-01-05 
 JD136F11725229576  CR-Z         2010  23716  24705  Harper, Freddie         Tue, Dec 29, 2010       D01-01-05 
 JA1X4FU2025218468  Accord       2010  31137  34030  Ryan, Margie            Sat, Dec 26, 2010       D01-01-06 
 JB121S12A252X736X  Civic        2010  15796  16455  Jennings, Terry         Thu, Dec 24, 2010       D01-01-02 
 JB121S1292526X9C2  Civic        2010  15056  16455  Wood, Lloyd             Sun, Dec 27, 2010       D01-01-04 
 JA119S437252X7364  Accord       2010  30220  31480  Harper, Freddie         Sun, Dec 27, 2010       D01-01-05 
 JH15AS11925218476  Odyssey      2010  26731  29375  Ryan, Margie            Wed, Dec 30, 2010       D01-01-06 
 JG148F1182526X9C8  Insight      2010  21951  24390  Ryan, Margie            Sun, Dec 27, 2010       D01-01-06 
 JA1X3SU2025271A1X  Accord       2010  23834  25089  Jennings, Terry         Fri, Dec 25, 2010       D01-01-02 
 JE143FU112523A6A2  Crosstour    2010  36779  40640  Russell, Connie         Tue, Dec 29, 2010       D01-01-01 
 JC131F11925271A14  CR-V         2010  28515  30995  Russell, Connie         Sat, Dec 26, 2010       D01-01-01 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH151F112Y48X7313  Odyssey     2008  32112  44825  Russell, Connie         Thu, Dec 24, 2010       D01-01-01 
 JE141F118Y163A645  Crosstour   2008  27462  37640  Harper, Freddie         Thu, Dec 24, 2010       D01-01-05 
 JB129S142W146X977  Civic       2006  13875  23055  Ryan, Margie            Fri, Dec 25, 2010       D01-01-06 
 JB127S13AV3971A89  Civic       2005  8271   16655  Ryan, Margie            Fri, Dec 25, 2010       D01-01-06 
 JB127S133W3818431  Civic       2006  9907   16655  Ryan, Margie            Thu, Dec 24, 2010       D01-01-06 
 JB121S122W2629543  Civic       2006  9783   16455  King, Michelle          Wed, Dec 30, 2010       D01-01-03 
 JH155FU14V2829545  Odyssey     2005  23462  47825  Harper, Freddie         Sun, Dec 27, 2010       D01-01-05 
 JH159F417W253A657  Odyssey     2006  34813  56825  Russell, Connie         Wed, Dec 30, 2010       D01-01-01 
 JA1X4FU20X134B769  Accord      2007  22095  34030  Wood, Lloyd             Sat, Dec 26, 2010       D01-01-04 
 JH152SU18X215C881  Odyssey     2007  18613  30375  Russell, Connie         Mon, Dec 28, 2010       D01-01-01 
 JB121S122Y4818443  Civic       2008  11912  16455  Wood, Lloyd             Sun, Dec 27, 2010       D01-01-04 
