Dealer Name: Ed's Honda One
Address:     7243 Lee Road
             Clarksville, NC
Dealer ID:   2
Owner:       Tipton, Ed
Date:        Thu, Dec 24, 2010 thru Thu, Dec 31, 2010  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JE141F11625282B26  Crosstour    2010  35005  37640  Moore, Carla            Thu, Dec 24, 2010       D02-02-02 
 JB127S1332525C8C8  Civic        2010  15322  16655  Shelton, Judith         Thu, Dec 24, 2010       D02-02-03 
 JB121S1212525C8XX  Civic        2010  15714  16455  Shelton, Marion         Tue, Dec 29, 2010       D02-02-04 
 JH155FU1525282B32  Odyssey      2010  42564  47825  Shelton, Judith         Sat, Dec 26, 2010       D02-02-03 
 JB127S1362523A6B4  Civic        2010  15072  16655  Shelton, Marion         Thu, Dec 24, 2010       D02-02-04 
 JC134F310252295A6  CR-V         2010  28795  31995  Simpson, Greg           Sat, Dec 26, 2010       D02-02-05 
 JD137FU102526X918  CR-Z         2010  23520  25705  Snyder, Pauline         Sun, Dec 27, 2010       D02-02-06 
 JE141F118252295BX  Crosstour    2010  33311  37640  Snyder, Pauline         Tue, Dec 29, 2010       D02-02-06 
 JB121S129252X7392  Civic        2010  14562  16455  Shelton, Marion         Sun, Dec 27, 2010       D02-02-04 
 JA111S13625282B44  Accord       2010  21018  22480  Moore, Carla            Fri, Dec 25, 2010       D02-02-02 
 JE143FU142523A6C6  Crosstour    2010  39217  40640  Shelton, Judith         Fri, Dec 25, 2010       D02-02-03 
 JA118F338252X7398  Accord       2010  32403  33930  Moore, Carla            Mon, Dec 28, 2010       D02-02-02 
 JD136F1152525C82X  CR-Z         2010  22728  24705  Watson, Peggy           Mon, Dec 28, 2010       D02-02-01 
 JA1X1S128252295C2  Accord       2010  22643  24089  Moore, Carla            Fri, Dec 25, 2010       D02-02-02 
 JE141F11025282B54  Crosstour    2010  35569  37640  Shelton, Judith         Sun, Dec 27, 2010       D02-02-03 
 JB129S14525271A46  Civic        2010  22017  23055  Shelton, Judith         Tue, Dec 29, 2010       D02-02-03 
 JC131F115252295C8  CR-V         2010  29290  30995  Shelton, Judith         Mon, Dec 28, 2010       D02-02-03 
 JH152SU182524B85X  Odyssey      2010  26881  30375  Shelton, Marion         Tue, Dec 29, 2010       D02-02-04 
 JB122SU2425229632  Civic        2010  15443  17255  Shelton, Judith         Sat, Dec 26, 2010       D02-02-03 
 JC133FU1A2523A744  CR-V         2010  32805  33995  Shelton, Judith         Thu, Dec 24, 2010       D02-02-03 
 JB121S12625218526  Civic        2010  15632  16455  Shelton, Marion         Sun, Dec 27, 2010       D02-02-04 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH153FU15X3318445  Odyssey     2007  29856  45825  Shelton, Judith         Thu, Dec 24, 2010       D02-02-03 
 JD136F115W366X997  CR-Z        2006  14898  24705  Shelton, Judith         Sat, Dec 26, 2010       D02-02-03 
 JJ162FU14Y124B779  Pilot       2008  32842  44970  Snyder, Pauline         Sun, Dec 27, 2010       D02-02-06 
 JH153FU1513218451  Odyssey     2009  37118  45825  Shelton, Marion         Mon, Dec 28, 2010       D02-02-04 
 JK169F414T2P29563  Ridgeline   2004  24778  58750  Shelton, Judith         Sat, Dec 26, 2010       D02-02-03 
 JH156S311X1882BC5  Odyssey     2007  19152  30375  Watson, Peggy           Fri, Dec 25, 2010       D02-02-01 
 JA1X1S122X4129567  Accord      2007  15554  24089  Snyder, Pauline         Thu, Dec 24, 2010       D02-02-06 
 JD138FU11X525C899  CR-Z        2007  17933  27705  Snyder, Pauline         Fri, Dec 25, 2010       D02-02-06 
 JA1X3SU242X35C8A1  Accord       2010  22909  25089  Shelton, Marion         Tue, Dec 29, 2010       D02-02-04 
 JJ16AF115V133A683  Pilot       2005  21561  41970  Moore, Carla            Thu, Dec 24, 2010       D02-02-02 
 JH157F316X355C8A5  Odyssey     2007  29040  45825  Shelton, Judith         Mon, Dec 28, 2010       D02-02-03 
 JD138FU18YX55C8A7  CR-Z        2008  20170  27705  Watson, Peggy           Thu, Dec 24, 2010       D02-02-01 
 JB121S123Y4382BX9  Civic       2008  11912  16455  Shelton, Marion         Mon, Dec 28, 2010       D02-02-04 
 JH153FU13WX418471  Odyssey     2006  27090  45825  Watson, Peggy           Sat, Dec 26, 2010       D02-02-01 
