Dealer Name: Harrison Honda
Address:     692 Sanders Ave
             Port Kiln, SC
Dealer ID:   11
Owner:       Harrision, Owen
Date:        Thu, Dec 24, 2010 thru Thu, Dec 31, 2010  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA1X5SU25252711X2  Accord       2010  25328  27089  Day, Jennifer           Mon, Dec 28, 2010       D11-10-06 
 JH153FU1625282214  Odyssey      2010  41013  45825  Day, Jennifer           Wed, Dec 30, 2010       D11-10-06 
 JB127S137252711X6  Civic        2010  15405  16655  Day, Jennifer           Wed, Dec 30, 2010       D11-10-06 
 JA111S1332524BBA8  Accord       2010  20456  22480  Lambert, Donna          Sat, Dec 26, 2010       D11-10-04 
 JB121S1222525CCCX  Civic        2010  15879  16455  Mason, Felicia          Sat, Dec 26, 2010       D11-10-02 
 JC133FU1825271112  CR-V         2010  30255  33995  Bishop, Joann           Mon, Dec 28, 2010       D11-10-05 
 JG148F1192524BBB4  Insight      2010  23170  24390  Bishop, Joann           Fri, Dec 25, 2010       D11-10-05 
 JB127S1302526XXX6  Civic        2010  14989  16655  Fields, Joan            Sat, Dec 26, 2010       D11-10-03 
 JB127S13025282228  Civic        2010  15905  16655  Bishop, Joann           Mon, Dec 28, 2010       D11-10-05 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH159F415V5229751  Odyssey     2005  27962  56825  Burke, Derrick          Tue, Dec 29, 2010       D11-10-01 
 JH153FU14W374B973  Odyssey     2006  26187  45825  Mason, Felicia          Mon, Dec 28, 2010       D11-10-02 
 JD137FU15X1118645  CR-Z        2007  16617  25705  Bishop, Joann           Fri, Dec 25, 2010       D11-10-05 
 JE142FU15X2129757  Crosstour   2007  24441  38640  Mason, Felicia          Thu, Dec 24, 2010       D11-10-02 
 JH155FU191X36XB99  Odyssey     2009  38260  47825  Burke, Derrick          Fri, Dec 25, 2010       D11-10-01 
 JK167FU16X3771CB1  Ridgeline   2007  31552  49750  Fields, Joan            Thu, Dec 24, 2010       D11-10-03 
 JC132FU1AW245CA93  CR-V        2006  19418  31995  Burke, Derrick          Wed, Dec 30, 2010       D11-10-01 
 JD136F116TX871CB5  CR-Z        2004  10139  24705  Mason, Felicia          Sun, Dec 27, 2010       D11-10-02 
 JJ161FU18W2371CB7  Pilot       2006  24531  42970  Burke, Derrick          Fri, Dec 25, 2010       D11-10-01 
 JA111S133WX34B989  Accord      2006  13519  22480  Day, Jennifer           Mon, Dec 28, 2010       D11-10-06 
 JC131F110XX571CC1  CR-V        2007  20098  30995  Bishop, Joann           Tue, Dec 29, 2010       D11-10-05 
 JE143FU16X156XBB3  Crosstour   2007  26445  40640  Day, Jennifer           Thu, Dec 24, 2010       D11-10-06 
 JE141F119W2518665  Crosstour   2006  22918  37640  Mason, Felicia          Mon, Dec 28, 2010       D11-10-02 
 JH153FU16XX271CC7  Odyssey     2007  29856  45825  Mason, Felicia          Tue, Dec 29, 2010       D11-10-02 
 JH151F112W426XBB9  Odyssey     2006  25607  44825  Burke, Derrick          Tue, Dec 29, 2010       D11-10-01 
 JG148F11AV2918671  Insight     2005  11745  24390  Lambert, Donna          Mon, Dec 28, 2010       D11-10-04 
 JB129S141X26X7563  Civic       2007  14467  23055  Burke, Derrick          Thu, Dec 24, 2010       D11-10-01 
 JC135F419W4518675  CR-V        2006  24378  39995  Fields, Joan            Mon, Dec 28, 2010       D11-10-03 
 JJ162FU15X3929787  Pilot       2007  28492  44970  Burke, Derrick          Wed, Dec 30, 2010       D11-10-01 
