Dealer Name: Donner Honda
Address:     9484 Ford Parkwark
             Hinds, NC
Dealer ID:   14
Owner:       Donner, Earl
Date:        Thu, Dec 24, 2010 thru Thu, Dec 31, 2010  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB127S131252X787X  Civic        2010  15156  16655  Rose, Terrance          Sun, Dec 27, 2010       D14-13-06 
 JB121S1202526X1X2  Civic        2010  14891  16455  Carr, Geraldine         Thu, Dec 24, 2010       D14-13-08 
 JE141F1142524BCB4  Crosstour    2010  35946  37640  Reid, Danielle          Sat, Dec 26, 2010       D14-13-03 
 JH152SU1925218986  Odyssey      2010  27185  30375  Carr, Geraldine         Wed, Dec 30, 2010       D14-13-08 
 JB121S1252523ABA8  Civic        2010  14891  16455  Reynolds, Alan          Mon, Dec 28, 2010       D14-13-01 
 JH153FU1A2526X11X  Odyssey      2010  41242  45825  Reynolds, Alan          Sun, Dec 27, 2010       D14-13-01 
 JB121S1242526X112  Civic        2010  14809  16455  Reid, Danielle          Mon, Dec 28, 2010       D14-13-03 
 JB122SU2525218994  Civic        2010  15270  17255  Dixon, Alfredo          Mon, Dec 28, 2010       D14-13-02 
 JB127S1352523ABB6  Civic        2010  15905  16655  Peters, Stacey          Sun, Dec 27, 2010       D14-13-09 
 JC131F11625218998  CR-V         2010  28205  30995  Edwards, Heather        Sun, Dec 27, 2010       D14-13-04 
 JA115SU38252189AX  Accord       2010  22677  25480  Fowler, Charlotte       Tue, Dec 29, 2010       D14-13-07 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH151F118X384BA79  Odyssey     2007  29198  44825  Reid, Danielle          Fri, Dec 25, 2010       D14-13-03 
 JB128SU31V1118751  Civic       2005  8277   17455  Reynolds, Alan          Sun, Dec 27, 2010       D14-13-01 
 JH157F311V393A973  Odyssey     2005  22462  45825  Hart, Leona             Fri, Dec 25, 2010       D14-13-05 
 JG148F116WX871XB5  Insight     2006  14229  24390  Fowler, Charlotte       Tue, Dec 29, 2010       D14-13-07 
 JB127S138W183A977  Civic       2006  9588   16655  Dixon, Alfredo          Sun, Dec 27, 2010       D14-13-02 
 JH153FU16X2P3A979  Odyssey     2007  29040  45825  Dixon, Alfredo          Sun, Dec 27, 2010       D14-13-02 
 JH155FU14X423A981  Odyssey     2007  30320  47825  Carr, Geraldine         Wed, Dec 30, 2010       D14-13-08 
 JE142FU13X3429873  Crosstour   2007  25129  38640  Peters, Stacey          Mon, Dec 28, 2010       D14-13-09 
