Dealer Name: Top Pick Honda
Address:     2795 Brooklin Ave
             Harrison, SC
Dealer ID:   5
Owner:       Houseman, Jonathan
Date:        Fri, Jan 15, 2011 thru Thu, Jan 21, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA111S1333X35C9C8  Accord       2011  21910  22480  Lynch, Christian        Sun, Jan 17, 2011       D05-05-02 
 JB127S1343X33A7BX  Civic        2011  16373  16655  Brooks, Herman          Thu, Jan 21, 2011       D05-05-01 
 JH153FU103X33A7B2  Odyssey      2011  41675  45825  Snyder, Norma           Sat, Jan 16, 2011       D05-05-04 
 JB123H1553X34B8C4  Civic        2011  25877  27600  Foster, Leona           Sat, Jan 16, 2011       D05-05-07 
 JB127S1373X3296A6  Civic        2011  15360  16655  Brooks, Herman          Wed, Jan 20, 2011       D05-05-01 
 JE141F1153X382C38  Crosstour    2011  35971  37640  Foster, Leona           Sun, Jan 17, 2011       D05-05-07 
 JH153FU123X382C4X  Odyssey      2011  41214  45825  Foster, Leona           Thu, Jan 21, 2011       D05-05-07 
 JB129S1443X33A7C2  Civic        2011  21301  23055  Foster, Leona           Mon, Jan 18, 2011       D05-05-07 
 JH15AS1173X371B34  Odyssey      2011  26492  29375  Moreno, Tyrone          Mon, Jan 18, 2011       D05-05-03 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB127S137X456XAX9  Civic       2007  10047  16655  Snyder, Norma           Tue, Jan 19, 2011       D05-05-04 
 JE144F314Y346XA11  Crosstour   2008  24585  38640  Brooks, Herman          Sat, Jan 16, 2011       D05-05-01 
 JB13ASU48W44296A3  Civic       2006  11590  23855  Marshall, Donna         Sat, Jan 16, 2011       D05-05-05 
 JH153FU1AW1671B25  Odyssey     2006  22575  45825  Snyder, Norma           Fri, Jan 15, 2011       D05-05-04 
 JB127S1361433A7B7  Civic       2009  12224  16655  Lynch, Christian        Sat, Jan 16, 2011       D05-05-02 
 JH151F110Y32296A9  Odyssey     2008  28544  44825  Foster, Leona           Fri, Jan 15, 2011       D05-05-07 
 JD137FU1A1385C911  CR-Z        2009  18867  25705  Lynch, Christian        Fri, Jan 15, 2011       D05-05-02 
 JG148F116Y495C913  Insight     2008  15465  24390  Ford, Roger             Fri, Jan 15, 2011       D05-05-08 
