Dealer Name: Newton Honda
Address:     4893 Brooklin Ave
             Granger, AL
Dealer ID:   34
Owner:       Newton, Robert
Date:        Fri, Jan 22, 2011 thru Thu, Jan 28, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JC132FU143X4X858X  CR-V         2011  29964  31995  Torres, Caroline        Mon, Jan 25, 2011       D34-30-01 
 JA113SU373X461B12  Accord       2011  22164  23480  Rodriquez, Jorge        Sat, Jan 23, 2011       D34-30-04 
 JB127S1303X461B14  Civic        2011  15614  16655  Jensen, Bill            Wed, Jan 27, 2011       D34-30-06 
 JH155FU163X44C9C6  Odyssey      2011  45647  47825  Rice, Georgia           Mon, Jan 25, 2011       D34-30-03 
 JB121S12A3X43B8B8  Civic        2011  15512  16455  Webb, Ken               Tue, Jan 26, 2011       D34-30-02 
 JA1X7S3233X483X4X  Accord       2011  23921  25089  Bennett, Michele        Mon, Jan 25, 2011       D34-30-05 
 JA115SU3A3X43B8C2  Accord       2011  24291  25480  Bennett, Michele        Fri, Jan 22, 2011       D34-30-05 
 JB127S13A3X472C34  Civic        2011  15107  16655  Webb, Ken               Thu, Jan 28, 2011       D34-30-02 
 JD137FU1A3X4X8596  CR-Z         2011  23337  25705  Bennett, Michele        Tue, Jan 26, 2011       D34-30-05 
 JD136F1133X472C38  CR-Z         2011  22935  24705  Rodriquez, Jorge        Fri, Jan 22, 2011       D34-30-04 
 JA111S1343X45XA2X  Accord       2011  20320  22480  Bennett, Michele        Tue, Jan 26, 2011       D34-30-05 
 JH152SU143X43B8X2  Odyssey      2011  28611  30375  Webb, Ken               Thu, Jan 28, 2011       D34-30-02 
 JA112F1393X4196B4  Accord       2011  29839  32930  Rodriquez, Jorge        Tue, Jan 26, 2011       D34-30-04 
 JD138FU153X472C46  CR-Z         2011  26393  27705  Webb, Ken               Sat, Jan 23, 2011       D34-30-02 
 JB129S1463X472C48  Civic        2011  21068  23055  Webb, Ken               Tue, Jan 26, 2011       D34-30-02 
 JB121S1253X461C7X  Civic        2011  15262  16455  Bennett, Michele        Sun, Jan 24, 2011       D34-30-05 
 JB127S1373X419722  Civic        2011  15529  16655  Bennett, Michele        Fri, Jan 22, 2011       D34-30-05 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH157F313Y2619437  Odyssey     2008  29184  45825  Rodriquez, Jorge        Sun, Jan 24, 2011       D34-30-04 
 JB129S149Y1272A99  Civic       2008  15022  23055  Jensen, Bill            Mon, Jan 25, 2011       D34-30-06 
 JB127S134X245X881  Civic       2007  10047  16655  Jensen, Bill            Sat, Jan 23, 2011       D34-30-06 
 JH155FU10YX85X883  Odyssey     2008  31320  47825  Torres, Caroline        Tue, Jan 26, 2011       D34-30-01 
 JK167FU10X52X8335  Ridgeline   2007  29580  49750  Rodriquez, Jorge        Wed, Jan 27, 2011       D34-30-04 
 JH152SU111342A557  Odyssey     2009  22295  30375  Jensen, Bill            Wed, Jan 27, 2011       D34-30-06 
 JC132FU12W5P4C779  CR-V        2006  16443  31995  Jensen, Bill            Fri, Jan 22, 2011       D34-30-06 
 JJ163F315X444C781  Pilot       2007  25512  42970  Jensen, Bill            Sat, Jan 23, 2011       D34-30-06 
 JC131F116Y28619A3  CR-V        2008  20246  30995  Torres, Caroline        Fri, Jan 22, 2011       D34-30-01 
 JG149FU19YX43B675  Insight     2008  16426  25190  Rice, Georgia           Wed, Jan 27, 2011       D34-30-03 
