Dealer Name: Kaplan Honda
Address:     1605 Nebraska Blvd
             East Valley, FL
Dealer ID:   38
Owner:       Kaplan, Edward
Date:        Fri, Feb 12, 2011 thru Thu, Feb 18, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JJ162FU113X761X7X  Pilot        2011  39997  44970  Lee, Jason              Sun, Feb 14, 2011       D38-34-03 
 JB121S1243X72A932  Civic        2011  15345  16455  Rice, Ruth              Thu, Feb 18, 2011       D38-34-06 
 JB129S1413X7X8714  Civic        2011  22232  23055  Murphy, Roger           Wed, Feb 17, 2011       D38-34-01 
 JB127S1353X783296  Civic        2011  16373  16655  Lee, Jason              Sun, Feb 14, 2011       D38-34-03 
 JE145F4153X72A938  Crosstour    2011  41475  46640  Henry, Courtney         Tue, Feb 16, 2011       D38-34-05 
 JD136F1133X72A94X  CR-Z         2011  23683  24705  Alvarez, Bill           Sun, Feb 14, 2011       D38-34-02 
 JG149FU103X7X8722  Insight      2011  24525  25190  Rice, Ruth              Sun, Feb 14, 2011       D38-34-06 
 JB121S1203X72A944  Civic        2011  14761  16455  Alvarez, Darrell        Sun, Feb 14, 2011       D38-34-04 
 JH154SU1A3X7X8726  Odyssey      2011  30155  32375  Alvarez, Bill           Fri, Feb 12, 2011       D38-34-02 
 JA112F1303X75XC78  Accord       2011  32160  32930  Henry, Courtney         Sat, Feb 13, 2011       D38-34-05 
 JH151F1173X71984X  Odyssey      2011  43698  44825  Alvarez, Bill           Mon, Feb 15, 2011       D38-34-02 
 JA1X3SU293X74CB72  Accord       2011  23415  25089  Rice, Ruth              Fri, Feb 12, 2011       D38-34-06 
 JB127S1383X73BA64  Civic        2011  15782  16655  Henry, Courtney         Wed, Feb 17, 2011       D38-34-05 
 JF146S1173X7X8736  Fit          2011  15518  16025  Murphy, Roger           Thu, Feb 18, 2011       D38-34-01 
 JA1X3SU253X761X98  Accord       2011  23795  25089  Murphy, Roger           Mon, Feb 15, 2011       D38-34-01 
 JB121S1263X71985X  Civic        2011  15679  16455  Alvarez, Bill           Sun, Feb 14, 2011       D38-34-02 
 JE141F1123X72A962  Crosstour    2011  33699  37640  Alvarez, Darrell        Fri, Feb 12, 2011       D38-34-04 
 JC131F1133X719854  CR-V         2011  27629  30995  Alvarez, Darrell        Sun, Feb 14, 2011       D38-34-04 
 JC132FU163X719856  CR-V         2011  28353  31995  Rice, Ruth              Sun, Feb 14, 2011       D38-34-06 
 JC131F1123X7X8748  CR-V         2011  29346  30995  Alvarez, Darrell        Wed, Feb 17, 2011       D38-34-04 
 JC131F1193X7721CX  CR-V         2011  29971  30995  Alvarez, Darrell        Mon, Feb 15, 2011       D38-34-04 
 JB127S13A3X73BA82  Civic        2011  14938  16655  Alvarez, Bill           Wed, Feb 17, 2011       D38-34-02 
 JB121S1293X72A974  Civic        2011  14761  16455  Alvarez, Darrell        Tue, Feb 16, 2011       D38-34-04 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JD138FU14VX572BB9  CR-Z        2005  11526  27705  Rice, Ruth              Sat, Feb 13, 2011       D38-34-06 
 JJ161FU18Y332A671  Pilot       2008  27356  42970  Alvarez, Bill           Wed, Feb 17, 2011       D38-34-02 
 JD137FU15Y3372BC3  CR-Z        2008  16765  25705  Rice, Ruth              Fri, Feb 12, 2011       D38-34-06 
 JF146S114Y282A675  Fit         2008  10112  16025  Rice, Ruth              Sun, Feb 14, 2011       D38-34-06 
 JH152SU10Y353B787  Odyssey     2008  19296  30375  Murphy, Roger           Wed, Feb 17, 2011       D38-34-01 
 JC133FU10Y2983CX9  CR-V        2008  22220  33995  Murphy, Roger           Wed, Feb 17, 2011       D38-34-01 
 JB125G1651462A681  Civic       2009  20922  28505  Murphy, Roger           Sun, Feb 14, 2011       D38-34-01 
 JD14AF4193X3X8463  CR-Z         2011  30910  33705  Alvarez, Bill           Mon, Feb 15, 2011       D38-34-02 
 JH152SU182X65X9B5  Odyssey     2010  24174  30375  Lee, Jason              Sat, Feb 13, 2011       D38-34-03 
 JE143FU19Y375X9B7  Crosstour   2008  25865  40640  Rice, Ruth              Sun, Feb 14, 2011       D38-34-06 
 JK165F11AY3661AC9  Ridgeline   2008  30613  46750  Lee, Jason              Wed, Feb 17, 2011       D38-34-03 
 JC131F1101475X9C1  CR-V        2009  22316  30995  Murphy, Roger           Sat, Feb 13, 2011       D38-34-01 
 JH155FU14Y34X8473  Odyssey     2008  30464  47825  Rice, Ruth              Thu, Feb 18, 2011       D38-34-06 
 JH15AS119Y4872B15  Odyssey     2008  18656  29375  Lee, Jason              Wed, Feb 17, 2011       D38-34-03 
 JB121S124Y4119587  Civic       2008  10679  16455  Henry, Courtney         Tue, Feb 16, 2011       D38-34-05 
 JB125G160W2419589  Civic       2006  14610  28505  Lee, Jason              Sat, Feb 13, 2011       D38-34-03 
 JC133FU12Y2519591  CR-V        2008  21612  33995  Alvarez, Bill           Wed, Feb 17, 2011       D38-34-02 
 JA112F13AY274C8C3  Accord      2008  21519  32930  Rice, Ruth              Tue, Feb 16, 2011       D38-34-06 
