Dealer Name: Wallace Honda
Address:     2132 Tupelo Road
             Clarksville, NC
Dealer ID:   4
Owner:       Wallace, Patrick
Date:        Fri, Feb 19, 2011 thru Thu, Feb 25, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB121S1253X882CCX  Civic        2011  16012  16455  Dixon, Patsy            Sun, Feb 21, 2011       D04-04-07 
 JB127S1363X86XAA2  Civic        2011  16204  16655  Miller, Julian          Tue, Feb 23, 2011       D04-04-04 
 JB121S1233X871BB4  Civic        2011  15762  16455  Pena, Elaine            Mon, Feb 22, 2011       D04-04-05 
 JB129S1493X829666  Civic        2011  22465  23055  Wilson, Chad            Fri, Feb 19, 2011       D04-04-08 
 JA1X3SU2A3X83A778  Accord       2011  24174  25089  Wilson, Chad            Sun, Feb 21, 2011       D04-04-08 
 JE141F1163X82967X  Crosstour    2011  35782  37640  Russell, Jerry          Thu, Feb 25, 2011       D04-04-03 
 JB124HU523X8X7452  Civic        2011  25619  28400  Dixon, Patsy            Fri, Feb 19, 2011       D04-04-07 
 JD136F11A3X84B894  CR-Z         2011  23683  24705  Dixon, Patsy            Sat, Feb 20, 2011       D04-04-07 
 JB121S1243X882CX6  Civic        2011  15679  16455  Wilson, Chad            Mon, Feb 22, 2011       D04-04-08 
 JB127S1343X871BC8  Civic        2011  15192  16655  Dixon, Patsy            Sun, Feb 21, 2011       D04-04-07 
 JB121S1263X84B8AX  Civic        2011  14928  16455  Wilson, Chad            Mon, Feb 22, 2011       D04-04-08 
 JG148F1113X818572  Insight      2011  22399  24390  Richards, Angela        Sat, Feb 20, 2011       D04-04-06 
 JC131F1173X882C14  CR-V         2011  28878  30995  Dixon, Patsy            Sat, Feb 20, 2011       D04-04-07 
 JB127S1393X882C16  Civic        2011  15867  16655  Wilson, Chad            Sun, Feb 21, 2011       D04-04-08 
 JH15AS1133X829688  Odyssey      2011  28564  29375  Russell, Jerry          Sun, Feb 21, 2011       D04-04-03 
 JE142FU1A3X86XAXX  Crosstour    2011  35755  38640  Dixon, Patsy            Mon, Feb 22, 2011       D04-04-07 
 JB125G1683X83A7A2  Civic        2011  26862  28505  Richards, Angela        Mon, Feb 22, 2011       D04-04-06 
 JA1X1S1233X882C24  Accord       2011  21761  24089  Lucas, Carl             Fri, Feb 19, 2011       D04-04-01 
 JB124HU503X882C26  Civic        2011  26907  28400  Wilson, Chad            Tue, Feb 23, 2011       D04-04-08 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH153FU17W4718533  Odyssey     2006  22575  45825  Lucas, Carl             Thu, Feb 25, 2011       D04-04-01 
 JH151F114X4171B95  Odyssey     2007  26625  44825  Russell, Jerry          Tue, Feb 23, 2011       D04-04-03 
 JD139F31425P18537  CR-Z        2010  21003  25705  Campbell, Jeanne        Sat, Feb 20, 2011       D04-04-02 
 JH159F414X4P71B99  Odyssey     2007  34952  56825  Lucas, Carl             Sun, Feb 21, 2011       D04-04-01 
 JE141F11512329651  Crosstour   2009  34064  37640  Pena, Elaine            Thu, Feb 25, 2011       D04-04-05 
 JH151F114Y125C983  Odyssey     2008  29346  44825  Pena, Elaine            Thu, Feb 25, 2011       D04-04-05 
 JJ161FU13X5P71BA5  Pilot       2007  26362  42970  Russell, Jerry          Sat, Feb 20, 2011       D04-04-03 
 JB127S136X3618547  Civic       2007  9723   16655  Lucas, Carl             Thu, Feb 25, 2011       D04-04-01 
 JB127S136Y3682CB9  Civic       2008  10810  16655  Wilson, Chad            Mon, Feb 22, 2011       D04-04-08 
 JF146S111X5P18551  Fit         2007  9656   16025  Lucas, Carl             Thu, Feb 25, 2011       D04-04-01 
 JH155FU19Y1882CC3  Odyssey     2008  31320  47825  Pena, Elaine            Thu, Feb 25, 2011       D04-04-05 
 JB127S138X2618555  Civic       2007  10047  16655  Lucas, Carl             Tue, Feb 23, 2011       D04-04-01 
 JC133FU14Y444B887  CR-V        2008  30561  33995  Dixon, Patsy            Wed, Feb 24, 2011       D04-04-07 
 JB128SU34V296XAA9  Civic       2005  7118   17455  Pena, Elaine            Sat, Feb 20, 2011       D04-04-05 
 JJ16AF1142196XAB1  Pilot       2010  34177  41970  Richards, Angela        Sun, Feb 21, 2011       D04-04-06 
 JE141F113XX56XAB3  Crosstour   2007  23057  37640  Dixon, Patsy            Fri, Feb 19, 2011       D04-04-07 
 JC133FU13YX76XAB5  CR-V        2008  22220  33995  Richards, Angela        Sat, Feb 20, 2011       D04-04-06 
 JG148F11611229677  Insight     2009  17902  24390  Russell, Jerry          Fri, Feb 19, 2011       D04-04-03 
 JE142FU151264B899  Crosstour   2009  27820  38640  Dixon, Patsy            Tue, Feb 23, 2011       D04-04-07 
 JH153FU16X2218571  Odyssey     2007  26317  45825  Richards, Angela        Sat, Feb 20, 2011       D04-04-06 
 JK168F316Y145C9B3  Ridgeline   2008  31271  47750  Richards, Angela        Fri, Feb 19, 2011       D04-04-06 
 JH151F11AW383A795  Odyssey     2006  22075  44825  Campbell, Jeanne        Mon, Feb 22, 2011       D04-04-02 
 JH152SU13X4582C17  Odyssey     2007  18553  30375  Dixon, Patsy            Wed, Feb 24, 2011       D04-04-07 
 JK166FU143X66XAC9  Ridgeline    2011  43380  47750  Lucas, Carl             Fri, Feb 19, 2011       D04-04-01 
