Dealer Name: Top Pick Honda
Address:     2795 Brooklin Ave
             Harrison, SC
Dealer ID:   5
Owner:       Houseman, Jonathan
Date:        Fri, Feb 19, 2011 thru Thu, Feb 25, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB121S1243X83A7A8  Civic        2011  14761  16455  Foster, Leona           Fri, Feb 19, 2011       D05-05-07 
 JA1X8F3243X81859X  Accord       2011  31857  34030  Snyder, Norma           Sun, Feb 21, 2011       D05-05-04 
 JH152SU183X882C32  Odyssey      2011  29376  30375  Moreno, Tyrone          Tue, Feb 23, 2011       D05-05-03 
 JE142FU123X871B24  Crosstour    2011  37504  38640  Snyder, Norma           Tue, Feb 23, 2011       D05-05-04 
 JC131F1103X8296A6  CR-V         2011  28410  30995  Moreno, Tyrone          Mon, Feb 22, 2011       D05-05-03 
 JB121S1283X85C9X8  Civic        2011  15262  16455  Ford, Roger             Fri, Feb 19, 2011       D05-05-08 
 JB121S1283X83A7CX  Civic        2011  16096  16455  Lynch, Christian        Mon, Feb 22, 2011       D05-05-02 
 JB121S1293X83A7C2  Civic        2011  15846  16455  Ford, Roger             Tue, Feb 23, 2011       D05-05-08 
 JB127S1333X83A7C4  Civic        2011  15107  16655  Ford, Roger             Sat, Feb 20, 2011       D05-05-08 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB127S1341X73A7A9  Civic       2009  11991  16655  Lynch, Christian        Fri, Feb 19, 2011       D05-05-02 
 JB127S134X1971B21  Civic       2007  9723   16655  Marshall, Donna         Mon, Feb 22, 2011       D05-05-05 
 JH157F314Y47296A3  Odyssey     2008  29184  45825  Brooks, Herman          Thu, Feb 25, 2011       D05-05-01 
 JD136F119Y4671B25  CR-Z        2008  15667  24705  Marshall, Donna         Sat, Feb 20, 2011       D05-05-05 
 JE142FU11YX2X7487  Crosstour   2008  24585  38640  Ford, Roger             Tue, Feb 23, 2011       D05-05-08 
 JH157F314Y3P5C9X9  Odyssey     2008  29184  45825  Ford, Roger             Tue, Feb 23, 2011       D05-05-08 
 JJ16AF117X5P4B8X1  Pilot       2007  24081  41970  Lynch, Christian        Tue, Feb 23, 2011       D05-05-02 
 JE141F110W51296B3  Crosstour   2006  18482  37640  Moreno, Tyrone          Mon, Feb 22, 2011       D05-05-03 
