Dealer Name: Royal Honda
Address:     8627 Davis Highway
             Port Kiln, SC
Dealer ID:   13
Owner:       Olson, Julie
Date:        Fri, Feb 19, 2011 thru Thu, Feb 25, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB121S1233X86X18X  Civic        2011  15679  16455  Austin, Marcus          Mon, Feb 22, 2011       D13-12-02 
 JA114FU3A3X86X182  Accord       2011  31764  33930  Oliver, Walter          Sun, Feb 21, 2011       D13-12-03 
 JJ162FU173X8823A4  Pilot        2011  42935  44970  Oliver, Walter          Sun, Feb 21, 2011       D13-12-03 
 JH15AS1103X829A46  Odyssey      2011  26344  29375  Watkins, Terrence       Sat, Feb 20, 2011       D13-12-01 
 JE142FU163X83AB58  Crosstour    2011  34395  38640  Watkins, Terrence       Thu, Feb 25, 2011       D13-12-01 
 JJ163F3163X85CX8X  Pilot        2011  38011  42970  Austin, Marcus          Tue, Feb 23, 2011       D13-12-02 
 JB121S1233X829A52  Civic        2011  15679  16455  Austin, Marcus          Tue, Feb 23, 2011       D13-12-02 
 JH152SU193X829A54  Odyssey      2011  28457  30375  Austin, Marcus          Thu, Feb 25, 2011       D13-12-02 
 JD136F1163X8X7836  CR-Z         2011  23309  24705  Oliver, Walter          Sun, Feb 21, 2011       D13-12-03 
 JG148F1193X818948  Insight      2011  23630  24390  Watkins, Terrence       Sat, Feb 20, 2011       D13-12-01 
 JB127S1313X83AB7X  Civic        2011  15107  16655  Austin, Marcus          Sun, Feb 21, 2011       D13-12-02 
 JA119S4383X85CX92  Accord       2011  29485  31480  Watkins, Terrence       Sun, Feb 21, 2011       D13-12-01 
 JC134F3103X8712B4  CR-V         2011  30770  31995  Oliver, Walter          Wed, Feb 24, 2011       D13-12-03 
 JB129S1473X818956  Civic        2011  21534  23055  Watkins, Terrence       Tue, Feb 23, 2011       D13-12-01 
 JA111S1343X85CX98  Accord       2011  21796  22480  Oliver, Walter          Sat, Feb 20, 2011       D13-12-03 
 JG148F1143X8X785X  Insight      2011  22153  24390  Austin, Marcus          Mon, Feb 22, 2011       D13-12-02 
 JG149FU143X8X7852  Insight      2011  23635  25190  Watkins, Terrence       Tue, Feb 23, 2011       D13-12-01 
 JA1X1S1233X85CXA4  Accord       2011  23098  24089  Watkins, Terrence       Sun, Feb 21, 2011       D13-12-01 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB127S13011229857  Civic       2009  12224  16655  Romero, Ruby            Sun, Feb 21, 2011       D13-12-04 
 JC131F11A1436XC99  CR-V        2009  22316  30995  Oliver, Walter          Fri, Feb 19, 2011       D13-12-03 
 JG148F1181X16XCA1  Insight     2009  17902  24390  Romero, Ruby            Wed, Feb 24, 2011       D13-12-04 
 JH15AS119XX45CB93  Odyssey     2007  17933  29375  Romero, Ruby            Tue, Feb 23, 2011       D13-12-04 
 JH152SU19Y3271XB5  Odyssey     2008  19838  30375  Oliver, Walter          Thu, Feb 25, 2011       D13-12-03 
 JF146S114Y1971XB7  Fit         2008  10396  16025  Watkins, Terrence       Fri, Feb 19, 2011       D13-12-01 
 JC131F11411P18759  CR-V        2009  22316  30995  Austin, Marcus          Wed, Feb 24, 2011       D13-12-02 
 JH153FU1AW383A981  Odyssey     2006  23703  45825  Austin, Marcus          Tue, Feb 23, 2011       D13-12-02 
 JH151F112X5P5CBA3  Odyssey     2007  27512  44825  Oliver, Walter          Wed, Feb 24, 2011       D13-12-03 
 JC133FU16Y1P29875  CR-V        2008  22220  33995  Watkins, Terrence       Sat, Feb 20, 2011       D13-12-01 
 JA112F131Y165CBA7  Accord      2008  21519  32930  Watkins, Terrence       Thu, Feb 25, 2011       D13-12-01 
 JB127S1351254BA99  Civic       2009  12224  16655  Romero, Ruby            Sun, Feb 21, 2011       D13-12-04 
 JA1X4FU2AY4229881  Accord      2008  22243  34030  Romero, Ruby            Wed, Feb 24, 2011       D13-12-04 
 JD136F11AV2P29883  CR-Z        2005  10236  24705  Watkins, Terrence       Sun, Feb 21, 2011       D13-12-01 
 JH153FU12Y124BAA5  Odyssey     2008  30004  45825  Watkins, Terrence       Tue, Feb 23, 2011       D13-12-01 
 JD138FU1AX4982117  CR-Z        2007  16898  27705  Austin, Marcus          Wed, Feb 24, 2011       D13-12-02 
 JH153FU17Y3118779  Odyssey     2008  30004  45825  Oliver, Walter          Mon, Feb 22, 2011       D13-12-03 
 JE141F11AX5P29891  Crosstour   2007  22314  37640  Oliver, Walter          Sat, Feb 20, 2011       D13-12-03 
 JE143FU1411471X13  Crosstour   2009  29829  40640  Watkins, Terrence       Thu, Feb 25, 2011       D13-12-01 
