Dealer Name: Freeman Honda
Address:     2332 Bob Jones St
             Brookland, GA
Dealer ID:   26
Owner:       Freeman, Greg
Date:        Fri, Feb 19, 2011 thru Thu, Feb 25, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH153FU133X8827BX  Odyssey      2011  41905  45825  Perkins, Tanya          Wed, Feb 24, 2011       D26-23-01 
 JJ162FU143X86X592  Pilot        2011  42031  44970  Perkins, Tanya          Fri, Feb 19, 2011       D26-23-01 
 JD138FU193X84B374  CR-Z         2011  25695  27705  Perkins, Tanya          Thu, Feb 25, 2011       D26-23-01 
 JE141F1123X84B376  Crosstour    2011  35214  37640  Perkins, Tanya          Mon, Feb 22, 2011       D26-23-01 
 JB129S1463X8827B8  Civic        2011  22581  23055  Perkins, Tanya          Fri, Feb 19, 2011       D26-23-01 
 JA1X3SU223X8716BX  Accord       2011  22782  25089  Perkins, Tanya          Fri, Feb 19, 2011       D26-23-01 
 JA111S1343X8X7C42  Accord       2011  21910  22480  Perkins, Tanya          Wed, Feb 24, 2011       D26-23-01 
 JB127S1303X829164  Civic        2011  16036  16655  Perkins, Tanya          Mon, Feb 22, 2011       D26-23-01 
 JA113SU323X85C496  Accord       2011  21215  23480  Perkins, Tanya          Sat, Feb 20, 2011       D26-23-01 
 JA1X9S4263X85C498  Accord       2011  31315  33089  Perkins, Tanya          Sun, Feb 21, 2011       D26-23-01 
 JC131F1143X86X5BX  CR-V         2011  27941  30995  Perkins, Tanya          Sat, Feb 20, 2011       D26-23-01 
 JK167FU1A3X86X5B2  Ridgeline    2011  46726  49750  Perkins, Tanya          Tue, Feb 23, 2011       D26-23-01 
 JA1X1S1283X818X64  Accord       2011  21517  24089  Perkins, Tanya          Sun, Feb 21, 2011       D26-23-01 
 JA114FU313X8X7C56  Accord       2011  31934  33930  Perkins, Tanya          Wed, Feb 24, 2011       D26-23-01 
