Dealer Name: Harrison Honda
Address:     692 Sanders Ave
             Port Kiln, SC
Dealer ID:   11
Owner:       Harrision, Owen
Date:        Fri, Mar 12, 2011 thru Thu, Mar 18, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH151F119311822C8  Odyssey      2011  42572  44825  Day, Jennifer           Wed, Mar 17, 2011       D11-10-06 
 JC133FU143112997X  CR-V         2011  30798  33995  Fields, Joan            Mon, Mar 15, 2011       D11-10-03 
 JB123H15031129972  Civic        2011  25599  27600  Lambert, Donna          Wed, Mar 17, 2011       D11-10-04 
 JB127S13A311822X4  Civic        2011  15529  16655  Day, Jennifer           Fri, Mar 12, 2011       D11-10-06 
 JB124HU5731129976  Civic        2011  27050  28400  Day, Jennifer           Fri, Mar 12, 2011       D11-10-06 
 JA1X7S32631118868  Accord       2011  22402  25089  Fields, Joan            Sat, Mar 13, 2011       D11-10-03 
 JB121S1223115CCBX  Civic        2011  15846  16455  Lambert, Donna          Tue, Mar 16, 2011       D11-10-04 
 JA1X3SU2131129982  Accord       2011  22656  25089  Lambert, Donna          Sun, Mar 14, 2011       D11-10-04 
 JC134F3163113AA94  CR-V         2011  30286  31995  Bishop, Joann           Mon, Mar 15, 2011       D11-10-05 
 JH15AS11231129986  Odyssey      2011  28268  29375  Day, Jennifer           Thu, Mar 18, 2011       D11-10-06 
 JB121S12331129988  Civic        2011  15095  16455  Lambert, Donna          Wed, Mar 17, 2011       D11-10-04 
 JC131F1153113AAAX  CR-V         2011  27785  30995  Fields, Joan            Fri, Mar 12, 2011       D11-10-03 
 JA1X1S12131171112  Accord       2011  21761  24089  Mason, Felicia          Mon, Mar 15, 2011       D11-10-02 
 JB121S124311X7774  Civic        2011  15262  16455  Fields, Joan            Thu, Mar 18, 2011       D11-10-03 
 JA1X5SU2931171116  Accord       2011  25128  27089  Fields, Joan            Tue, Mar 16, 2011       D11-10-03 
 JJ161FU1131182228  Pilot        2011  40603  42970  Burke, Derrick          Mon, Mar 15, 2011       D11-10-01 
 JG148F11A3114BBCX  Insight      2011  22891  24390  Burke, Derrick          Sat, Mar 13, 2011       D11-10-01 
 JB121S1263113AAB2  Civic        2011  15762  16455  Bishop, Joann           Thu, Mar 18, 2011       D11-10-05 
 JB127S1313115CCX4  Civic        2011  15192  16655  Fields, Joan            Mon, Mar 15, 2011       D11-10-03 
 JD138FU1131182236  CR-Z         2011  24718  27705  Fields, Joan            Wed, Mar 17, 2011       D11-10-03 
 JB123H1583113AAB8  Civic        2011  26712  27600  Burke, Derrick          Wed, Mar 17, 2011       D11-10-01 
 JH151F112311188AX  Odyssey      2011  42347  44825  Fields, Joan            Mon, Mar 15, 2011       D11-10-03 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB121S12A1X8X7549  Civic       2009  12077  16455  Burke, Derrick          Sun, Mar 14, 2011       D11-10-01 
 JB123H150X1229771  Civic       2007  16833  27600  Bishop, Joann           Tue, Mar 16, 2011       D11-10-05 
 JH155FU10YX729773  Odyssey     2008  31320  47825  Lambert, Donna          Sun, Mar 14, 2011       D11-10-04 
 JE141F111X4P5CAA5  Crosstour   2007  23057  37640  Bishop, Joann           Wed, Mar 17, 2011       D11-10-05 
 JH151F119W2718667  Odyssey     2006  22075  44825  Day, Jennifer           Sun, Mar 14, 2011       D11-10-06 
 JH152SU101X318669  Odyssey     2009  21870  30375  Fields, Joan            Fri, Mar 12, 2011       D11-10-03 
 JH156S31113671CX1  Odyssey     2009  21870  30375  Bishop, Joann           Tue, Mar 16, 2011       D11-10-05 
 JD136F1121346XBC3  CR-Z        2009  17787  24705  Bishop, Joann           Mon, Mar 15, 2011       D11-10-05 
 JA111S13AYX318675  Accord      2008  14643  22480  Mason, Felicia          Thu, Mar 18, 2011       D11-10-02 
 JE141F111YX66XBC7  Crosstour   2008  23945  37640  Burke, Derrick          Wed, Mar 17, 2011       D11-10-01 
 JK168F316W4471CX9  Ridgeline   2006  23537  47750  Day, Jennifer           Thu, Mar 18, 2011       D11-10-06 
 JH154SU13Y363A8A1  Odyssey     2008  20576  32375  Bishop, Joann           Tue, Mar 16, 2011       D11-10-05 
 JB127S132X1871C13  Civic       2007  10047  16655  Fields, Joan            Tue, Mar 16, 2011       D11-10-03 
 JB129S1431X971C15  Civic       2009  16922  23055  Bishop, Joann           Tue, Mar 16, 2011       D11-10-05 
 JH153FU10Y2429797  Odyssey     2008  29184  45825  Day, Jennifer           Fri, Mar 12, 2011       D11-10-06 
 JE144F316Y383A8A9  Crosstour   2008  24585  38640  Burke, Derrick          Sat, Mar 13, 2011       D11-10-01 
 JD137FU13X11X7581  CR-Z        2007  15153  25705  Bishop, Joann           Fri, Mar 12, 2011       D11-10-05 
 JE143FU17Y3671C23  Crosstour   2008  25865  40640  Bishop, Joann           Mon, Mar 15, 2011       D11-10-05 
 JB127S135Y123A8B5  Civic       2008  10810  16655  Burke, Derrick          Sat, Mar 13, 2011       D11-10-01 
 JH155FU131246XB17  Odyssey     2009  35103  47825  Burke, Derrick          Sat, Mar 13, 2011       D11-10-01 
 JD136F112Y446XB19  CR-Z        2008  15667  24705  Burke, Derrick          Tue, Mar 16, 2011       D11-10-01 
 JC132FU12YX4297B1  CR-V        2008  20332  31995  Burke, Derrick          Sat, Mar 13, 2011       D11-10-01 
 JB127S138X11186A3  Civic       2007  10047  16655  Bishop, Joann           Thu, Mar 18, 2011       D11-10-05 
 JC133FU17Y416XB25  CR-V        2008  22220  33995  Day, Jennifer           Mon, Mar 15, 2011       D11-10-06 
