Dealer Name: Carter Honda
Address:     2499 Bob Jones St
             Louderdale, FL
Dealer ID:   29
Owner:       Carter, Jimmy
Date:        Fri, Mar 12, 2011 thru Thu, Mar 18, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB129S1403113B6A6  Civic        2011  20835  23055  Lawson, Carolyn         Wed, Mar 17, 2011       D29-25-02 
 JF146S1103113B6A8  Fit          2011  15193  16025  Walker, Roland          Fri, Mar 12, 2011       D29-25-04 
 JJ162FU133111949X  Pilot        2011  42935  44970  Lucas, Jose             Wed, Mar 17, 2011       D29-25-06 
 JA111S13031172A22  Accord       2011  20888  22480  Lawson, Carolyn         Mon, Mar 15, 2011       D29-25-02 
 JA1X3SU263115X8X4  Accord       2011  23288  25089  Lucas, Jose             Thu, Mar 18, 2011       D29-25-06 
 JB127S1333114C7C6  Civic        2011  15614  16655  Lawson, Carolyn         Tue, Mar 16, 2011       D29-25-02 
 JE141F1133112A5A8  Crosstour    2011  35782  37640  Lawson, Carolyn         Fri, Mar 12, 2011       D29-25-02 
 JH151F1183112A5BX  Odyssey      2011  40995  44825  Graham, Sheila          Fri, Mar 12, 2011       D29-25-03 
 JC131F1193114C7X2  CR-V         2011  29346  30995  Coleman, Arnold         Fri, Mar 12, 2011       D29-25-05 
 JB127S13A3112A5B4  Civic        2011  15276  16655  Coleman, Arnold         Wed, Mar 17, 2011       D29-25-05 
 JC134F314311194A6  CR-V         2011  28836  31995  Graham, Sheila          Mon, Mar 15, 2011       D29-25-03 
 JH153FU143115X818  Odyssey      2011  42135  45825  Coleman, Arnold         Mon, Mar 15, 2011       D29-25-05 
 JB13ASU4531172A4X  Civic        2011  22635  23855  Graham, Sheila          Sun, Mar 14, 2011       D29-25-03 
 JE141F11831172A42  Crosstour    2011  34646  37640  Lucas, Jose             Sat, Mar 13, 2011       D29-25-06 
 JD136F1103114C714  CR-Z         2011  22437  24705  Lawson, Carolyn         Sat, Mar 13, 2011       D29-25-02 
 JA111S138311194B6  Accord       2011  20661  22480  Walker, Roland          Fri, Mar 12, 2011       D29-25-04 
 JA119S438311X83A8  Accord       2011  28058  31480  Walker, Roland          Fri, Mar 12, 2011       D29-25-04 
 JA113SU383113B74X  Accord       2011  21334  23480  Graham, Sheila          Fri, Mar 12, 2011       D29-25-03 
 JB127S13731119522  Civic        2011  15867  16655  Coleman, Arnold         Thu, Mar 18, 2011       D29-25-05 
