Dealer Name: Sally's Honda Plus
Address:     8187 Kline Ave
             Clarksville, NC
Dealer ID:   1
Owner:       Walker, Sally
Date:        Fri, Mar 19, 2011 thru Thu, Mar 25, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH157F316312X7318  Odyssey      2011  43747  45825  Ryan, Margie            Fri, Mar 19, 2011       D01-01-06 
 JC131F1153122954X  CR-V         2011  27629  30995  King, Michelle          Tue, Mar 23, 2011       D01-01-03 
 JA1X4FU2031218432  Accord       2011  31000  34030  Jennings, Terry         Tue, Mar 23, 2011       D01-01-02 
 JC131F11331218434  CR-V         2011  30283  30995  King, Michelle          Thu, Mar 25, 2011       D01-01-03 
 JG148F1143123A656  Insight      2011  23261  24390  Wood, Lloyd             Wed, Mar 24, 2011       D01-01-04 
 JB121S12431271A98  Civic        2011  14761  16455  Ryan, Margie            Sat, Mar 20, 2011       D01-01-06 
 JC131F1163125C88X  CR-V         2011  28254  30995  Ryan, Margie            Wed, Mar 24, 2011       D01-01-06 
 JB121S12831282BB2  Civic        2011  15762  16455  Wood, Lloyd             Fri, Mar 19, 2011       D01-01-04 
 JC131F11431282BB4  CR-V         2011  30127  30995  Jennings, Terry         Wed, Mar 24, 2011       D01-01-02 
 JA112F1343125C886  Accord       2011  31828  32930  Russell, Connie         Sat, Mar 20, 2011       D01-01-01 
 JB127S133312X7338  Civic        2011  15782  16655  Wood, Lloyd             Sat, Mar 20, 2011       D01-01-04 
 JB129S1493126X9AX  Civic        2011  21650  23055  Jennings, Terry         Fri, Mar 19, 2011       D01-01-02 
 JE144F3153124B782  Crosstour    2011  37699  38640  Ryan, Margie            Fri, Mar 19, 2011       D01-01-06 
 JB127S1393123A674  Civic        2011  16373  16655  King, Michelle          Thu, Mar 25, 2011       D01-01-03 
 JE143FU14312X7346  Crosstour    2011  38617  40640  Wood, Lloyd             Sun, Mar 21, 2011       D01-01-04 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH151F114YX429539  Odyssey     2008  28544  44825  Ryan, Margie            Wed, Mar 24, 2011       D01-01-06 
 JH156S3133X74B761  Odyssey      2011  27742  30375  Wood, Lloyd             Sat, Mar 20, 2011       D01-01-04 
 JD136F11511529543  CR-Z        2009  17787  24705  Wood, Lloyd             Mon, Mar 22, 2011       D01-01-04 
 JB121S12AW453A655  Civic       2006  8284   16455  Russell, Connie         Sun, Mar 21, 2011       D01-01-01 
 JH154SU13X3482BA7  Odyssey     2007  19793  32375  Wood, Lloyd             Tue, Mar 23, 2011       D01-01-04 
 JB128SU36Y456X989  Civic       2008  11337  17455  Wood, Lloyd             Tue, Mar 23, 2011       D01-01-04 
 JH151F117Y125C881  Odyssey     2008  29346  44825  Ryan, Margie            Sun, Mar 21, 2011       D01-01-06 
 JH152SU16X294B773  Odyssey     2007  18553  30375  Russell, Connie         Wed, Mar 24, 2011       D01-01-01 
 JH159F418YX782BB5  Odyssey     2008  37242  56825  Ryan, Margie            Wed, Mar 24, 2011       D01-01-06 
 JB129S142XX66X997  Civic       2007  13563  23055  Ryan, Margie            Mon, Mar 22, 2011       D01-01-06 
 JK166FU1111P18449  Ridgeline   2009  34380  47750  Ryan, Margie            Sun, Mar 21, 2011       D01-01-06 
 JC134F31A23618451  CR-V        2010  25776  31995  Russell, Connie         Sun, Mar 21, 2011       D01-01-01 
 JC131F11AWX96X9A3  CR-V        2006  15918  30995  Jennings, Terry         Tue, Mar 23, 2011       D01-01-02 
 JK169F4111X76X9A5  Ridgeline   2009  43122  58750  Harper, Freddie         Sun, Mar 21, 2011       D01-01-05 
 JB129S143W433A677  Civic       2006  11749  23055  Jennings, Terry         Fri, Mar 19, 2011       D01-01-02 
 JH155FU10X2629569  Odyssey     2007  29372  47825  Russell, Connie         Wed, Mar 24, 2011       D01-01-01 
