Dealer Name: King Honda
Address:     9974 Brooklin Ave
             Port Kiln, SC
Dealer ID:   12
Owner:       King, Carl
Date:        Fri, Mar 19, 2011 thru Thu, Mar 25, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH15AS119312188A2  Odyssey      2011  27972  29375  Carroll, Judith         Thu, Mar 25, 2011       D12-11-02 
 JA113SU3831282244  Accord       2011  22164  23480  Graves, Edwin           Wed, Mar 24, 2011       D12-11-01 
 JB128SU3A312299B6  Civic        2011  16177  17455  Carroll, Judith         Mon, Mar 22, 2011       D12-11-02 
 JH155FU10312188A8  Odyssey      2011  43725  47825  Carroll, Judith         Fri, Mar 19, 2011       D12-11-02 
 JD136F111312299CX  CR-Z         2011  22561  24705  Carroll, Judith         Wed, Mar 24, 2011       D12-11-02 
 JH154SU1931271142  Odyssey      2011  31622  32375  Carroll, Judith         Sat, Mar 20, 2011       D12-11-02 
 JA1X3SU263124BB14  Accord       2011  22656  25089  Carroll, Judith         Sat, Mar 20, 2011       D12-11-02 
 JH155FU16312299C6  Odyssey      2011  42524  47825  Graves, Edwin           Sun, Mar 21, 2011       D12-11-01 
 JB127S137312299C8  Civic        2011  15107  16655  Carroll, Judith         Fri, Mar 19, 2011       D12-11-02 
 JC131F1113126X17X  CR-V         2011  27473  30995  Carroll, Judith         Mon, Mar 22, 2011       D12-11-02 
 JC132FU133123AB42  CR-V         2011  30770  31995  Carroll, Judith         Wed, Mar 24, 2011       D12-11-02 
 JH157F317312X7814  Odyssey      2011  43287  45825  Graves, Edwin           Mon, Mar 22, 2011       D12-11-01 
 JD136F119312X7816  CR-Z         2011  24057  24705  Carroll, Judith         Fri, Mar 19, 2011       D12-11-02 
 JC131F1113124BC58  CR-V         2011  27629  30995  Carroll, Judith         Fri, Mar 19, 2011       D12-11-02 
 JC131F1163123AB5X  CR-V         2011  29502  30995  Carroll, Judith         Wed, Mar 24, 2011       D12-11-02 
 JA1X1S1293126X182  Accord       2011  21882  24089  Graves, Edwin           Mon, Mar 22, 2011       D12-11-01 
 JB127S1393123AB54  Civic        2011  16289  16655  Carroll, Judith         Mon, Mar 22, 2011       D12-11-02 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JK166FU13Y19X7597  Ridgeline   2008  29560  47750  Carroll, Judith         Mon, Mar 22, 2011       D12-11-02 
 JH155FU12Y13186A9  Odyssey     2008  31320  47825  Carroll, Judith         Sat, Mar 20, 2011       D12-11-02 
 JH155FU152276XB31  Odyssey     2010  38440  47825  Graves, Edwin           Wed, Mar 24, 2011       D12-11-01 
 JB121S121WX2186B3  Civic       2006  8284   16455  Carroll, Judith         Wed, Mar 24, 2011       D12-11-02 
 JG148F114W475CA25  Insight     2006  11264  24390  Carroll, Judith         Fri, Mar 19, 2011       D12-11-02 
 JD137FU14V246XB37  CR-Z        2005  10666  25705  Carroll, Judith         Thu, Mar 25, 2011       D12-11-02 
 JE145F41A2X56XB39  Crosstour   2010  37492  46640  Graves, Edwin           Thu, Mar 25, 2011       D12-11-01 
 JB121S125Y525CB61  Civic       2008  10679  16455  Graves, Edwin           Wed, Mar 24, 2011       D12-11-01 
 JG148F11713PX7613  Insight     2009  17902  24390  Graves, Edwin           Tue, Mar 23, 2011       D12-11-01 
 JE142FU18X124BA55  Crosstour   2007  23677  38640  Carroll, Judith         Fri, Mar 19, 2011       D12-11-02 
 JH151F11A2194BA57  Odyssey     2010  36040  44825  Graves, Edwin           Thu, Mar 25, 2011       D12-11-01 
 JB128SU3624382199  Civic       2010  14320  17455  Graves, Edwin           Sun, Mar 21, 2011       D12-11-01 
 JJ16AF11A2493A951  Pilot       2010  33756  41970  Carroll, Judith         Mon, Mar 22, 2011       D12-11-02 
 JD138FU16Y233A953  CR-Z        2008  18081  27705  Carroll, Judith         Sun, Mar 21, 2011       D12-11-02 
 JB127S1352474BA65  Civic       2010  13672  16655  Graves, Edwin           Sun, Mar 21, 2011       D12-11-01 
 JC132FU14W34821A7  CR-V        2006  15660  31995  Graves, Edwin           Thu, Mar 25, 2011       D12-11-01 
 JE143FU13Y3829849  Crosstour   2008  26593  40640  Graves, Edwin           Sat, Mar 20, 2011       D12-11-01 
 JB127S131X346XC91  Civic       2007  10047  16655  Carroll, Judith         Tue, Mar 23, 2011       D12-11-02 
 JB127S1381X63A963  Civic       2009  12224  16655  Carroll, Judith         Thu, Mar 25, 2011       D12-11-02 
 JC131F118W274BA75  CR-V        2006  15160  30995  Graves, Edwin           Wed, Mar 24, 2011       D12-11-01 
 JB127S139W3429857  Civic       2006  8389   16655  Carroll, Judith         Sun, Mar 21, 2011       D12-11-02 
 JJ163F3112486XC99  Pilot       2010  34987  42970  Carroll, Judith         Sat, Mar 20, 2011       D12-11-02 
 JD136F119Y225CB91  CR-Z        2008  15667  24705  Carroll, Judith         Sat, Mar 20, 2011       D12-11-02 
