Dealer Name: City Honda
Address:     9489 Ford Parkwark
             Brookland, GA
Dealer ID:   25
Owner:       Porter, Barbara
Date:        Fri, Mar 19, 2011 thru Thu, Mar 25, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB127S13131218CB2  Civic        2011  15360  16655  Sullivan, Hazel         Sat, Mar 20, 2011       D25-22-06 
 JE144F31931218CB4  Crosstour    2011  36921  38640  Hall, Josephine         Sun, Mar 21, 2011       D25-22-03 
 JA112F13A3125C326  Accord       2011  31497  32930  Mcdonald, Eduardo       Mon, Mar 22, 2011       D25-22-05 
 JA111S1323124B218  Accord       2011  21456  22480  Wallace, Harry          Tue, Mar 23, 2011       D25-22-04 
 JH157F3133128279X  Odyssey      2011  43747  45825  Hall, Josephine         Wed, Mar 24, 2011       D25-22-03 
 JA1X1S1203126X572  Accord       2011  22368  24089  Wallace, Harry          Fri, Mar 19, 2011       D25-22-04 
 JB127S1363123A244  Civic        2011  16036  16655  Mcdonald, Eduardo       Tue, Mar 23, 2011       D25-22-05 
 JH153FU153123A246  Odyssey      2011  44438  45825  Mcdonald, Eduardo       Sat, Mar 20, 2011       D25-22-05 
 JB127S13731218X28  Civic        2011  15951  16655  Wallace, Harry          Sun, Mar 21, 2011       D25-22-04 
 JA111S13531218X3X  Accord       2011  21229  22480  Shelton, Alicia         Sun, Mar 21, 2011       D25-22-01 
 JA1X1S12831271692  Accord       2011  22733  24089  Sullivan, Hazel         Thu, Mar 25, 2011       D25-22-06 
 JD136F114312827A4  CR-Z         2011  22810  24705  Shelton, Alicia         Fri, Mar 19, 2011       D25-22-01 
 JA112F1343123A256  Accord       2011  31828  32930  Hall, Josephine         Mon, Mar 22, 2011       D25-22-03 
 JA1X5SU2531218X38  Accord       2011  24582  27089  Wallace, Harry          Wed, Mar 24, 2011       D25-22-04 
 JH153FU123123A26X  Odyssey      2011  42596  45825  Wallace, Harry          Thu, Mar 25, 2011       D25-22-04 
 JH152SU153124B372  Odyssey      2011  28764  30375  Sullivan, Hazel         Wed, Mar 24, 2011       D25-22-06 
 JB127S13631229154  Civic        2011  15698  16655  Sullivan, Hazel         Wed, Mar 24, 2011       D25-22-06 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JJ161FU13Y46X7987  Pilot       2008  26587  42970  Fuller, Jacob           Sun, Mar 21, 2011       D25-22-02 
 JK167FU1A3X882439  Ridgeline    2011  45180  49750  Wallace, Harry          Sun, Mar 21, 2011       D25-22-04 
 JB121S12A143X7991  Civic       2009  12077  16455  Mcdonald, Eduardo       Wed, Mar 24, 2011       D25-22-05 
 JD137FU191X482443  CR-Z        2009  18867  25705  Sullivan, Hazel         Fri, Mar 19, 2011       D25-22-06 
 JA111S130Y376X225  Accord      2008  14643  22480  Shelton, Alicia         Tue, Mar 23, 2011       D25-22-01 
 JB13ASU46YX34BXX7  Civic       2008  15548  23855  Mcdonald, Eduardo       Wed, Mar 24, 2011       D25-22-05 
 JC131F116X18X7999  CR-V        2007  18327  30995  Mcdonald, Eduardo       Tue, Mar 23, 2011       D25-22-05 
 JH15AS114W4118AB1  Odyssey     2006  15067  29375  Hall, Josephine         Sun, Mar 21, 2011       D25-22-03 
 JH152SU18Y215C123  Odyssey     2008  19296  30375  Mcdonald, Eduardo       Sat, Mar 20, 2011       D25-22-05 
 JB127S1361324BX15  Civic       2009  11991  16655  Shelton, Alicia         Thu, Mar 25, 2011       D25-22-01 
 JE141F11AY4829BC7  Crosstour   2008  24619  37640  Shelton, Alicia         Fri, Mar 19, 2011       D25-22-01 
 JK166FU15X3882459  Ridgeline   2007  28380  47750  Mcdonald, Eduardo       Tue, Mar 23, 2011       D25-22-05 
 JJ162FU132453AX41  Pilot       2010  36156  44970  Shelton, Alicia         Thu, Mar 25, 2011       D25-22-01 
 JC131F1102354B153  CR-V        2010  25288  30995  Shelton, Alicia         Wed, Mar 24, 2011       D25-22-01 
 JG149FU15Y214B155  Insight     2008  16426  25190  Fuller, Jacob           Wed, Mar 24, 2011       D25-22-02 
 JE141F11AXX382597  Crosstour   2007  22314  37640  Hall, Josephine         Mon, Mar 22, 2011       D25-22-03 
 JJ161FU13Y1118B29  Pilot       2008  26587  42970  Shelton, Alicia         Wed, Mar 24, 2011       D25-22-01 
 JH157F312Y4418B31  Odyssey     2008  29184  45825  Mcdonald, Eduardo       Mon, Mar 22, 2011       D25-22-05 
 JB127S135X2329C43  Civic       2007  9723   16655  Sullivan, Hazel         Sat, Mar 20, 2011       D25-22-06 
 JH159F4161X5825A5  Odyssey     2009  41709  56825  Sullivan, Hazel         Thu, Mar 25, 2011       D25-22-06 
 JK165F114Y4171497  Ridgeline   2008  29776  46750  Wallace, Harry          Tue, Mar 23, 2011       D25-22-04 
 JH153FU13132825A9  Odyssey     2009  32352  45825  Fuller, Jacob           Thu, Mar 25, 2011       D25-22-02 
 JJ161FU17V44825B1  Pilot       2005  18090  42970  Hall, Josephine         Fri, Mar 19, 2011       D25-22-03 
 JB121S12AX515C283  Civic       2007  9923   16455  Mcdonald, Eduardo       Wed, Mar 24, 2011       D25-22-05 
