Dealer Name: King Honda
Address:     9974 Brooklin Ave
             Port Kiln, SC
Dealer ID:   12
Owner:       King, Carl
Date:        Fri, Apr 23, 2011 thru Thu, Apr 29, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB129S145317188A2  Civic        2011  20952  23055  Carroll, Judith         Thu, Apr 29, 2011       D12-11-02 
 JA111S136317X7794  Accord       2011  20207  22480  Carroll, Judith         Mon, Apr 26, 2011       D12-11-02 
 JC132FU13317X7796  CR-V         2011  28514  31995  Carroll, Judith         Wed, Apr 28, 2011       D12-11-02 
 JB127S1333174BBX8  Civic        2011  15614  16655  Carroll, Judith         Mon, Apr 26, 2011       D12-11-02 
 JB128SU343174BB1X  Civic        2011  16619  17455  Carroll, Judith         Fri, Apr 23, 2011       D12-11-02 
 JC132FU1A31782252  CR-V         2011  30125  31995  Graves, Edwin           Sun, Apr 25, 2011       D12-11-01 
 JC131F1143173AAX4  CR-V         2011  27785  30995  Graves, Edwin           Mon, Apr 26, 2011       D12-11-01 
 JH159F4173175CC26  Odyssey      2011  53627  56825  Carroll, Judith         Fri, Apr 23, 2011       D12-11-02 
 JC133FU19317X77A8  CR-V         2011  32680  33995  Carroll, Judith         Sat, Apr 24, 2011       D12-11-02 
 JA113SU323178239X  Accord       2011  21927  23480  Graves, Edwin           Sat, Apr 24, 2011       D12-11-01 
 JF146S11831718922  Fit          2011  14381  16025  Graves, Edwin           Sat, Apr 24, 2011       D12-11-01 
 JC131F11231771284  CR-V         2011  28722  30995  Carroll, Judith         Tue, Apr 27, 2011       D12-11-02 
 JC131F1113176X176  CR-V         2011  29815  30995  Graves, Edwin           Thu, Apr 29, 2011       D12-11-01 
 JE142FU1631771288  Crosstour    2011  34589  38640  Carroll, Judith         Mon, Apr 26, 2011       D12-11-02 
 JC131F1193171893X  CR-V         2011  28566  30995  Carroll, Judith         Sun, Apr 25, 2011       D12-11-02 
 JB129S14A3174BC62  Civic        2011  21650  23055  Carroll, Judith         Wed, Apr 28, 2011       D12-11-02 
 JA111S1313175CX74  Accord       2011  20888  22480  Graves, Edwin           Tue, Apr 27, 2011       D12-11-01 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JC131F119X15X7597  CR-V        2007  18937  30995  Carroll, Judith         Sat, Apr 24, 2011       D12-11-02 
 JG148F116W28297B9  Insight     2006  11857  24390  Carroll, Judith         Fri, Apr 23, 2011       D12-11-02 
 JE141F114XX471C41  Crosstour   2007  22314  37640  Graves, Edwin           Tue, Apr 27, 2011       D12-11-01 
 JG148F117Y193A8X3  Insight     2008  15900  24390  Graves, Edwin           Sun, Apr 25, 2011       D12-11-01 
 JH155FU17Y11X75A5  Odyssey     2008  29607  47825  Carroll, Judith         Sun, Apr 25, 2011       D12-11-02 
 JC131F111X326XB37  CR-V        2007  18327  30995  Graves, Edwin           Fri, Apr 23, 2011       D12-11-01 
 JB129S148X29X75A9  Civic       2007  13563  23055  Carroll, Judith         Sat, Apr 24, 2011       D12-11-02 
 JH151F1161X25CB61  Odyssey     2009  32274  44825  Carroll, Judith         Mon, Apr 26, 2011       D12-11-02 
 JB121S123Y4P6XC73  Civic       2008  10679  16455  Graves, Edwin           Fri, Apr 23, 2011       D12-11-01 
 JC131F1131334BA55  CR-V        2009  22316  30995  Carroll, Judith         Mon, Apr 26, 2011       D12-11-02 
 JH152SU1514P3A947  Odyssey     2009  22295  30375  Carroll, Judith         Fri, Apr 23, 2011       D12-11-02 
 JH151F115V3982199  Odyssey     2005  17570  44825  Graves, Edwin           Thu, Apr 29, 2011       D12-11-01 
 JC134F3102X23A951  CR-V        2010  26098  31995  Graves, Edwin           Thu, Apr 29, 2011       D12-11-01 
 JE141F112116821A3  Crosstour   2009  27627  37640  Graves, Edwin           Tue, Apr 27, 2011       D12-11-01 
 JH155FU18Y435CB75  Odyssey     2008  29607  47825  Carroll, Judith         Mon, Apr 26, 2011       D12-11-02 
 JG148F114Y495CB77  Insight     2008  15900  24390  Carroll, Judith         Mon, Apr 26, 2011       D12-11-02 
 JG148F118Y4571X99  Insight     2008  15900  24390  Carroll, Judith         Fri, Apr 23, 2011       D12-11-02 
 JG149FU12X423A961  Insight     2007  14844  25190  Carroll, Judith         Fri, Apr 23, 2011       D12-11-02 
 JB129S1492174BA73  Civic       2010  18856  23055  Graves, Edwin           Wed, Apr 28, 2011       D12-11-01 
 JH153FU111X34BA75  Odyssey     2009  32994  45825  Graves, Edwin           Thu, Apr 29, 2011       D12-11-01 
 JA111S137Y253A967  Accord      2008  14643  22480  Carroll, Judith         Wed, Apr 28, 2011       D12-11-02 
 JH153FU11Y156XC99  Odyssey     2008  30004  45825  Carroll, Judith         Sun, Apr 25, 2011       D12-11-02 
 JH155FU11Y353A971  Odyssey     2008  30464  47825  Graves, Edwin           Sat, Apr 24, 2011       D12-11-01 
