Dealer Name: Newton Honda
Address:     4893 Brooklin Ave
             Granger, AL
Dealer ID:   34
Owner:       Newton, Robert
Date:        Fri, Apr 23, 2011 thru Thu, Apr 29, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JD136F1103175XAX6  CR-Z         2011  23808  24705  Bennett, Michele        Wed, Apr 28, 2011       D34-30-05 
 JA111S13A3174C9C8  Accord       2011  21342  22480  Torres, Caroline        Sun, Apr 25, 2011       D34-30-01 
 JD139F3103175XA1X  CR-Z         2011  24244  25705  Torres, Caroline        Wed, Apr 28, 2011       D34-30-01 
 JC131F1133172A7B2  CR-V         2011  29502  30995  Torres, Caroline        Tue, Apr 27, 2011       D34-30-01 
 JH15AS11431783X44  Odyssey      2011  28564  29375  Rice, Georgia           Fri, Apr 23, 2011       D34-30-03 
 JG148F110317196A6  Insight      2011  22276  24390  Rodriquez, Jorge        Tue, Apr 27, 2011       D34-30-04 
 JE141F11531761B28  Crosstour    2011  34267  37640  Bennett, Michele        Fri, Apr 23, 2011       D34-30-05 
 JA111S13A3175XA2X  Accord       2011  21002  22480  Webb, Ken               Thu, Apr 29, 2011       D34-30-02 
 JA1X1S124317196B2  Accord       2011  23463  24089  Webb, Ken               Tue, Apr 27, 2011       D34-30-02 
 JD136F1163174C914  CR-Z         2011  22312  24705  Rice, Georgia           Sat, Apr 24, 2011       D34-30-03 
 JA1X6FU2531761B36  Accord       2011  34079  36030  Rodriquez, Jorge        Thu, Apr 29, 2011       D34-30-04 
 JH157F3183173B8X8  Odyssey      2011  40524  45825  Jensen, Bill            Mon, Apr 26, 2011       D34-30-06 
 JH152SU103178319X  Odyssey      2011  28457  30375  Webb, Ken               Mon, Apr 26, 2011       D34-30-02 
 JB127S13231761C72  Civic        2011  16373  16655  Webb, Ken               Fri, Apr 23, 2011       D34-30-02 
 JB127S13331772X84  Civic        2011  16036  16655  Torres, Caroline        Tue, Apr 27, 2011       D34-30-01 
 JA111S1323172A836  Accord       2011  21569  22480  Torres, Caroline        Sun, Apr 25, 2011       D34-30-01 
 JB123H15331761C78  Civic        2011  26294  27600  Jensen, Bill            Thu, Apr 29, 2011       D34-30-06 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH151F11AY223B663  Odyssey     2008  28544  44825  Rice, Georgia           Sat, Apr 24, 2011       D34-30-03 
 JJ163F3121X572AA5  Pilot       2009  30938  42970  Rodriquez, Jorge        Thu, Apr 29, 2011       D34-30-04 
 JE145F418YX75X887  Crosstour   2008  29705  46640  Bennett, Michele        Wed, Apr 28, 2011       D34-30-05 
 JH159F419Y1983BB9  Odyssey     2008  50940  56825  Webb, Ken               Wed, Apr 28, 2011       D34-30-02 
 JG148F1143162A561  Insight      2011  22356  24390  Rodriquez, Jorge        Sat, Apr 24, 2011       D34-30-04 
 JF146S116W3472AB3  Fit         2006  8058   16025  Webb, Ken               Wed, Apr 28, 2011       D34-30-02 
 JH155FU1AY333B675  Odyssey     2008  31320  47825  Rodriquez, Jorge        Fri, Apr 23, 2011       D34-30-04 
 JH155FU18X4683BC7  Odyssey     2007  28425  47825  Jensen, Bill            Sun, Apr 25, 2011       D34-30-06 
 JE141F115X194C789  Crosstour   2007  23057  37640  Webb, Ken               Wed, Apr 28, 2011       D34-30-02 
 JE143FU162312A571  Crosstour   2010  32692  40640  Jensen, Bill            Fri, Apr 23, 2011       D34-30-06 
