Dealer Name: Glenn Honda
Address:     2717 US Route 31
             West Junction, AL
Dealer ID:   9
Owner:       Glenn, Adam
Date:        Fri, May 14, 2011 thru Thu, May 20, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JE141F11232P4BAA4  Crosstour    2011  33510  37640  Hart, Kim               Tue, May 18, 2011       D09-09-02 
 JB123H15332P6XCC6  Civic        2011  24486  27600  Armstrong, Daryl        Mon, May 17, 2011       D09-09-03 
 JB121S12A32P4BAA8  Civic        2011  15595  16455  Armstrong, Daryl        Thu, May 20, 2011       D09-09-03 
 JB129S14432P3A9AX  Civic        2011  21999  23055  Harris, Dwight          Mon, May 17, 2011       D09-09-06 
 JB129S14A32PX7672  Civic        2011  20952  23055  Spencer, Javier         Mon, May 17, 2011       D09-09-05 
 JB121S12A32P6XCX4  Civic        2011  15929  16455  Spencer, Javier         Fri, May 14, 2011       D09-09-05 
 JH158S41732P6XCX6  Odyssey      2011  37024  41375  Spencer, Javier         Thu, May 20, 2011       D09-09-05 
 JC131F11632PX7678  CR-V         2011  28878  30995  Armstrong, Daryl        Mon, May 17, 2011       D09-09-03 
 JC131F11132P6XC1X  CR-V         2011  29971  30995  Hicks, Yvonne           Mon, May 17, 2011       D09-09-04 
 JH153FU1732P3A9B2  Odyssey      2011  42135  45825  Hart, Kim               Sat, May 15, 2011       D09-09-02 
 JB121S12232P5CBX4  Civic        2011  15012  16455  Hernandez, Randy        Tue, May 18, 2011       D09-09-01 
 JC135F41032P3A9B6  CR-V         2011  38209  39995  Hernandez, Randy        Sat, May 15, 2011       D09-09-01 
 JB121S12632P71X28  Civic        2011  15762  16455  Hernandez, Randy        Sun, May 16, 2011       D09-09-01 
 JC131F11532P3A9CX  CR-V         2011  30127  30995  Hernandez, Randy        Fri, May 14, 2011       D09-09-01 
 JA112F13532P6XC22  Accord       2011  31165  32930  Spencer, Javier         Mon, May 17, 2011       D09-09-05 
 JA1X3SU2132P82144  Accord       2011  24174  25089  Hicks, Yvonne           Mon, May 17, 2011       D09-09-04 
 JD136F11A32P4BAX6  CR-Z         2011  22063  24705  Hart, Kim               Thu, May 20, 2011       D09-09-02 
 JA1X9S42032P82148  Accord       2011  29316  33089  Spencer, Javier         Wed, May 19, 2011       D09-09-05 
 JB129S14532P4BA1X  Civic        2011  20719  23055  Hicks, Yvonne           Wed, May 19, 2011       D09-09-04 
 JD14AF41432P5CB22  CR-Z         2011  31045  33705  Spencer, Javier         Tue, May 18, 2011       D09-09-05 
 JE141F11932P6XC34  Crosstour    2011  33510  37640  Armstrong, Daryl        Wed, May 19, 2011       D09-09-03 
 JD136F11332P4BA16  CR-Z         2011  22810  24705  Harris, Dwight          Tue, May 18, 2011       D09-09-06 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
