Dealer Name: Walker Honda
Address:     1240 Harrison Ave
             Port Kiln, SC
Dealer ID:   10
Owner:       Walker, Shelly
Date:        Fri, May 14, 2011 thru Thu, May 20, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JC131F11532P82158  CR-V         2011  27785  30995  Gardner, Salvador       Sun, May 16, 2011       D10-07-03 
 JC133FU1032P8229X  CR-V         2011  31140  33995  Gardner, Salvador       Tue, May 18, 2011       D10-07-03 
 JH153FU1432P18822  Odyssey      2011  43977  45825  Alvarez, David          Mon, May 17, 2011       D10-07-06 
 JE145F41432P6XX74  Crosstour    2011  41475  46640  Ross, Darren            Mon, May 17, 2011       D10-07-05 
 JB127S13832P71186  Civic        2011  15782  16655  Wright, Emma            Tue, May 18, 2011       D10-07-04 
 JD138FU1832P3AA48  CR-Z         2011  25416  27705  Fields, Roland          Fri, May 14, 2011       D10-07-02 
 JB121S12132P7119X  Civic        2011  16012  16455  Wright, Emma            Mon, May 17, 2011       D10-07-04 
 JC132FU1932P29942  CR-V         2011  30770  31995  Fields, Roland          Tue, May 18, 2011       D10-07-02 
 JB123H15532P18834  Civic        2011  24903  27600  Alvarez, David          Fri, May 14, 2011       D10-07-06 
 JC131F11232P71196  CR-V         2011  29971  30995  Alvarez, David          Sat, May 15, 2011       D10-07-06 
 JB129S14532P29948  Civic        2011  21766  23055  Ross, Darren            Fri, May 14, 2011       D10-07-05 
 JA119S43132P2995X  Accord       2011  30278  31480  Marshall, Allan         Sat, May 15, 2011       D10-07-01 
 JA118F33132P18842  Accord       2011  32618  33930  Wright, Emma            Fri, May 14, 2011       D10-07-04 
 JB121S12932PX7734  Civic        2011  16012  16455  Gardner, Salvador       Sun, May 16, 2011       D10-07-03 
 JB127S13432P6XX96  Civic        2011  15529  16655  Wright, Emma            Sun, May 16, 2011       D10-07-04 
 JB129S14732P4BB78  Civic        2011  21650  23055  Marshall, Allan         Sat, May 15, 2011       D10-07-01 
 JB127S13632P1885X  Civic        2011  15107  16655  Gardner, Salvador       Thu, May 20, 2011       D10-07-03 
 JB129S14232P3AA72  Civic        2011  20602  23055  Ross, Darren            Sat, May 15, 2011       D10-07-05 
 JA1X3SU2032PX7744  Accord       2011  23162  25089  Wright, Emma            Sun, May 16, 2011       D10-07-04 
 JB125G16A32P5CC96  Civic        2011  27006  28505  Alvarez, David          Tue, May 18, 2011       D10-07-06 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JC134F317Y143A7X1  CR-V        2008  20332  31995  Wright, Emma            Mon, May 17, 2011       D10-07-04 
 JJ163F310VX9X74A3  Pilot       2005  16828  42970  Gardner, Salvador       Sun, May 16, 2011       D10-07-03 
 JB123H156Y234B815  Civic       2008  24774  27600  Ross, Darren            Fri, May 14, 2011       D10-07-05 
 JJ164F413Y196XA37  Pilot       2008  34396  53970  Marshall, Allan         Mon, May 17, 2011       D10-07-01 
 JD136F116V4882C59  CR-Z        2005  9522   24705  Gardner, Salvador       Sun, May 16, 2011       D10-07-03 
 JD14AF41521918621  CR-Z        2010  27144  33705  Marshall, Allan         Fri, May 14, 2011       D10-07-01 
 JG148F11511171C83  Insight     2009  17560  24390  Ross, Darren            Wed, May 19, 2011       D10-07-05 
 JB127S13214471C85  Civic       2009  12224  16655  Marshall, Allan         Tue, May 18, 2011       D10-07-01 
 JH15AS119V1518627  Odyssey     2005  11390  29375  Gardner, Salvador       Sat, May 15, 2011       D10-07-03 
 JG149FU1AX4118629  Insight     2007  15338  25190  Ross, Darren            Tue, May 18, 2011       D10-07-05 
 JC133FU17Y3PX7521  CR-V        2008  30393  33995  Wright, Emma            Wed, May 19, 2011       D10-07-04 
 JH157F3102296XB83  Odyssey     2010  36840  45825  Gardner, Salvador       Tue, May 18, 2011       D10-07-03 
 JB127S130Y466XB85  Civic       2008  10810  16655  Marshall, Allan         Sat, May 15, 2011       D10-07-01 
 JB127S133Y484B967  Civic       2008  10810  16655  Gardner, Salvador       Sun, May 16, 2011       D10-07-03 
 JH154SU17Y2418639  Odyssey     2008  19997  32375  Wright, Emma            Sat, May 15, 2011       D10-07-04 
 JC134F316V416XB91  CR-V        2005  12438  31995  Gardner, Salvador       Sat, May 15, 2011       D10-07-03 
 JH153FU17Y3229753  Odyssey     2008  30004  45825  Wright, Emma            Thu, May 20, 2011       D10-07-04 
 JB127S135Y264B975  Civic       2008  10515  16655  Marshall, Allan         Tue, May 18, 2011       D10-07-01 
 JH153FU14Y1571CA7  Odyssey     2008  28363  45825  Wright, Emma            Sat, May 15, 2011       D10-07-04 
 JC134F311X243A869  CR-V        2007  19557  31995  Ross, Darren            Sat, May 15, 2011       D10-07-05 
 JA111S134W17X7541  Accord      2006  11447  22480  Ross, Darren            Fri, May 14, 2011       D10-07-05 
 JB127S139VX971CB3  Civic       2005  6302   16655  Gardner, Salvador       Thu, May 20, 2011       D10-07-03 
 JB126GU69W5229765  Civic       2006  15030  29305  Wright, Emma            Mon, May 17, 2011       D10-07-04 
 JG148F11AV325CA97  Insight     2005  9396   24390  Wright, Emma            Mon, May 17, 2011       D10-07-04 
