Dealer Name: Yancy Honda
Address:     351 Washington St
             West Junction, AL
Dealer ID:   8
Owner:       Yancy, Clark
Date:        Fri, May 21, 2011 thru Thu, May 27, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB127S1393216XC72  Civic        2011  15614  16655  Parker, Tracy           Fri, May 21, 2011       D08-08-01 
 JB129S14732118724  Civic        2011  20486  23055  Parker, Tracy           Mon, May 24, 2011       D08-08-01 
 JB127S136321X7616  Civic        2011  15614  16655  Parker, Tracy           Thu, May 27, 2011       D08-08-01 
 JB128SU3732118728  Civic        2011  16884  17455  Parker, Tracy           Sun, May 23, 2011       D08-08-01 
 JB125G1693212984X  Civic        2011  25713  28505  Rogers, Donna           Mon, May 24, 2011       D08-08-02 
 JA1X2F12732171X92  Accord       2011  29596  33030  Rogers, Donna           Tue, May 25, 2011       D08-08-02 
 JB127S1393214BA64  Civic        2011  15023  16655  Parker, Tracy           Wed, May 26, 2011       D08-08-01 
 JB121S1283215CB76  Civic        2011  15929  16455  Rogers, Donna           Thu, May 27, 2011       D08-08-02 
 JA1X2F12832171X98  Accord       2011  29929  33030  Rogers, Donna           Sun, May 23, 2011       D08-08-02 
 JB129S14A3216XC9X  Civic        2011  21068  23055  Parker, Tracy           Wed, May 26, 2011       D08-08-01 
 JE142FU1032118742  Crosstour    2011  36533  38640  Parker, Tracy           Tue, May 25, 2011       D08-08-01 
 JC131F11A3213A964  CR-V         2011  27473  30995  Rogers, Donna           Fri, May 21, 2011       D08-08-02 
 JH155FU16321821B6  Odyssey      2011  42764  47825  Rogers, Donna           Tue, May 25, 2011       D08-08-02 
 JA1X3SU25321821B8  Accord       2011  22656  25089  Rogers, Donna           Mon, May 24, 2011       D08-08-02 
 JG148F1133215CB9X  Insight      2011  23015  24390  Rogers, Donna           Wed, May 26, 2011       D08-08-02 
 JH155FU1832118752  Odyssey      2011  43725  47825  Parker, Tracy           Thu, May 27, 2011       D08-08-01 
 JB127S130321X7644  Civic        2011  15276  16655  Rogers, Donna           Sat, May 22, 2011       D08-08-02 
 JB121S12432171XB6  Civic        2011  15762  16455  Parker, Tracy           Tue, May 25, 2011       D08-08-01 
 JB127S1383213A978  Civic        2011  16036  16655  Parker, Tracy           Sat, May 22, 2011       D08-08-01 
 JA1X3SU223216XCBX  Accord       2011  23415  25089  Rogers, Donna           Tue, May 25, 2011       D08-08-02 
 JB121S12A32171XC2  Civic        2011  15595  16455  Rogers, Donna           Sat, May 22, 2011       D08-08-02 
 JB121S1283215CBA4  Civic        2011  15512  16455  Rogers, Donna           Sat, May 22, 2011       D08-08-02 
 JD137FU12321X7656  CR-Z         2011  22948  25705  Rogers, Donna           Wed, May 26, 2011       D08-08-02 
 JC131F1123213A988  CR-V         2011  29502  30995  Parker, Tracy           Fri, May 21, 2011       D08-08-01 
 JH154SU193214BAAX  Odyssey      2011  28688  32375  Rogers, Donna           Mon, May 24, 2011       D08-08-02 
 JB125G16432118772  Civic        2011  25713  28505  Parker, Tracy           Fri, May 21, 2011       D08-08-01 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
