Dealer Name: Your Honda
Address:     3145 Brooklin Ave
             West Junction, AL
Dealer ID:   6
Owner:       Frederick, Ted
Date:        Fri, Jun 11, 2011 thru Thu, Jun 17, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA111S13A32471B38  Accord       2011  20548  22480  Torres, Rose            Tue, Jun 15, 2011       D06-06-02 
 JB121S12932482C5X  Civic        2011  15762  16455  Torres, Rose            Tue, Jun 15, 2011       D06-06-02 
 JB127S1393243A7X2  Civic        2011  15023  16655  Rivera, Greg            Thu, Jun 17, 2011       D06-06-03 
 JG148F11A3243A7X4  Insight      2011  22030  24390  Torres, Rose            Sun, Jun 13, 2011       D06-06-02 
 JD138FU11324296C6  CR-Z         2011  26952  27705  Fuller, Terri           Fri, Jun 11, 2011       D06-06-08 
 JC132FU10324185B8  CR-V         2011  29642  31995  Torres, Rose            Mon, Jun 14, 2011       D06-06-02 
 JB123H153324X751X  Civic        2011  26572  27600  Fuller, Terri           Sun, Jun 13, 2011       D06-06-08 
 JB123H15632482X92  Civic        2011  25181  27600  Wagner, Ramon           Thu, Jun 17, 2011       D06-06-01 
 JB127S13232471C84  Civic        2011  14938  16655  Wagner, Ramon           Wed, Jun 16, 2011       D06-06-01 
 JG148F11732418626  Insight      2011  22153  24390  Hall, Francis           Tue, Jun 15, 2011       D06-06-06 
 JC132FU1432418628  CR-V         2011  28675  31995  Rivera, Greg            Wed, Jun 16, 2011       D06-06-03 
 JB129S1473242974X  Civic        2011  22232  23055  Day, Veronica           Wed, Jun 16, 2011       D06-06-05 
 JA1X1S122324X7522  Accord       2011  21517  24089  Wagner, Ramon           Mon, Jun 14, 2011       D06-06-01 
 JA1X5SU2032471C94  Accord       2011  25948  27089  Wagner, Ramon           Fri, Jun 11, 2011       D06-06-01 
 JB121S12832471C96  Civic        2011  15429  16455  Hall, Francis           Fri, Jun 11, 2011       D06-06-06 
 JG148F11232482XA8  Insight      2011  22399  24390  Torres, Rose            Fri, Jun 11, 2011       D06-06-02 
 JB127S13932471CAX  Civic        2011  14938  16655  Rivera, Greg            Sat, Jun 12, 2011       D06-06-03 
 JB127S13832418642  Civic        2011  16373  16655  Fuller, Terri           Tue, Jun 15, 2011       D06-06-08 
 JA1X3SU283244B974  Accord       2011  24301  25089  Rivera, Greg            Tue, Jun 15, 2011       D06-06-03 
 JD136F11832429756  CR-Z         2011  22935  24705  Porter, Ronnie          Sun, Jun 13, 2011       D06-06-07 
 JH15AS11732429758  Odyssey      2011  28268  29375  Porter, Ronnie          Thu, Jun 17, 2011       D06-06-07 
 JA1X1S12732471CBX  Accord       2011  21882  24089  Hall, Francis           Tue, Jun 15, 2011       D06-06-06 
 JH155FU1332418652  Odyssey      2011  44206  47825  Rivera, Greg            Wed, Jun 16, 2011       D06-06-03 
 JB125G16732482XC4  Civic        2011  26718  28505  Dixon, Leslie           Thu, Jun 17, 2011       D06-06-04 
 JH154SU1232429766  Odyssey      2011  28851  32375  Torres, Rose            Sun, Jun 13, 2011       D06-06-02 
 JA111S13932418658  Accord       2011  21115  22480  Dixon, Leslie           Thu, Jun 17, 2011       D06-06-04 
 JH155FU113242977X  Odyssey      2011  45647  47825  Fuller, Terri           Tue, Jun 15, 2011       D06-06-08 
 JB122SU2332471CC2  Civic        2011  16518  17255  Hall, Francis           Fri, Jun 11, 2011       D06-06-06 
 JE142FU1532418664  Crosstour    2011  36338  38640  Hall, Francis           Tue, Jun 15, 2011       D06-06-06 
 JA1X6FU2732429776  Accord       2011  31904  36030  Porter, Ronnie          Tue, Jun 15, 2011       D06-06-07 
 JC131F11332482XX8  CR-V         2011  28722  30995  Rivera, Greg            Wed, Jun 16, 2011       D06-06-03 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
