Dealer Name: Lance Honda
Address:     1136 Brooklin Ave
             Norbert, FL
Dealer ID:   17
Owner:       Lance, Samuel
Date:        Fri, Jun 11, 2011 thru Thu, Jun 17, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB121S12432418A76  Civic        2011  15345  16455  Cole, Peter             Mon, Jun 14, 2011       D17-16-02 
 JB128SU3A3243AC98  Civic        2011  17061  17455  Cole, Peter             Thu, Jun 17, 2011       D17-16-02 
 JB129S1453247131X  Civic        2011  21999  23055  Baker, Lynn             Tue, Jun 15, 2011       D17-16-08 
 JH154SU1832471312  Odyssey      2011  29829  32375  Baker, Lynn             Wed, Jun 16, 2011       D17-16-08 
 JJ161FU1932429B94  Pilot        2011  38443  42970  Rodriguez, Mathew       Fri, Jun 11, 2011       D17-16-06 
 JJ164F411324X7976  Pilot        2011  48233  53970  Medina, Emily           Tue, Jun 15, 2011       D17-16-07 
 JB121S125324X7978  Civic        2011  15095  16455  Baker, Lynn             Mon, Jun 14, 2011       D17-16-08 
 JA112F13632429BAX  Accord       2011  30336  32930  Cole, Peter             Mon, Jun 14, 2011       D17-16-02 
 JE145F4173244BXC2  Crosstour    2011  44287  46640  Medina, Emily           Sun, Jun 13, 2011       D17-16-07 
 JB127S13732418A94  Civic        2011  16204  16655  Hansen, Ralph           Sat, Jun 12, 2011       D17-16-09 
 JH153FU1A3245C1X6  Odyssey      2011  43287  45825  Cole, Peter             Thu, Jun 17, 2011       D17-16-02 
 JH152SU1032482438  Odyssey      2011  29682  30375  Cole, Peter             Thu, Jun 17, 2011       D17-16-02 
 JB127S13A3246X22X  Civic        2011  15107  16655  Baker, Lynn             Thu, Jun 17, 2011       D17-16-08 
 JH152SU113245C112  Odyssey      2011  27999  30375  Baker, Lynn             Thu, Jun 17, 2011       D17-16-08 
 JA1X3SU2332418AA4  Accord       2011  23795  25089  Rodriguez, Mathew       Tue, Jun 15, 2011       D17-16-06 
 JA117S3303246X226  Accord       2011  22164  23480  Hansen, Ralph           Sun, Jun 13, 2011       D17-16-09 
 JH158S4173243ACC8  Odyssey      2011  38064  41375  Medina, Emily           Tue, Jun 15, 2011       D17-16-07 
 JH156S3163246X23X  Odyssey      2011  28305  30375  Rodriguez, Mathew       Tue, Jun 15, 2011       D17-16-06 
 JB127S139324X79A2  Civic        2011  15867  16655  Morris, Bobbie          Fri, Jun 11, 2011       D17-16-05 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JJ16AF110X384BB11  Pilot       2007  25742  41970  Herrera, Nina           Fri, Jun 11, 2011       D17-16-03 
 JF147SU17YX782253  Fit         2008  10624  16825  Rodriguez, Mathew       Sun, Jun 13, 2011       D17-16-06 
 JD138FU13X49188B5  CR-Z        2007  16898  27705  West, Sally             Sun, Jun 13, 2011       D17-16-04 
 JB127S139X21299C7  Civic       2007  10047  16655  Herrera, Nina           Mon, Jun 14, 2011       D17-16-03 
 JB129S144Y4P5CC29  Civic       2008  15022  23055  Medina, Emily           Tue, Jun 15, 2011       D17-16-07 
 JH159F415X1229A31  Odyssey     2007  33825  56825  Herrera, Nina           Tue, Jun 15, 2011       D17-16-03 
 JB121S125X384BC53  Civic       2007  9923   16455  Medina, Emily           Mon, Jun 14, 2011       D17-16-07 
 JH153FU11W5229A35  Odyssey     2006  23703  45825  Rodriguez, Mathew       Sat, Jun 12, 2011       D17-16-06 
 JH157F3131123AB47  Odyssey     2009  33635  45825  Rodriguez, Mathew       Mon, Jun 14, 2011       D17-16-06 
 JB13ASU422X84BC59  Civic       2010  19264  23855  Rodriguez, Mathew       Thu, Jun 17, 2011       D17-16-06 
 JH153FU14XX65CX71  Odyssey     2007  27225  45825  Cole, Peter             Mon, Jun 14, 2011       D17-16-02 
 JC132FU1022418933  CR-V        2010  25776  31995  Cole, Peter             Tue, Jun 15, 2011       D17-16-02 
 JB127S130YX63AB55  Civic       2008  10810  16655  Lambert, Anita          Sun, Jun 13, 2011       D17-16-01 
 JH157F317X423AB57  Odyssey     2007  27225  45825  Baker, Lynn             Mon, Jun 14, 2011       D17-16-08 
 JH151F118W3P4BC69  Odyssey     2006  23178  44825  Herrera, Nina           Tue, Jun 15, 2011       D17-16-03 
 JE141F118W41X7831  Crosstour   2006  18482  37640  Baker, Lynn             Thu, Jun 17, 2011       D17-16-08 
 JH152SU1013P3AB63  Odyssey     2009  21870  30375  Morris, Bobbie          Mon, Jun 14, 2011       D17-16-05 
