Dealer Name: Isern Honda
Address:     9833 Florida Highway
             Brookland, GA
Dealer ID:   28
Owner:       Isern, Mareen
Date:        Fri, Jun 18, 2011 thru Thu, Jun 24, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JD137FU173252A546  CR-Z         2011  24244  25705  Stephens, Christy       Fri, Jun 18, 2011       D28-20-06 
 JB129S14632519438  Civic        2011  21883  23055  Gregory, Brad           Wed, Jun 23, 2011       D28-20-05 
 JC132FU1A32583BBX  CR-V         2011  29320  31995  Simpson, Charlene       Sun, Jun 20, 2011       D28-20-01 
 JH151F1163253B662  Odyssey      2011  41220  44825  White, Ana              Tue, Jun 22, 2011       D28-20-03 
 JE144F31932519444  Crosstour    2011  35950  38640  Sullivan, Jorge         Sun, Jun 20, 2011       D28-20-02 
 JE142FU1732519446  Crosstour    2011  35367  38640  Simpson, Charlene       Mon, Jun 21, 2011       D28-20-01 
 JC131F1123254C778  CR-V         2011  28722  30995  White, Ana              Fri, Jun 18, 2011       D28-20-03 
 JH159F41932583BCX  Odyssey      2011  55053  56825  Gregory, Brad           Thu, Jun 24, 2011       D28-20-05 
 JB127S13632572AB2  Civic        2011  15107  16655  Gregory, Brad           Sat, Jun 19, 2011       D28-20-05 
 JH159F413325619A4  Odyssey      2011  52200  56825  White, Ana              Sat, Jun 19, 2011       D28-20-03 
 JB127S1333253B676  Civic        2011  16120  16655  Young, Bryan            Thu, Jun 24, 2011       D28-20-04 
 JB127S13332583BC8  Civic        2011  15107  16655  Young, Bryan            Mon, Jun 21, 2011       D28-20-04 
 JB121S127325X835X  Civic        2011  15929  16455  Simpson, Charlene       Wed, Jun 23, 2011       D28-20-01 
 JB121S12232583BX2  Civic        2011  14845  16455  Sullivan, Jorge         Tue, Jun 22, 2011       D28-20-02 
 JH153FU113252A574  Odyssey      2011  43517  45825  Stephens, Christy       Sun, Jun 20, 2011       D28-20-06 
 JB121S125325X8356  Civic        2011  15262  16455  Young, Bryan            Sat, Jun 19, 2011       D28-20-04 
 JC132FU173254C798  CR-V         2011  30931  31995  Young, Bryan            Thu, Jun 24, 2011       D28-20-04 
 JH153FU1432572AXX  Odyssey      2011  44668  45825  Sullivan, Jorge         Mon, Jun 21, 2011       D28-20-02 
 JA113SU3A32572AX2  Accord       2011  22282  23480  Stephens, Christy       Sat, Jun 19, 2011       D28-20-06 
 JE141F1163255X8B4  Crosstour    2011  35403  37640  Simpson, Charlene       Mon, Jun 21, 2011       D28-20-01 
 JH158S4153252A586  Odyssey      2011  36816  41375  Stephens, Christy       Sat, Jun 19, 2011       D28-20-06 
 JE143FU163254C7A8  Crosstour    2011  38004  40640  Simpson, Charlene       Sat, Jun 19, 2011       D28-20-01 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH15AS118W3282557  Odyssey     2006  14350  29375  Simpson, Charlene       Thu, Jun 24, 2011       D28-20-01 
 JB129S144Y1229CC9  Civic       2008  14611  23055  Simpson, Charlene       Thu, Jun 24, 2011       D28-20-01 
 JH159F412V276X471  Odyssey     2005  24047  56825  Stephens, Christy       Mon, Jun 21, 2011       D28-20-06 
 JE141F114X3918C23  Crosstour   2007  23057  37640  Gregory, Brad           Mon, Jun 21, 2011       D28-20-05 
 JH155FU1514671585  Odyssey     2009  35103  47825  Sullivan, Jorge         Thu, Jun 24, 2011       D28-20-02 
 JC131F11AV4P29X37  CR-V        2005  12940  30995  Sullivan, Jorge         Thu, Jun 24, 2011       D28-20-02 
 JB127S1322264B259  Civic       2010  13672  16655  Gregory, Brad           Thu, Jun 24, 2011       D28-20-05 
 JH151F118Y425C371  Odyssey     2008  29346  44825  Simpson, Charlene       Thu, Jun 24, 2011       D28-20-01 
 JB127S134X415C373  Civic       2007  9723   16655  Gregory, Brad           Tue, Jun 22, 2011       D28-20-05 
 JD136F116Y173A155  CR-Z        2008  15667  24705  Sullivan, Jorge         Fri, Jun 18, 2011       D28-20-02 
 JB129S1451193A157  Civic       2009  16599  23055  Simpson, Charlene       Fri, Jun 18, 2011       D28-20-01 
 JD138FU10X3229X49  CR-Z        2007  16898  27705  Young, Bryan            Fri, Jun 18, 2011       D28-20-04 
 JE141F116X52715A1  Crosstour   2007  23057  37640  Sullivan, Jorge         Sun, Jun 20, 2011       D28-20-02 
 JH152SU1024229X53  Odyssey     2010  24480  30375  Stephens, Christy       Sun, Jun 20, 2011       D28-20-06 
 JD138FU17W455C385  CR-Z        2006  14190  27705  Young, Bryan            Tue, Jun 22, 2011       D28-20-04 
 JH154SU1AX265C387  Odyssey     2007  19155  32375  White, Ana              Sun, Jun 20, 2011       D28-20-03 
 JF147SU1AX165C389  Fit         2007  9825   16825  Sullivan, Jorge         Mon, Jun 21, 2011       D28-20-02 
 JE141F116Y49X7B41  Crosstour   2008  23945  37640  Sullivan, Jorge         Tue, Jun 22, 2011       D28-20-02 
 JH158S413X48826C3  Odyssey     2007  25373  41375  Young, Bryan            Wed, Jun 23, 2011       D28-20-04 
