Dealer Name: Zeigler Honda
Address:     2940 Davison Highway
             Sawyer, TN
Dealer ID:   36
Owner:       Zeigler, Martin
Date:        Fri, Jul 16, 2011 thru Thu, Jul 22, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH155FU173295XBA2  Odyssey      2011  43245  47825  Washington, Jerry       Wed, Jul 21, 2011       D36-32-01 
 JD136F1193294CA94  CR-Z         2011  23683  24705  Webb, Hector            Thu, Jul 22, 2011       D36-32-02 
 JA112F1383294CA96  Accord       2011  29673  32930  Fleming, Larry          Thu, Jul 22, 2011       D36-32-05 
 JB122SU24329831X8  Civic        2011  15382  17255  Fleming, Larry          Tue, Jul 20, 2011       D36-32-05 
 JB121S1243291977X  Civic        2011  16012  16455  Washington, Jerry       Tue, Jul 20, 2011       D36-32-01 
 JB127S138329X8662  Civic        2011  14938  16655  Fleming, Larry          Fri, Jul 16, 2011       D36-32-05 
 JB123H1553292A884  Civic        2011  25181  27600  Gonzales, Brian         Tue, Jul 20, 2011       D36-32-03 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JG149FU11V135X811  Insight     2005  10444  25190  Armstrong, Amber        Wed, Jul 21, 2011       D36-32-06 
 JC133FU161384C7X3  CR-V        2009  24952  33995  Webb, Hector            Fri, Jul 16, 2011       D36-32-02 
 JG148F110X335X815  Insight     2007  14842  24390  Fleming, Larry          Sat, Jul 17, 2011       D36-32-05 
 JH15AS113Y2P72A37  Odyssey     2008  19180  29375  Gonzales, Brian         Fri, Jul 16, 2011       D36-32-03 
 JA111S139Y5283B49  Accord      2008  14643  22480  Webb, Hector            Mon, Jul 19, 2011       D36-32-02 
 JH151F118V33194B1  Odyssey     2005  39752  44825  Fleming, Larry          Sat, Jul 17, 2011       D36-32-05 
 JH152SU16Y38194B3  Odyssey     2008  19838  30375  Armstrong, Amber        Wed, Jul 21, 2011       D36-32-06 
 JH15AS112Y19194B5  Odyssey     2008  26235  29375  Washington, Jerry       Mon, Jul 19, 2011       D36-32-01 
