Dealer Name: Bill Travers Honda
Address:     7043 George Parson Highway
             Grand Traverse, AL
Dealer ID:   21
Owner:       Travers, Bill
Date:        Fri, Aug 13, 2011 thru Thu, Aug 19, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH153FU153336X316  Odyssey      2011  41214  45825  Powell, Jerome          Fri, Aug 13, 2011       D21-19-03 
 JA1X1S12433318B98  Accord       2011  23463  24089  West, Ashley            Mon, Aug 16, 2011       D21-19-07 
 JA1X5SU233333AXCX  Accord       2011  24855  27089  West, Ashley            Wed, Aug 18, 2011       D21-19-07 
 JC131F1173335C212  CR-V         2011  29190  30995  Evans, Dennis           Sun, Aug 15, 2011       D21-19-05 
 JH158S41233382544  Odyssey      2011  38272  41375  West, Ashley            Tue, Aug 17, 2011       D21-19-07 
 JA1X7S320333X7A96  Accord       2011  24048  25089  Evans, Dennis           Mon, Aug 16, 2011       D21-19-05 
 JB13ASU4833371438  Civic        2011  21310  23855  Carroll, Glenn          Mon, Aug 16, 2011       D21-19-01 
 JC131F11A3338255X  CR-V         2011  28566  30995  Carroll, Glenn          Sat, Aug 14, 2011       D21-19-01 
 JA1X4FU243334B112  Accord       2011  30658  34030  Simpson, Georgia        Thu, Aug 19, 2011       D21-19-08 
 JB127S134333X7AA4  Civic        2011  16120  16655  Carroll, Glenn          Mon, Aug 16, 2011       D21-19-01 
 JB127S1393334B116  Civic        2011  15867  16655  Oliver, Melanie         Tue, Aug 17, 2011       D21-19-02 
 JC131F1103336X338  CR-V         2011  29346  30995  Evans, Dennis           Tue, Aug 17, 2011       D21-19-05 
 JB129S14533329X3X  Civic        2011  20486  23055  West, Ashley            Tue, Aug 17, 2011       D21-19-07 
 JD137FU183336X472  CR-Z         2011  24503  25705  Evans, Dennis           Mon, Aug 16, 2011       D21-19-05 
 JB127S1333333A144  Civic        2011  15192  16655  Simpson, Georgia        Sun, Aug 15, 2011       D21-19-08 
 JB121S120333X7B16  Civic        2011  15512  16455  Powell, Jerome          Tue, Aug 17, 2011       D21-19-03 
 JB129S14A3336X478  Civic        2011  20835  23055  Evans, Dennis           Tue, Aug 17, 2011       D21-19-05 
 JH151F1173336X48X  Odyssey      2011  43473  44825  Carroll, Glenn          Fri, Aug 13, 2011       D21-19-01 
 JH153FU12333X7B22  Odyssey      2011  40524  45825  Oliver, Melanie         Fri, Aug 13, 2011       D21-19-02 
 JB128SU34333826A4  Civic        2011  15823  17455  Washington, Franklin    Fri, Aug 13, 2011       D21-19-06 
 JB121S1293333A156  Civic        2011  15679  16455  Evans, Dennis           Sun, Aug 15, 2011       D21-19-05 
 JA1X3SU26333X7B28  Accord       2011  23162  25089  Carroll, Glenn          Sun, Aug 15, 2011       D21-19-01 
 JH157F315333715AX  Odyssey      2011  42135  45825  Washington, Franklin    Tue, Aug 17, 2011       D21-19-06 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JD136F11632971227  CR-Z         2011  22765  24705  Evans, Dennis           Thu, Aug 19, 2011       D21-19-05 
 JA1X7S32722718999  Accord      2010  20504  25089  Evans, Dennis           Sun, Aug 15, 2011       D21-19-05 
 JK165F117X314BCX1  Ridgeline   2007  28706  46750  Washington, Franklin    Mon, Aug 16, 2011       D21-19-06 
 JH151F11123482343  Odyssey     2010  36040  44825  Powell, Jerome          Sun, Aug 15, 2011       D21-19-03 
 JJ16AF11AV31X7895  Pilot       2005  16428  41970  Powell, Jerome          Fri, Aug 13, 2011       D21-19-03 
 JD138FU16Y343ABC7  CR-Z        2008  17587  27705  Washington, Franklin    Fri, Aug 13, 2011       D21-19-06 
 JH155FU15139X7899  Odyssey     2009  34434  47825  Powell, Jerome          Fri, Aug 13, 2011       D21-19-03 
 JB121S125VX171241  Civic       2005  6688   16455  Carroll, Glenn          Mon, Aug 16, 2011       D21-19-01 
 JB122SU25X3171243  Civic       2007  10419  17255  Carroll, Glenn          Fri, Aug 13, 2011       D21-19-01 
 JB129S14311171245  Civic       2009  16922  23055  Evans, Dennis           Thu, Aug 19, 2011       D21-19-05 
 JB121S12AY2571247  Civic       2008  10679  16455  Simpson, Georgia        Mon, Aug 16, 2011       D21-19-08 
 JC131F114X295CX29  CR-V        2007  18937  30995  Simpson, Georgia        Thu, Aug 19, 2011       D21-19-08 
 JH15AS1123315C161  Odyssey      2011  26991  29375  King, Gwendolyn         Sat, Aug 14, 2011       D21-19-04 
 JB129S1422394BX53  Civic       2010  18856  23055  King, Gwendolyn         Fri, Aug 13, 2011       D21-19-04 
 JB121S127V296X275  Civic       2005  6688   16455  Oliver, Melanie         Wed, Aug 18, 2011       D21-19-02 
 JD136F111X244BX57  CR-Z        2007  14553  24705  Oliver, Melanie         Fri, Aug 13, 2011       D21-19-02 
 JH153FU19X4718A29  Odyssey     2007  27225  45825  West, Ashley            Tue, Aug 17, 2011       D21-19-07 
 JA12AF431143824A1  Accord      2009  30776  41930  Carroll, Glenn          Sat, Aug 14, 2011       D21-19-01 
