Dealer Name: Adams Honda
Address:     4008 Lee Road
             Louderdale, FL
Dealer ID:   32
Owner:       Adams, Jon
Date:        Fri, Aug 13, 2011 thru Thu, Aug 19, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB121S12633361A34  Civic        2011  15012  16455  Freeman, Arthur         Sat, Aug 14, 2011       D32-28-05 
 JB127S133333X84A6  Civic        2011  14938  16655  Freeman, Arthur         Thu, Aug 19, 2011       D32-28-05 
 JG148F1123333B7X8  Insight      2011  21661  24390  Freeman, Arthur         Mon, Aug 16, 2011       D32-28-05 
 JB121S12233372C8X  Civic        2011  16012  16455  Freeman, Arthur         Sun, Aug 15, 2011       D32-28-05 
 JB122SU2A33383X92  Civic        2011  16606  17255  Spencer, Sean           Sat, Aug 14, 2011       D32-28-02 
 JB128SU3033361B74  Civic        2011  17149  17455  Spencer, Sean           Thu, Aug 19, 2011       D32-28-02 
 JA111S1383335XA66  Accord       2011  21569  22480  Freeman, Arthur         Sat, Aug 14, 2011       D32-28-05 
 JB121S1233335XA68  Civic        2011  15345  16455  Bryant, Raul            Mon, Aug 16, 2011       D32-28-04 
 JG149FU183333B85X  Insight      2011  24017  25190  Bryant, Raul            Sun, Aug 15, 2011       D32-28-04 
 JB127S13033361B82  Civic        2011  15360  16655  Bryant, Raul            Mon, Aug 16, 2011       D32-28-04 
 JH153FU11333X8524  Odyssey      2011  43287  45825  Anderson, Brad          Sun, Aug 15, 2011       D32-28-03 
 JB128SU3733361B86  Civic        2011  16088  17455  Anderson, Brad          Wed, Aug 18, 2011       D32-28-03 
 JH155FU1333383XA8  Odyssey      2011  45167  47825  Anderson, Brad          Tue, Aug 17, 2011       D32-28-03 
 JH15AS1163333B86X  Odyssey      2011  27972  29375  Hicks, Andre            Mon, Aug 16, 2011       D32-28-01 
 JE144F31733361B92  Crosstour    2011  36338  38640  Anderson, Brad          Sat, Aug 14, 2011       D32-28-03 
 JB129S1413334C974  Civic        2011  21883  23055  Spencer, Sean           Wed, Aug 18, 2011       D32-28-02 
 JB121S1283334C976  Civic        2011  15762  16455  Anderson, Brad          Fri, Aug 13, 2011       D32-28-03 
 JB122SU2233319648  Civic        2011  16955  17255  Spencer, Sean           Thu, Aug 19, 2011       D32-28-02 
 JB129S14733361BAX  Civic        2011  20835  23055  Hicks, Andre            Sun, Aug 15, 2011       D32-28-01 
 JC132FU1933372CB2  CR-V         2011  28836  31995  Spencer, Sean           Sun, Aug 15, 2011       D32-28-02 
 JB121S1203333B874  Civic        2011  15345  16455  Anderson, Brad          Sun, Aug 15, 2011       D32-28-03 
 JB123H155333X8546  Civic        2011  24903  27600  Hicks, Andre            Wed, Aug 18, 2011       D32-28-01 
 JB13ASU4A3332A768  Civic        2011  21190  23855  Hicks, Andre            Mon, Aug 16, 2011       D32-28-01 
 JB121S1223332A77X  Civic        2011  15762  16455  Bryant, Raul            Mon, Aug 16, 2011       D32-28-04 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH15AS11AX5P5C4A9  Odyssey     2007  17933  29375  Spencer, Sean           Mon, Aug 16, 2011       D32-28-02 
 JH159F41A1X45C4B1  Odyssey     2009  51142  56825  Spencer, Sean           Fri, Aug 13, 2011       D32-28-02 
 JH153FU1A11829183  Odyssey     2009  33635  45825  Spencer, Sean           Sun, Aug 15, 2011       D32-28-02 
 JH152SU13Y314B3A5  Odyssey     2008  18753  30375  Anderson, Brad          Sun, Aug 15, 2011       D32-28-03 
 JH151F111Y1P716X7  Odyssey     2008  28544  44825  Anderson, Brad          Sun, Aug 15, 2011       D32-28-03 
 JH153FU131345C4B9  Odyssey     2009  32994  45825  Freeman, Arthur         Sun, Aug 15, 2011       D32-28-05 
 JD137FU17Y1218X81  CR-Z        2008  16307  25705  Hicks, Andre            Wed, Aug 18, 2011       D32-28-01 
 JD137FU111X918X83  CR-Z        2009  18507  25705  Spencer, Sean           Fri, Aug 13, 2011       D32-28-02 
 JC131F114Y3829195  CR-V        2008  20246  30995  Anderson, Brad          Fri, Aug 13, 2011       D32-28-03 
 JC134F310V4129197  CR-V        2005  13370  31995  Bryant, Raul            Tue, Aug 17, 2011       D32-28-04 
 JH155FU16X146X5X9  Odyssey     2007  27477  47825  Anderson, Brad          Thu, Aug 19, 2011       D32-28-03 
 JC131F112W245C4X1  CR-V        2006  15918  30995  Spencer, Sean           Wed, Aug 18, 2011       D32-28-02 
 JC131F114V416X513  CR-V        2005  12940  30995  Hicks, Andre            Mon, Aug 16, 2011       D32-28-01 
 JH152SU1912871625  Odyssey     2009  21870  30375  Hicks, Andre            Sun, Aug 15, 2011       D32-28-01 
 JG148F111W113A2B7  Insight     2006  12450  24390  Hicks, Andre            Sun, Aug 15, 2011       D32-28-01 
 JH155FU10X325C4X9  Odyssey     2007  28425  47825  Anderson, Brad          Mon, Aug 16, 2011       D32-28-03 
 JB127S136Y18X7C91  Civic       2008  10810  16655  Spencer, Sean           Thu, Aug 19, 2011       D32-28-02 
 JB121S123XX271633  Civic       2007  9923   16455  Spencer, Sean           Sun, Aug 15, 2011       D32-28-02 
 JB127S130X383A2C5  Civic       2007  10047  16655  Hicks, Andre            Sun, Aug 15, 2011       D32-28-01 
 JB129S14AY4818XA7  Civic       2008  15022  23055  Bryant, Raul            Sat, Aug 14, 2011       D32-28-04 
