Dealer Name: Carter Honda
Address:     2499 Bob Jones St
             Louderdale, FL
Dealer ID:   29
Owner:       Carter, Jimmy
Date:        Fri, Aug 20, 2011 thru Thu, Aug 26, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB129S149334X8376  Civic        2011  22232  23055  Rodriguez, Leonard      Wed, Aug 25, 2011       D29-25-01 
 JD138FU1033483B28  CR-Z         2011  26673  27705  Lawson, Carolyn         Fri, Aug 20, 2011       D29-25-02 
 JH157F3133341949X  Odyssey      2011  41905  45825  Rodriguez, Leonard      Fri, Aug 20, 2011       D29-25-01 
 JA1X1S12233472A22  Accord       2011  22368  24089  Lawson, Carolyn         Fri, Aug 20, 2011       D29-25-02 
 JE143FU1233472A24  Crosstour    2011  36982  40640  Rodriguez, Leonard      Sun, Aug 22, 2011       D29-25-01 
 JF146S118334X8386  Fit          2011  14543  16025  Graham, Sheila          Tue, Aug 24, 2011       D29-25-03 
 JB121S1283345X8X8  Civic        2011  15595  16455  Graham, Sheila          Wed, Aug 25, 2011       D29-25-03 
 JH151F116334194AX  Odyssey      2011  42347  44825  Lawson, Carolyn         Sun, Aug 22, 2011       D29-25-02 
 JB127S13A3342A5B2  Civic        2011  16373  16655  Graham, Sheila          Sat, Aug 21, 2011       D29-25-03 
 JJ161FU183343B6C4  Pilot        2011  40387  42970  Lucas, Jose             Sat, Aug 21, 2011       D29-25-06 
 JB129S14A33483B46  Civic        2011  21417  23055  Rodriguez, Leonard      Sat, Aug 21, 2011       D29-25-01 
 JB121S1263343B6C8  Civic        2011  15012  16455  Lucas, Jose             Sat, Aug 21, 2011       D29-25-06 
 JB13ASU493342A5CX  Civic        2011  21190  23855  Lawson, Carolyn         Wed, Aug 25, 2011       D29-25-02 
 JA1X4FU273344C712  Accord       2011  30829  34030  Coleman, Arnold         Mon, Aug 23, 2011       D29-25-05 
 JH156S31A3342A5C4  Odyssey      2011  28611  30375  Lucas, Jose             Sun, Aug 22, 2011       D29-25-06 
 JB129S142334X83A6  Civic        2011  21301  23055  Lawson, Carolyn         Sat, Aug 21, 2011       D29-25-02 
 JA1X1S125334X83A8  Accord       2011  22125  24089  Lucas, Jose             Tue, Aug 24, 2011       D29-25-06 
 JB129S1443344C85X  Civic        2011  20486  23055  Graham, Sheila          Thu, Aug 26, 2011       D29-25-03 
 JG148F1133342A632  Insight      2011  21907  24390  Walker, Roland          Wed, Aug 25, 2011       D29-25-04 
 JA111S13833472B84  Accord       2011  20207  22480  Lawson, Carolyn         Thu, Aug 26, 2011       D29-25-02 
