Dealer Name: Carter Honda
Address:     2499 Bob Jones St
             Louderdale, FL
Dealer ID:   29
Owner:       Carter, Jimmy
Date:        Fri, Sep 10, 2011 thru Thu, Sep 16, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JC131F11433719482  CR-V         2011  29190  30995  Walker, Roland          Mon, Sep 13, 2011       D29-25-04 
 JH157F310337619X4  Odyssey      2011  43287  45825  Lawson, Carolyn         Fri, Sep 10, 2011       D29-25-02 
 JH153FU193375X8C6  Odyssey      2011  43287  45825  Lawson, Carolyn         Thu, Sep 16, 2011       D29-25-02 
 JB129S1433374C7B8  Civic        2011  22116  23055  Lucas, Jose             Tue, Sep 14, 2011       D29-25-06 
 JE142FU123371949X  Crosstour    2011  35561  38640  Coleman, Arnold         Sat, Sep 11, 2011       D29-25-05 
 JE144F3123374C7C2  Crosstour    2011  35367  38640  Rodriguez, Leonard      Tue, Sep 14, 2011       D29-25-01 
 JA1X3SU2833772A24  Accord       2011  22402  25089  Lucas, Jose             Mon, Sep 13, 2011       D29-25-06 
 JC133FU1833772A26  CR-V         2011  31824  33995  Graham, Sheila          Sun, Sep 12, 2011       D29-25-03 
 JH15AS1193372A5A8  Odyssey      2011  28416  29375  Walker, Roland          Sat, Sep 11, 2011       D29-25-04 
 JB127S139337X839X  Civic        2011  15192  16655  Lawson, Carolyn         Mon, Sep 13, 2011       D29-25-02 
 JB128SU383372A5B2  Civic        2011  15646  17455  Lawson, Carolyn         Sun, Sep 12, 2011       D29-25-02 
 JA1X1S1283372A5B4  Accord       2011  22855  24089  Lawson, Carolyn         Mon, Sep 13, 2011       D29-25-02 
 JC135F4183372A5B6  CR-V         2011  38812  39995  Graham, Sheila          Tue, Sep 14, 2011       D29-25-03 
 JG148F11333783B48  Insight      2011  22645  24390  Lucas, Jose             Sun, Sep 12, 2011       D29-25-06 
 JA1X5SU2633772A4X  Accord       2011  25538  27089  Rodriguez, Leonard      Fri, Sep 10, 2011       D29-25-01 
 JB121S12733761932  Civic        2011  15595  16455  Lucas, Jose             Mon, Sep 13, 2011       D29-25-06 
 JA111S1343374C714  Accord       2011  21569  22480  Coleman, Arnold         Wed, Sep 15, 2011       D29-25-05 
