Dealer Name: Quality Honda
Address:     1624 Tupelo Road
             Norbert, FL
Dealer ID:   16
Owner:       Simpson, Homer
Date:        Fri, Sep 17, 2011 thru Thu, Sep 23, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB121S126338824A8  Civic        2011  15762  16455  Daniels, Rhonda         Fri, Sep 17, 2011       D16-15-06 
 JA1X9S421338713AX  Accord       2011  30149  33089  Rose, Ida               Mon, Sep 20, 2011       D16-15-08 
 JC132FU13338713A2  CR-V         2011  31253  31995  Murray, Gladys          Sat, Sep 18, 2011       D16-15-07 
 JA1X5SU213385C184  Accord       2011  25538  27089  Murray, Gladys          Mon, Sep 20, 2011       D16-15-07 
 JA113SU36338824B6  Accord       2011  21097  23480  Freeman, Vickie         Wed, Sep 22, 2011       D16-15-05 
 JD136F11A3385C188  CR-Z         2011  22561  24705  Hunter, Yolanda         Wed, Sep 22, 2011       D16-15-02 
 JH152SU1A338X794X  Odyssey      2011  29070  30375  Hunter, Yolanda         Sun, Sep 19, 2011       D16-15-02 
 JH153FU163386X2A2  Odyssey      2011  42596  45825  Murray, Gladys          Sat, Sep 18, 2011       D16-15-07 
 JA1X1S12A3386X2A4  Accord       2011  22368  24089  Murray, Gladys          Thu, Sep 23, 2011       D16-15-07 
 JB129S1493385C196  Civic        2011  22581  23055  Daniels, Rhonda         Sun, Sep 19, 2011       D16-15-06 
 JB127S1353384BX88  Civic        2011  16373  16655  Hunter, Yolanda         Tue, Sep 21, 2011       D16-15-02 
 JE141F116338713CX  Crosstour    2011  33699  37640  Rose, Ida               Sun, Sep 19, 2011       D16-15-08 
 JC132FU183384BX92  CR-V         2011  29803  31995  Gonzales, Harold        Wed, Sep 22, 2011       D16-15-03 
 JB123H156338X7954  Civic        2011  25320  27600  Rose, Ida               Fri, Sep 17, 2011       D16-15-08 
 JA113SU3A338X7956  Accord       2011  22638  23480  Rose, Ida               Mon, Sep 20, 2011       D16-15-08 
 JC134F31A338X7958  CR-V         2011  28836  31995  Gonzales, Harold        Fri, Sep 17, 2011       D16-15-03 
 JH151F1183388241X  Odyssey      2011  42572  44825  Hunter, Yolanda         Wed, Sep 22, 2011       D16-15-02 
 JB121S12633829B82  Civic        2011  15595  16455  Hunter, Yolanda         Mon, Sep 20, 2011       D16-15-02 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JE141F11533118849  Crosstour    2011  34281  37640  Gonzales, Harold        Sat, Sep 18, 2011       D16-15-03 
 JD139F3151394BB81  CR-Z        2009  18507  25705  Gonzales, Harold        Tue, Sep 21, 2011       D16-15-03 
 JB129S141X15822C3  Civic       2007  14015  23055  Freeman, Vickie         Sun, Sep 19, 2011       D16-15-05 
 JJ161FU19Y316XXA5  Pilot       2008  27356  42970  Horton, Jon             Fri, Sep 17, 2011       D16-15-09 
 JF146S117Y44X7747  Fit         2008  10112  16025  Hunter, Yolanda         Tue, Sep 21, 2011       D16-15-02 
 JH152SU191X76XXA9  Odyssey     2009  21870  30375  Freeman, Vickie         Fri, Sep 17, 2011       D16-15-05 
 JC131F110W43711C1  CR-V        2006  15160  30995  Daniels, Rhonda         Mon, Sep 20, 2011       D16-15-06 
 JH15AS111XX5822X3  Odyssey     2007  17355  29375  Hunter, Yolanda         Sat, Sep 18, 2011       D16-15-02 
 JH154SU1A21P822X5  Odyssey     2010  29503  32375  Rose, Ida               Mon, Sep 20, 2011       D16-15-08 
 JB121S126247X7757  Civic       2010  13510  16455  Murray, Gladys          Fri, Sep 17, 2011       D16-15-07 
 JB121S122Y234BB99  Civic       2008  10679  16455  Murray, Gladys          Sun, Sep 19, 2011       D16-15-07 
 JJ162FU15Y39X7761  Pilot       2008  27831  44970  Horton, Jon             Fri, Sep 17, 2011       D16-15-09 
 JH151F110V414BBA3  Odyssey     2005  17570  44825  Daniels, Rhonda         Sun, Sep 19, 2011       D16-15-06 
 JH154SU15YX93AA95  Odyssey     2008  19997  32375  Horton, Jon             Sat, Sep 18, 2011       D16-15-09 
 JB127S134Y2PX7767  Civic       2008  10810  16655  Freeman, Vickie         Wed, Sep 22, 2011       D16-15-05 
 JK166FU101455CCB9  Ridgeline   2009  34380  47750  Daniels, Rhonda         Fri, Sep 17, 2011       D16-15-06 
 JB127S130W1582221  Civic       2006  8389   16655  Daniels, Rhonda         Sat, Sep 18, 2011       D16-15-06 
