Dealer Name: Zeigler Honda
Address:     2940 Davison Highway
             Sawyer, TN
Dealer ID:   36
Owner:       Zeigler, Martin
Date:        Fri, Sep 17, 2011 thru Thu, Sep 23, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB127S1333381976X  Civic        2011  15951  16655  Washington, Jerry       Tue, Sep 21, 2011       D36-32-01 
 JB121S125338831X2  Civic        2011  15679  16455  Carr, Linda             Sun, Sep 19, 2011       D36-32-04 
 JB121S12733819764  Civic        2011  15095  16455  Gonzales, Brian         Sun, Sep 19, 2011       D36-32-03 
 JA111S1343382A876  Accord       2011  20775  22480  Gonzales, Brian         Mon, Sep 20, 2011       D36-32-03 
 JA1X1S122338831X8  Accord       2011  23341  24089  Carr, Linda             Mon, Sep 20, 2011       D36-32-04 
 JA117S3313388311X  Accord       2011  22401  23480  Armstrong, Amber        Tue, Sep 21, 2011       D36-32-06 
 JA1X4FU203384CAA2  Accord       2011  32713  34030  Armstrong, Amber        Wed, Sep 22, 2011       D36-32-06 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JE141F1171274C7C9  Crosstour   2009  27100  37640  Washington, Jerry       Tue, Sep 21, 2011       D36-32-01 
 JD136F117W5261921  CR-Z        2006  12015  24705  Washington, Jerry       Fri, Sep 17, 2011       D36-32-01 
 JH15AS116X342A5B3  Odyssey     2007  17355  29375  Fleming, Larry          Sat, Sep 18, 2011       D36-32-05 
 JH157F311W364C7X5  Odyssey     2006  22575  45825  Carr, Linda             Thu, Sep 23, 2011       D36-32-04 
 JK169F416Y473B6C7  Ridgeline   2008  37456  58750  Fleming, Larry          Mon, Sep 20, 2011       D36-32-05 
 JG148F11424P83B49  Insight     2010  19692  24390  Fleming, Larry          Fri, Sep 17, 2011       D36-32-05 
 JH151F11211383B51  Odyssey     2009  32274  44825  Carr, Linda             Mon, Sep 20, 2011       D36-32-04 
 JC134F315X225X823  CR-V        2007  19557  31995  Armstrong, Amber        Fri, Sep 17, 2011       D36-32-06 
