Dealer Name: Lakeside Honda
Address:     6205 Meridian Road
             East Valley, FL
Dealer ID:   39
Owner:       Isern, Mareen
Date:        Fri, Sep 17, 2011 thru Thu, Sep 23, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA1X4FU2633861XBX  Accord       2011  32199  34030  Medina, Jamie           Fri, Sep 17, 2011       D39-20-02 
 JH159F4103384CB92  Odyssey      2011  51630  56825  Medina, Jamie           Sun, Sep 19, 2011       D39-20-02 
 JB127S1373382A974  Civic        2011  16289  16655  Edwards, Julio          Sun, Sep 19, 2011       D39-20-01 
 JB121S121338721C6  Civic        2011  14845  16455  Medina, Jamie           Thu, Sep 23, 2011       D39-20-02 
 JC133FU15338832X8  CR-V         2011  30798  33995  Lynch, Stacey           Tue, Sep 21, 2011       D39-20-04 
 JC131F1123384CBAX  CR-V         2011  28722  30995  Adams, Danny            Sat, Sep 18, 2011       D39-20-05 
 JC132FU173382A982  CR-V         2011  31092  31995  Adams, Danny            Sat, Sep 18, 2011       D39-20-05 
 JH156S3193385XCB4  Odyssey      2011  29529  30375  Adams, Danny            Wed, Sep 22, 2011       D39-20-05 
 JC131F1103385XCB6  CR-V         2011  27941  30995  Evans, Violet           Sun, Sep 19, 2011       D39-20-06 
 JB121S12A3383BA98  Civic        2011  16179  16455  Evans, Violet           Sun, Sep 19, 2011       D39-20-06 
 JA111S13433861XXX  Accord       2011  20775  22480  Medina, Jamie           Tue, Sep 21, 2011       D39-20-02 
 JA111S132338X8772  Accord       2011  20775  22480  Edwards, Julio          Wed, Sep 22, 2011       D39-20-01 
 JB129S14833861XX4  Civic        2011  20835  23055  Medina, Jamie           Wed, Sep 22, 2011       D39-20-02 
 JB128SU3433861XX6  Civic        2011  16707  17455  Edwards, Julio          Sat, Sep 18, 2011       D39-20-01 
 JB127S1353385XCC8  Civic        2011  16289  16655  Medina, Jamie           Thu, Sep 23, 2011       D39-20-02 
 JC133FU1A3381989X  CR-V         2011  31140  33995  Evans, Violet           Mon, Sep 20, 2011       D39-20-06 
 JG148F11333819892  Insight      2011  23507  24390  Rivera, Jesus           Mon, Sep 20, 2011       D39-20-03 
 JA111S1383384CBC4  Accord       2011  20548  22480  Medina, Jamie           Wed, Sep 22, 2011       D39-20-02 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA117S332Y1583C29  Accord      2008  15301  23480  Evans, Violet           Sat, Sep 18, 2011       D39-20-06 
 JH155FU14Y2419591  Odyssey     2008  31320  47825  Edwards, Julio          Mon, Sep 20, 2011       D39-20-01 
 JH152SU11Y2161A13  Odyssey     2008  19296  30375  Lynch, Stacey           Thu, Sep 23, 2011       D39-20-04 
 JA117S3393X261A15  Accord       2011  21656  23480  Lynch, Stacey           Mon, Sep 20, 2011       D39-20-04 
 JD136F1102X6X8487  CR-Z        2010  20193  24705  Edwards, Julio          Mon, Sep 20, 2011       D39-20-01 
 JH15AS115XX84C8C9  Odyssey     2007  17933  29375  Medina, Jamie           Sat, Sep 18, 2011       D39-20-02 
 JB127S136V393B7C1  Civic       2005  6774   16655  Medina, Jamie           Sat, Sep 18, 2011       D39-20-02 
 JH157F316X213B7C3  Odyssey     2007  27225  45825  Edwards, Julio          Thu, Sep 23, 2011       D39-20-01 
 JC131F112XX383C45  CR-V        2007  18937  30995  Rivera, Jesus           Mon, Sep 20, 2011       D39-20-03 
 JB127S133Y2361A27  Civic       2008  10810  16655  Lynch, Stacey           Fri, Sep 17, 2011       D39-20-04 
 JD138FU19X182A6B9  CR-Z        2007  16353  27705  Adams, Danny            Thu, Sep 23, 2011       D39-20-05 
 JH154SU13X475X921  Odyssey     2007  19155  32375  Evans, Violet           Fri, Sep 17, 2011       D39-20-06 
 JD137FU19W255X923  CR-Z        2006  12515  25705  Adams, Danny            Tue, Sep 21, 2011       D39-20-05 
 JC131F111YX55X925  CR-V        2008  20246  30995  Lynch, Stacey           Wed, Sep 22, 2011       D39-20-04 
 JB127S13824283C57  Civic       2010  13672  16655  Adams, Danny            Sat, Sep 18, 2011       D39-20-05 
 JH159F416V524C819  Odyssey     2005  24047  56825  Medina, Jamie           Sun, Sep 19, 2011       D39-20-02 
