Dealer Name: Sally's Honda Plus
Address:     8187 Kline Ave
             Clarksville, NC
Dealer ID:   1
Owner:       Walker, Sally
Date:        Fri, Sep 24, 2011 thru Thu, Sep 30, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JF146S11333982B94  Fit          2011  14625  16025  Ryan, Margie            Mon, Sep 27, 2011       D01-01-06 
 JA111S1373394B756  Accord       2011  20093  22480  Ryan, Margie            Sat, Sep 25, 2011       D01-01-06 
 JC131F11333971A88  CR-V         2011  30283  30995  Jennings, Terry         Thu, Sep 30, 2011       D01-01-02 
 JE143FU1A3393A65X  Crosstour    2011  39230  40640  Ryan, Margie            Thu, Sep 30, 2011       D01-01-06 
 JA1X7S32833918432  Accord       2011  23288  25089  Wood, Lloyd             Fri, Sep 24, 2011       D01-01-04 
 JD137FU1633918434  CR-Z         2011  23725  25705  Wood, Lloyd             Sat, Sep 25, 2011       D01-01-04 
 JB127S13033929546  Civic        2011  16373  16655  Ryan, Margie            Wed, Sep 29, 2011       D01-01-06 
 JB127S1323396X988  Civic        2011  15867  16655  Russell, Connie         Sat, Sep 25, 2011       D01-01-01 
 JH159F4163391844X  Odyssey      2011  52486  56825  Ryan, Margie            Sat, Sep 25, 2011       D01-01-06 
 JA1X1S12533918442  Accord       2011  21517  24089  King, Michelle          Thu, Sep 30, 2011       D01-01-03 
 JA1X1S12733982BB4  Accord       2011  21882  24089  Russell, Connie         Mon, Sep 27, 2011       D01-01-01 
 JB121S12433982BB6  Civic        2011  15012  16455  King, Michelle          Mon, Sep 27, 2011       D01-01-03 
 JC131F1143393A668  CR-V         2011  29815  30995  Harper, Freddie         Mon, Sep 27, 2011       D01-01-05 
 JC131F1113394B78X  CR-V         2011  27629  30995  Russell, Connie         Sun, Sep 26, 2011       D01-01-01 
 JH15AS1163393A672  Odyssey      2011  27824  29375  Harper, Freddie         Wed, Sep 29, 2011       D01-01-05 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH154SU132X95C865  Odyssey     2010  25754  32375  Ryan, Margie            Sun, Sep 26, 2011       D01-01-06 
 JB127S1311276X977  Civic       2009  12224  16655  Jennings, Terry         Wed, Sep 29, 2011       D01-01-02 
 JC131F1121343A649  CR-V        2009  22316  30995  Harper, Freddie         Fri, Sep 24, 2011       D01-01-05 
 JH153FU11WX23A651  Odyssey     2006  22575  45825  Ryan, Margie            Fri, Sep 24, 2011       D01-01-06 
 JH155FU10W1PX7323  Odyssey     2006  23575  47825  Jennings, Terry         Mon, Sep 27, 2011       D01-01-02 
 JE143FU1011629545  Crosstour   2009  36576  40640  Wood, Lloyd             Fri, Sep 24, 2011       D01-01-04 
 JH155FU13Y4482BA7  Odyssey     2008  29607  47825  Jennings, Terry         Sun, Sep 26, 2011       D01-01-02 
 JE141F117V4429549  Crosstour   2005  15798  37640  Russell, Connie         Fri, Sep 24, 2011       D01-01-01 
 JH154SU1AV443A661  Odyssey     2005  12590  32375  Russell, Connie         Wed, Sep 29, 2011       D01-01-01 
 JB127S139W1182BB3  Civic       2006  8389   16655  King, Michelle          Thu, Sep 30, 2011       D01-01-03 
 JD136F111Y124B775  CR-Z        2008  15667  24705  King, Michelle          Sun, Sep 26, 2011       D01-01-03 
 JH154SU182115C887  Odyssey     2010  26406  32375  Harper, Freddie         Wed, Sep 29, 2011       D01-01-05 
 JC131F110Y14X7339  CR-V        2008  20246  30995  Harper, Freddie         Thu, Sep 30, 2011       D01-01-05 
 JC131F11431929561  CR-V         2011  28300  30995  Harper, Freddie         Tue, Sep 28, 2011       D01-01-05 
 JB129S144Y354B783  Civic       2008  15022  23055  Ryan, Margie            Thu, Sep 30, 2011       D01-01-06 
 JJ16AF113V4PX7345  Pilot       2005  15195  41970  Wood, Lloyd             Fri, Sep 24, 2011       D01-01-04 
