Dealer Name: Young & Parsons Honda
Address:     7322 Youngstown Highway
             Ridge Island, AL
Dealer ID:   24
Owner:       Young, Walter
Date:        Fri, Sep 24, 2011 thru Thu, Sep 30, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JE144F3153396X4X8  Crosstour    2011  37504  38640  Fleming, Esther         Sun, Sep 26, 2011       D24-21-01 
 JB121S1203393A1BX  Civic        2011  16096  16455  Fleming, Esther         Mon, Sep 27, 2011       D24-21-01 
 JB121S1213393A1B2  Civic        2011  15095  16455  Fleming, Esther         Tue, Sep 28, 2011       D24-21-01 
 JH153FU1133929XA4  Odyssey      2011  42135  45825  Jensen, Jeanne          Sun, Sep 26, 2011       D24-21-04 
 JB127S13733918C96  Civic        2011  15276  16655  Wallace, Clifton        Thu, Sep 30, 2011       D24-21-05 
 JD14AF4183394B2C8  CR-Z         2011  30028  33705  Green, Adrian           Tue, Sep 28, 2011       D24-21-02 
 JC133FU193393A1CX  CR-V         2011  32680  33995  Garcia, Luis            Wed, Sep 29, 2011       D24-21-06 
 JC131F11733929XB2  CR-V         2011  27629  30995  Wallace, Clifton        Sat, Sep 25, 2011       D24-21-05 
 JH152SU1233982644  Odyssey      2011  27540  30375  Jensen, Jeanne          Thu, Sep 30, 2011       D24-21-04 
 JC131F11033971536  CR-V         2011  28566  30995  Green, Adrian           Sun, Sep 26, 2011       D24-21-02 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JC131F112X3P82425  CR-V        2007  18937  30995  Wallace, Clifton        Wed, Sep 29, 2011       D24-21-05 
 JE144F319X4929B97  Crosstour   2007  22914  38640  Green, Adrian           Thu, Sep 30, 2011       D24-21-02 
 JC131F111236X7979  CR-V        2010  25288  30995  Fleming, Esther         Sun, Sep 26, 2011       D24-21-01 
 JK167FU13Y455C1X1  Ridgeline   2008  31696  49750  Garcia, Luis            Thu, Sep 30, 2011       D24-21-06 
