Dealer Name: State Honda
Address:     1322 Centerville Road
             Louderdale, FL
Dealer ID:   30
Owner:       Samuels, Sammy
Date:        Fri, Sep 24, 2011 thru Thu, Sep 30, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JC135F417339X8418  CR-V         2011  38611  39995  Shelton, Marshall       Thu, Sep 30, 2011       D30-26-02 
 JK166FU153395X97X  Ridgeline    2011  46295  47750  Shelton, Marshall       Sat, Sep 25, 2011       D30-26-02 
 JC134F31133919532  CR-V         2011  31253  31995  Shelton, Marshall       Sun, Sep 26, 2011       D30-26-02 
 JC131F1193394C864  CR-V         2011  30127  30995  Shelton, Marshall       Mon, Sep 27, 2011       D30-26-02 
 JA1X1S1263394C866  Accord       2011  22490  24089  Romero, Floyd           Sun, Sep 26, 2011       D30-26-01 
 JA111S13A33972B98  Accord       2011  21569  22480  Romero, Floyd           Mon, Sep 27, 2011       D30-26-01 
 JB128SU343394C87X  Civic        2011  16972  17455  Romero, Floyd           Wed, Sep 29, 2011       D30-26-01 
 JB129S1463393B762  Civic        2011  21650  23055  Shelton, Marshall       Thu, Sep 30, 2011       D30-26-02 
 JA111S13033972BA4  Accord       2011  20434  22480  Shelton, Marshall       Sun, Sep 26, 2011       D30-26-02 
 JB122SU25339X8436  Civic        2011  16693  17255  Romero, Floyd           Thu, Sep 30, 2011       D30-26-01 
 JG148F11433983CB8  Insight      2011  23384  24390  Romero, Floyd           Tue, Sep 28, 2011       D30-26-01 
 JA1X2F12133972BBX  Accord       2011  30428  33030  Shelton, Marshall       Tue, Sep 28, 2011       D30-26-02 
 JH153FU1433983CC2  Odyssey      2011  40754  45825  Romero, Floyd           Wed, Sep 29, 2011       D30-26-01 
 JH155FU123392A664  Odyssey      2011  42284  47825  Romero, Floyd           Tue, Sep 28, 2011       D30-26-01 
 JB121S12533983CC6  Civic        2011  14845  16455  Shelton, Marshall       Sun, Sep 26, 2011       D30-26-02 
 JA114FU313392A668  Accord       2011  30227  33930  Romero, Floyd           Fri, Sep 24, 2011       D30-26-01 
 JB121S1213391956X  Civic        2011  16179  16455  Romero, Floyd           Fri, Sep 24, 2011       D30-26-01 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB124HU57YX35C3X9  Civic       2008  18539  28400  Shelton, Marshall       Mon, Sep 27, 2011       D30-26-02 
 JD137FU15Y244B2X1  CR-Z        2008  16307  25705  Shelton, Marshall       Wed, Sep 29, 2011       D30-26-02 
 JG148F118Y423A1C3  Insight     2008  15465  24390  Romero, Floyd           Sun, Sep 26, 2011       D30-26-01 
 JB128SU31Y123A1C5  Civic       2008  11337  17455  Romero, Floyd           Sun, Sep 26, 2011       D30-26-01 
 JH159F4141496X427  Odyssey     2009  41709  56825  Romero, Floyd           Sun, Sep 26, 2011       D30-26-01 
 JH155FU14Y1P3A1C9  Odyssey     2008  31320  47825  Romero, Floyd           Fri, Sep 24, 2011       D30-26-01 
 JB127S136226X7BA1  Civic       2010  13504  16655  Shelton, Marshall       Tue, Sep 28, 2011       D30-26-02 
 JH157F313XX771543  Odyssey     2007  27225  45825  Shelton, Marshall       Sat, Sep 25, 2011       D30-26-02 
 JE144F316V246X435  Crosstour   2005  16228  38640  Romero, Floyd           Wed, Sep 29, 2011       D30-26-01 
 JG148F113Y273A1X7  Insight     2008  15465  24390  Romero, Floyd           Mon, Sep 27, 2011       D30-26-01 
 JH153FU17Y354B219  Odyssey     2008  28363  45825  Shelton, Marshall       Thu, Sep 30, 2011       D30-26-02 
 JC132FU1313218X21  CR-V        2009  23036  31995  Shelton, Marshall       Fri, Sep 24, 2011       D30-26-02 
 JH153FU1113371683  Odyssey     2009  41471  45825  Shelton, Marshall       Tue, Sep 28, 2011       D30-26-02 
 JH157F316X4P18X25  Odyssey     2007  27225  45825  Romero, Floyd           Sun, Sep 26, 2011       D30-26-01 
