Dealer Name: Value Honda
Address:     6846 Harrison Ave
             West Junction, AL
Dealer ID:   7
Owner:       Walker, Shelly
Date:        Fri, Oct 15, 2011 thru Thu, Oct 21, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB121S12734271CX2  Civic        2011  15345  16455  Caldwell, Wade          Tue, Oct 19, 2011       D07-07-04 
 JB129S14A342X7564  Civic        2011  21184  23055  Chavez, Joy             Sun, Oct 17, 2011       D07-07-05 
 JD137FU12342X7566  CR-Z         2011  23337  25705  Green, Francis          Sun, Oct 17, 2011       D07-07-02 
 JB121S12834271CX8  Civic        2011  15345  16455  Meyer, Vincent          Wed, Oct 20, 2011       D07-07-03 
 JC131F11234271C1X  CR-V         2011  29659  30995  Chavez, Joy             Sun, Oct 17, 2011       D07-07-05 
 JA116FU3034282X22  Accord       2011  33804  35930  Meyer, Vincent          Thu, Oct 21, 2011       D07-07-03 
 JB127S1313425CAC4  Civic        2011  15445  16655  Chavez, Joy             Mon, Oct 18, 2011       D07-07-05 
 JB121S12334229796  Civic        2011  16179  16455  Mills, Naomi            Fri, Oct 15, 2011       D07-07-06 
 JB129S1453423A8A8  Civic        2011  21534  23055  Chavez, Joy             Fri, Oct 15, 2011       D07-07-05 
 JH151F117342297AX  Odyssey      2011  41446  44825  Soto, Victor            Wed, Oct 20, 2011       D07-07-07 
 JH158S418342297A2  Odyssey      2011  39728  41375  Schmidt, Phillip        Tue, Oct 19, 2011       D07-07-01 
 JH157F31534218694  Odyssey      2011  43747  45825  Mills, Naomi            Sat, Oct 16, 2011       D07-07-06 
 JH151F115342X7586  Odyssey      2011  41671  44825  Green, Francis          Sat, Oct 16, 2011       D07-07-02 
 JB127S13A3425CAX8  Civic        2011  15782  16655  Chavez, Joy             Sun, Oct 17, 2011       D07-07-05 
 JH153FU173425CA1X  Odyssey      2011  42135  45825  Mills, Naomi            Mon, Oct 18, 2011       D07-07-06 
 JA118F33134282X42  Accord       2011  31081  33930  Chavez, Joy             Mon, Oct 18, 2011       D07-07-05 
 JC133FU16342297B4  CR-V         2011  30455  33995  Schmidt, Phillip        Wed, Oct 20, 2011       D07-07-01 
 JB121S1243424B9X6  Civic        2011  15929  16455  Soto, Victor            Mon, Oct 18, 2011       D07-07-07 
 JA117S33034271C38  Accord       2011  21690  23480  Soto, Victor            Sun, Oct 17, 2011       D07-07-07 
 JG148F11334282X5X  Insight      2011  23753  24390  Caldwell, Wade          Wed, Oct 20, 2011       D07-07-04 
 JG148F111342186B2  Insight      2011  22153  24390  Soto, Victor            Sun, Oct 17, 2011       D07-07-07 
 JC134F3153425CA24  CR-V         2011  29481  31995  Patterson, Hilda        Sat, Oct 16, 2011       D07-07-08 
 JA1X1S1283426XB36  Accord       2011  22733  24089  Mills, Naomi            Fri, Oct 15, 2011       D07-07-06 
 JJ164F4153426XB38  Pilot        2011  51485  53970  Schmidt, Phillip        Fri, Oct 15, 2011       D07-07-01 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
