Dealer Name: Freeman Honda
Address:     2332 Bob Jones St
             Brookland, GA
Dealer ID:   26
Owner:       Freeman, Greg
Date:        Fri, Oct 15, 2011 thru Thu, Oct 21, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JG148F113342716A4  Insight      2011  23876  24390  Perkins, Tanya          Sat, Oct 16, 2011       D26-23-01 
 JF146S11A3423A266  Fit          2011  15031  16025  Perkins, Tanya          Sun, Oct 17, 2011       D26-23-01 
 JA1X5SU2034229158  Accord       2011  25265  27089  Perkins, Tanya          Mon, Oct 18, 2011       D26-23-01 
 JD136F112342X7C4X  CR-Z         2011  23558  24705  Perkins, Tanya          Fri, Oct 15, 2011       D26-23-01 
 JD136F111342716B2  CR-Z         2011  22810  24705  Perkins, Tanya          Mon, Oct 18, 2011       D26-23-01 
 JB122SU203424B384  Civic        2011  16780  17255  Perkins, Tanya          Sat, Oct 16, 2011       D26-23-01 
 JA1X2F122342716B6  Accord       2011  32091  33030  Perkins, Tanya          Sun, Oct 17, 2011       D26-23-01 
 JB125G1633424B388  Civic        2011  27868  28505  Perkins, Tanya          Tue, Oct 19, 2011       D26-23-01 
 JC133FU133422917X  CR-V         2011  31653  33995  Perkins, Tanya          Fri, Oct 15, 2011       D26-23-01 
 JG149FU1634229172  Insight      2011  22365  25190  Perkins, Tanya          Sat, Oct 16, 2011       D26-23-01 
 JA1X2F121342716C4  Accord       2011  31592  33030  Perkins, Tanya          Mon, Oct 18, 2011       D26-23-01 
 JA114FU353425C4A6  Accord       2011  30910  33930  Perkins, Tanya          Sun, Oct 17, 2011       D26-23-01 
 JA1X1S126342X7C58  Accord       2011  23463  24089  Perkins, Tanya          Wed, Oct 20, 2011       D26-23-01 
 JA1X2F1253428271X  Accord       2011  31758  33030  Perkins, Tanya          Thu, Oct 21, 2011       D26-23-01 
 JB125G1613423A292  Civic        2011  26000  28505  Perkins, Tanya          Wed, Oct 20, 2011       D26-23-01 
 JA1X1S12534282714  Accord       2011  23463  24089  Perkins, Tanya          Wed, Oct 20, 2011       D26-23-01 
 JC131F1173423A296  CR-V         2011  28254  30995  Perkins, Tanya          Thu, Oct 21, 2011       D26-23-01 
 JA1X3SU28342716X8  Accord       2011  22656  25089  Perkins, Tanya          Mon, Oct 18, 2011       D26-23-01 
 JB121S1203424B3BX  Civic        2011  15178  16455  Perkins, Tanya          Sun, Oct 17, 2011       D26-23-01 
 JA111S13234229192  Accord       2011  20661  22480  Perkins, Tanya          Fri, Oct 15, 2011       D26-23-01 
