Dealer Name: Adams Honda
Address:     4008 Lee Road
             Louderdale, FL
Dealer ID:   32
Owner:       Adams, Jon
Date:        Fri, Oct 15, 2011 thru Thu, Oct 21, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH151F111342195B4  Odyssey      2011  41671  44825  Freeman, Arthur         Sat, Oct 16, 2011       D32-28-05 
 JH151F1103422A6C6  Odyssey      2011  42572  44825  Bryant, Raul            Mon, Oct 18, 2011       D32-28-04 
 JE142FU113425X928  Crosstour    2011  37310  38640  Freeman, Arthur         Wed, Oct 20, 2011       D32-28-05 
 JB121S129342X851X  Civic        2011  14845  16455  Bryant, Raul            Thu, Oct 21, 2011       D32-28-04 
 JC133FU1734283X92  CR-V         2011  31482  33995  Anderson, Brad          Tue, Oct 19, 2011       D32-28-03 
 JA112F1363423B844  Accord       2011  30668  32930  Spencer, Sean           Fri, Oct 15, 2011       D32-28-02 
 JD136F11934272C86  CR-Z         2011  23309  24705  Bryant, Raul            Thu, Oct 21, 2011       D32-28-04 
 JH157F31434272C88  Odyssey      2011  42366  45825  Anderson, Brad          Thu, Oct 21, 2011       D32-28-03 
 JC132FU173422A74X  CR-V         2011  30447  31995  Anderson, Brad          Tue, Oct 19, 2011       D32-28-03 
 JH151F11A3425XA72  Odyssey      2011  39644  44825  Bryant, Raul            Fri, Oct 15, 2011       D32-28-04 
 JB129S14134219634  Civic        2011  20952  23055  Spencer, Sean           Fri, Oct 15, 2011       D32-28-02 
 JA1X2F12534272C96  Accord       2011  31924  33030  Freeman, Arthur         Tue, Oct 19, 2011       D32-28-05 
 JH153FU163424C968  Odyssey      2011  40984  45825  Bryant, Raul            Wed, Oct 20, 2011       D32-28-04 
 JB121S1203424C97X  Civic        2011  15595  16455  Bryant, Raul            Fri, Oct 15, 2011       D32-28-04 
 JC131F1143424C972  CR-V         2011  28254  30995  Bryant, Raul            Mon, Oct 18, 2011       D32-28-04 
 JA1X1S1293425XA84  Accord       2011  22247  24089  Spencer, Sean           Tue, Oct 19, 2011       D32-28-02 
 JH153FU1734219646  Odyssey      2011  41214  45825  Bryant, Raul            Tue, Oct 19, 2011       D32-28-04 
 JA113SU303422A758  Accord       2011  22164  23480  Anderson, Brad          Tue, Oct 19, 2011       D32-28-03 
 JH155FU143425XA9X  Odyssey      2011  45647  47825  Bryant, Raul            Sun, Oct 17, 2011       D32-28-04 
 JH158S411342X8542  Odyssey      2011  37648  41375  Bryant, Raul            Thu, Oct 21, 2011       D32-28-04 
 JH154SU1034272CB4  Odyssey      2011  28851  32375  Anderson, Brad          Thu, Oct 21, 2011       D32-28-03 
 JA1X2F12334283XC6  Accord       2011  30428  33030  Freeman, Arthur         Fri, Oct 15, 2011       D32-28-05 
 JB129S1423424C988  Civic        2011  22465  23055  Anderson, Brad          Sun, Oct 17, 2011       D32-28-03 
 JB127S1373424C99X  Civic        2011  15445  16655  Freeman, Arthur         Thu, Oct 21, 2011       D32-28-05 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JE142FU10X344B399  Crosstour   2007  22914  38640  Anderson, Brad          Sat, Oct 16, 2011       D32-28-03 
 JH15AS115XX8X7C61  Odyssey     2007  17355  29375  Bryant, Raul            Sat, Oct 16, 2011       D32-28-04 
 JH153FU1211718X73  Odyssey     2009  33635  45825  Hicks, Andre            Sun, Oct 17, 2011       D32-28-01 
 JC131F114W1P29185  CR-V        2006  15918  30995  Spencer, Sean           Sat, Oct 16, 2011       D32-28-02 
 JH152SU11WX3716X7  Odyssey     2006  14107  30375  Hicks, Andre            Wed, Oct 20, 2011       D32-28-01 
 JD138FU14X286X5C9  CR-Z        2007  16353  27705  Anderson, Brad          Fri, Oct 15, 2011       D32-28-03 
 JC131F110Y49X7C71  CR-V        2008  19692  30995  Freeman, Arthur         Thu, Oct 21, 2011       D32-28-05 
 JH152SU13Y524B3B3  Odyssey     2008  19296  30375  Spencer, Sean           Sat, Oct 16, 2011       D32-28-02 
 JB129S14AY3682725  Civic       2008  15022  23055  Anderson, Brad          Mon, Oct 18, 2011       D32-28-03 
 JH153FU10W214B3B7  Odyssey     2006  22575  45825  Bryant, Raul            Sun, Oct 17, 2011       D32-28-04 
 JH155FU13X17X7C79  Odyssey     2007  28425  47825  Bryant, Raul            Mon, Oct 18, 2011       D32-28-04 
 JK166FU193245C4X1  Ridgeline    2011  43621  47750  Spencer, Sean           Fri, Oct 15, 2011       D32-28-02 
 JF146S118XX171623  Fit         2007  9656   16025  Anderson, Brad          Fri, Oct 15, 2011       D32-28-03 
 JD136F110322291A5  CR-Z         2011  22765  24705  Hicks, Andre            Thu, Oct 21, 2011       D32-28-01 
 JH153FU18WX682737  Odyssey     2006  23703  45825  Spencer, Sean           Sun, Oct 17, 2011       D32-28-02 
 JB129S148Y1418X99  Civic       2008  14611  23055  Bryant, Raul            Thu, Oct 21, 2011       D32-28-04 
 JD136F110Y4P6X521  CR-Z        2008  16107  24705  Hicks, Andre            Sun, Oct 17, 2011       D32-28-01 
 JH151F118VX13A2C3  Odyssey     2005  18887  44825  Hicks, Andre            Wed, Oct 20, 2011       D32-28-01 
 JJ16AF11AY5P3A2C5  Pilot       2008  26716  41970  Hicks, Andre            Fri, Oct 15, 2011       D32-28-01 
 JB123H153W3482747  Civic       2006  14135  27600  Bryant, Raul            Fri, Oct 15, 2011       D32-28-04 
