Dealer Name: Young & Parsons Honda
Address:     7322 Youngstown Highway
             Ridge Island, AL
Dealer ID:   24
Owner:       Young, Walter
Date:        Fri, Oct 22, 2011 thru Thu, Oct 28, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB127S1303436X4X8  Civic        2011  16204  16655  Wallace, Clifton        Sat, Oct 23, 2011       D24-21-05 
 JB13ASU4A3436X41X  Civic        2011  22635  23855  Green, Adrian           Fri, Oct 22, 2011       D24-21-02 
 JE141F11A343X7B82  Crosstour    2011  34267  37640  Garcia, Luis            Fri, Oct 22, 2011       D24-21-06 
 JB127S13534329XA4  Civic        2011  14938  16655  Johnson, Vera           Mon, Oct 25, 2011       D24-21-03 
 JJ161FU1334371526  Pilot        2011  38875  42970  Green, Adrian           Mon, Oct 25, 2011       D24-21-02 
 JA111S139343X7B88  Accord       2011  20661  22480  Garcia, Luis            Thu, Oct 28, 2011       D24-21-06 
 JD139F31434329XBX  CR-Z         2011  25022  25705  Garcia, Luis            Sat, Oct 23, 2011       D24-21-06 
 JA111S1363434B2X2  Accord       2011  21910  22480  Johnson, Vera           Sat, Oct 23, 2011       D24-21-03 
 JH151F11334382644  Odyssey      2011  40995  44825  Fleming, Esther         Thu, Oct 28, 2011       D24-21-01 
 JA114FU3934318CA6  Accord       2011  31593  33930  Green, Adrian           Fri, Oct 22, 2011       D24-21-02 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH155FU15W464BXB5  Odyssey     2006  24753  47825  Garcia, Luis            Sun, Oct 24, 2011       D24-21-06 
 JJ163F31AY33X7977  Pilot       2008  28126  42970  Fleming, Esther         Thu, Oct 28, 2011       D24-21-01 
 JB125G169Y3P4BXB9  Civic       2008  18608  28505  Wallace, Clifton        Thu, Oct 28, 2011       D24-21-05 
 JH158S411Y4582431  Odyssey     2008  25595  41375  Green, Adrian           Tue, Oct 26, 2011       D24-21-02 
