Dealer Name: Thomas Team Honda
Address:     2825 Kline Ave
             Grayland, TN
Dealer ID:   19
Owner:       Thomas, Phil
Date:        Fri, Nov 12, 2011 thru Thu, Nov 18, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB125G160346X7A5X  Civic        2011  25426  28505  Rice, Joann             Sat, Nov 13, 2011       D19-18-07 
 JH155FU1934618B62  Odyssey      2011  44446  47825  Rice, Joann             Sun, Nov 14, 2011       D19-18-07 
 JA113SU3634629C74  Accord       2011  22519  23480  Graham, Keith           Tue, Nov 16, 2011       D19-18-06 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JC131F11125218973  CR-V        2010  25288  30995  Daniels, Ernest         Tue, Nov 16, 2011       D19-18-04 
 JB127S130W443AB95  Civic       2006  8389   16655  Watkins, Megan          Thu, Nov 18, 2011       D19-18-05 
 JB123H155111X7867  Civic       2009  20258  27600  Daniels, Ernest         Wed, Nov 17, 2011       D19-18-04 
 JB129S14AXX982319  Civic       2007  14015  23055  Rodriguez, Marc         Mon, Nov 15, 2011       D19-18-02 
 JB127S1353X7X7871  Civic        2011  15480  16655  Sanchez, Walter         Mon, Nov 15, 2011       D19-18-08 
 JC132FU11Y344BCB3  CR-V        2008  20904  31995  Sanchez, Walter         Tue, Nov 16, 2011       D19-18-08 
