Dealer Name: Duncan Honda
Address:     2069 California Blvd
             Granger, AL
Dealer ID:   33
Owner:       Duncan, Phil
Date:        Fri, Nov 12, 2011 thru Thu, Nov 18, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JB127S1393465XA98  Civic        2011  15614  16655  Morgan, Milton          Sun, Nov 14, 2011       D33-29-03 
 JA117S3323462A77X  Accord       2011  21808  23480  Shelton, Adam           Wed, Nov 17, 2011       D33-29-05 
 JB125G1603463B882  Civic        2011  25426  28505  Mitchell, John          Fri, Nov 12, 2011       D33-29-02 
 JE141F11334661BB4  Crosstour    2011  35593  37640  Shelton, Adam           Fri, Nov 12, 2011       D33-29-05 
 JD136F11434661BB6  CR-Z         2011  23434  24705  Shelton, Adam           Tue, Nov 16, 2011       D33-29-05 
 JC134F3183462A778  CR-V         2011  29320  31995  Mitchell, John          Sat, Nov 13, 2011       D33-29-02 
 JB121S1263461967X  Civic        2011  15512  16455  Morgan, Milton          Sat, Nov 13, 2011       D33-29-03 
 JB121S12534683X12  Civic        2011  15178  16455  Shelton, Adam           Fri, Nov 12, 2011       D33-29-05 
 JE141F1123463B894  Crosstour    2011  33321  37640  Mitchell, John          Mon, Nov 15, 2011       D33-29-02 
 JH154SU193462A786  Odyssey      2011  31133  32375  Shelton, Adam           Fri, Nov 12, 2011       D33-29-05 
 JD137FU163463B898  CR-Z         2011  24114  25705  Mitchell, John          Thu, Nov 18, 2011       D33-29-02 
 JH154SU1A346X857X  Odyssey      2011  30807  32375  Mitchell, John          Sat, Nov 13, 2011       D33-29-02 
 JB125G1653465XAC2  Civic        2011  25713  28505  Shelton, Adam           Sun, Nov 14, 2011       D33-29-05 
 JC134F3143464C9B4  CR-V         2011  30125  31995  Mitchell, John          Thu, Nov 18, 2011       D33-29-02 
 JA1X7S32A3465XAC6  Accord       2011  24174  25089  Martinez, Katherine     Mon, Nov 15, 2011       D33-29-04 
 JE141F1183463B8A8  Crosstour    2011  35782  37640  Martinez, Katherine     Tue, Nov 16, 2011       D33-29-04 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH154SU13V52291B5  Odyssey     2005  13534  32375  Mitchell, John          Sat, Nov 13, 2011       D33-29-02 
 JH153FU1833471637  Odyssey      2011  41647  45825  Shelton, Adam           Sun, Nov 14, 2011       D33-29-05 
 JH157F3161173A2C9  Odyssey     2009  33635  45825  Shelton, Adam           Thu, Nov 18, 2011       D33-29-05 
 JB127S13AY47X7CA1  Civic       2008  10810  16655  Wells, Clayton          Fri, Nov 12, 2011       D33-29-01 
 JB129S146X323A2X3  Civic       2007  14015  23055  Martinez, Katherine     Wed, Nov 17, 2011       D33-29-04 
 JB127S139W1271645  Civic       2006  8389   16655  Mitchell, John          Wed, Nov 17, 2011       D33-29-02 
 JH154SU13Y215C427  Odyssey     2008  19997  32375  Martinez, Katherine     Wed, Nov 17, 2011       D33-29-04 
 JJ161FU10Y42X7CA9  Pilot       2008  27356  42970  Martinez, Katherine     Thu, Nov 18, 2011       D33-29-04 
 JC131F111Y4383B91  CR-V        2008  19692  30995  Morgan, Milton          Tue, Nov 16, 2011       D33-29-03 
 JH153FU14XX53B643  Odyssey     2007  27225  45825  Morgan, Milton          Sat, Nov 13, 2011       D33-29-03 
 JK165F119YX13B645  Ridgeline   2008  30613  46750  Mitchell, John          Wed, Nov 17, 2011       D33-29-02 
 JB125G165X313B647  Civic       2007  17394  28505  Wells, Clayton          Sun, Nov 14, 2011       D33-29-01 
 JB121S125X15X8319  Civic       2007  9923   16455  Martinez, Katherine     Mon, Nov 15, 2011       D33-29-04 
 JD138FU19Y1P72A91  CR-Z        2008  18081  27705  Morgan, Milton          Wed, Nov 17, 2011       D33-29-03 
 JH157F3111344C763  Odyssey     2009  33635  45825  Wells, Clayton          Mon, Nov 15, 2011       D33-29-01 
 JB128SU303X219435  Civic        2011  16204  17455  Morgan, Milton          Sat, Nov 13, 2011       D33-29-03 
