Dealer Name: Your Honda
Address:     3145 Brooklin Ave
             West Junction, AL
Dealer ID:   6
Owner:       Frederick, Ted
Date:        Fri, Nov 19, 2011 thru Thu, Nov 25, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA112F13A3476XA26  Accord       2011  29839  32930  Torres, Rose            Sat, Nov 20, 2011       D06-06-02 
 JC133FU1734782C48  CR-V         2011  31311  33995  Fuller, Terri           Tue, Nov 23, 2011       D06-06-08 
 JA116FU3934771B4X  Accord       2011  32177  35930  Porter, Ronnie          Sun, Nov 21, 2011       D06-06-07 
 JA1X2F1233476XA32  Accord       2011  30927  33030  Rivera, Greg            Wed, Nov 24, 2011       D06-06-03 
 JA111S133347185B4  Accord       2011  20434  22480  Rivera, Greg            Tue, Nov 23, 2011       D06-06-03 
 JA115SU383476XA36  Accord       2011  23005  25480  Fuller, Terri           Fri, Nov 19, 2011       D06-06-08 
 JH15AS117347X74A8  Odyssey      2011  27527  29375  Rivera, Greg            Mon, Nov 22, 2011       D06-06-03 
 JA112F13334771C8X  Accord       2011  30668  32930  Wagner, Ramon           Thu, Nov 25, 2011       D06-06-01 
 JC131F11A3475CA62  CR-V         2011  27473  30995  Torres, Rose            Sat, Nov 20, 2011       D06-06-02 
 JA116FU3834729734  Accord       2011  33262  35930  Porter, Ronnie          Thu, Nov 25, 2011       D06-06-07 
 JG148F112347X7516  Insight      2011  22399  24390  Wagner, Ramon           Fri, Nov 19, 2011       D06-06-01 
 JB127S13334771C88  Civic        2011  15698  16655  Wagner, Ramon           Sun, Nov 21, 2011       D06-06-01 
 JC133FU143476XB8X  CR-V         2011  30284  33995  Dixon, Leslie           Mon, Nov 22, 2011       D06-06-04 
 JD138FU1434771C92  CR-Z         2011  25974  27705  Day, Veronica           Tue, Nov 23, 2011       D06-06-05 
 JH151F11134729744  Odyssey      2011  40319  44825  Fuller, Terri           Fri, Nov 19, 2011       D06-06-08 
 JA112F1363474B966  Accord       2011  31828  32930  Rivera, Greg            Mon, Nov 22, 2011       D06-06-03 
 JB129S14634718638  Civic        2011  21184  23055  Wagner, Ramon           Mon, Nov 22, 2011       D06-06-01 
 JG148F11A3473A86X  Insight      2011  23261  24390  Porter, Ronnie          Sun, Nov 21, 2011       D06-06-07 
 JA1X1S12734718642  Accord       2011  23219  24089  Hall, Francis           Sun, Nov 21, 2011       D06-06-06 
 JA1X5SU223475CA84  Accord       2011  24309  27089  Day, Veronica           Wed, Nov 24, 2011       D06-06-05 
 JB127S13934718646  Civic        2011  15445  16655  Dixon, Leslie           Fri, Nov 19, 2011       D06-06-04 
 JH158S4173473A868  Odyssey      2011  38480  41375  Porter, Ronnie          Sun, Nov 21, 2011       D06-06-07 
 JH153FU173474B98X  Odyssey      2011  43056  45825  Wagner, Ramon           Wed, Nov 24, 2011       D06-06-01 
 JE143FU1534782XC2  Crosstour    2011  36778  40640  Torres, Rose            Tue, Nov 23, 2011       D06-06-02 
 JC131F1173476XBA4  CR-V         2011  28254  30995  Porter, Ronnie          Thu, Nov 25, 2011       D06-06-07 
 JB121S122347X7546  Civic        2011  15929  16455  Dixon, Leslie           Tue, Nov 23, 2011       D06-06-04 
 JK169F41534729768  Ridgeline    2011  53667  58750  Hall, Francis           Tue, Nov 23, 2011       D06-06-06 
 JC133FU103471866X  CR-V         2011  30798  33995  Wagner, Ramon           Fri, Nov 19, 2011       D06-06-01 
 JB121S1233475CAA2  Civic        2011  15012  16455  Dixon, Leslie           Thu, Nov 25, 2011       D06-06-04 
 JK168F31034771CC4  Ridgeline    2011  46056  47750  Hall, Francis           Thu, Nov 25, 2011       D06-06-06 
 JH15AS1143474B996  Odyssey      2011  27380  29375  Day, Veronica           Thu, Nov 25, 2011       D06-06-05 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
