Dealer Name: Value Honda
Address:     6846 Harrison Ave
             West Junction, AL
Dealer ID:   7
Owner:       Walker, Shelly
Date:        Fri, Nov 19, 2011 thru Thu, Nov 25, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JD136F1113475CAA8  CR-Z         2011  23558  24705  Green, Francis          Mon, Nov 22, 2011       D07-07-02 
 JF147SU183476XBCX  Fit          2011  15259  16825  Caldwell, Wade          Tue, Nov 23, 2011       D07-07-04 
 JB129S148347X7562  Civic        2011  21999  23055  Green, Francis          Sat, Nov 20, 2011       D07-07-02 
 JD136F11834782X14  CR-Z         2011  23434  24705  Mills, Naomi            Sat, Nov 20, 2011       D07-07-06 
 JA117S3333474B9A6  Accord       2011  22045  23480  Soto, Victor            Fri, Nov 19, 2011       D07-07-07 
 JE142FU10347X7568  Crosstour    2011  34395  38640  Schmidt, Phillip        Sat, Nov 20, 2011       D07-07-01 
 JH15AS1193476XBXX  Odyssey      2011  27972  29375  Patterson, Hilda        Mon, Nov 22, 2011       D07-07-08 
 JH151F117347X7572  Odyssey      2011  41446  44825  Patterson, Hilda        Sat, Nov 20, 2011       D07-07-08 
 JD136F1183476XBX4  CR-Z         2011  22810  24705  Meyer, Vincent          Mon, Nov 22, 2011       D07-07-03 
 JH155FU1034782X26  Odyssey      2011  44446  47825  Caldwell, Wade          Fri, Nov 19, 2011       D07-07-04 
 JA111S132347X7578  Accord       2011  20093  22480  Schmidt, Phillip        Wed, Nov 24, 2011       D07-07-01 
 JG148F1113471869X  Insight      2011  23507  24390  Mills, Naomi            Thu, Nov 25, 2011       D07-07-06 
 JE143FU103474B9C2  Crosstour    2011  38617  40640  Soto, Victor            Sat, Nov 20, 2011       D07-07-07 
 JA118F33434782X34  Accord       2011  31081  33930  Meyer, Vincent          Tue, Nov 23, 2011       D07-07-03 
 JC131F11434718696  CR-V         2011  30283  30995  Soto, Victor            Wed, Nov 24, 2011       D07-07-07 
 JD136F114347X7588  CR-Z         2011  23060  24705  Mills, Naomi            Mon, Nov 22, 2011       D07-07-06 
 JH152SU1934771C3X  Odyssey      2011  27999  30375  Patterson, Hilda        Thu, Nov 25, 2011       D07-07-08 
 JA111S13334782X42  Accord       2011  21115  22480  Caldwell, Wade          Tue, Nov 23, 2011       D07-07-04 
 JA119S4303473A8C4  Accord       2011  28375  31480  Patterson, Hilda        Tue, Nov 23, 2011       D07-07-08 
 JA1X5SU26347186A6  Accord       2011  26221  27089  Green, Francis          Sun, Nov 21, 2011       D07-07-02 
 JA116FU32347X7598  Accord       2011  33443  35930  Soto, Victor            Wed, Nov 24, 2011       D07-07-07 
 JH152SU12347297CX  Odyssey      2011  27540  30375  Chavez, Joy             Tue, Nov 23, 2011       D07-07-05 
 JB129S14534782X52  Civic        2011  20719  23055  Green, Francis          Tue, Nov 23, 2011       D07-07-02 
 JF146S11A3474B914  Fit          2011  15275  16025  Patterson, Hilda        Fri, Nov 19, 2011       D07-07-08 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
