Dealer Name: Honda Importers
Address:     8826 Escanaba Drive
             Grand Traverse, AL
Dealer ID:   22
Owner:       Isern, Mareen
Date:        Fri, Dec 24, 2011 thru Fri, Dec 31, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH153FU183523A16X  Odyssey      2011  43056  45825  Morrison, Irene         Sun, Dec 26, 2011       D22-20-07 
 JC133FU143524B272  CR-V         2011  30798  33995  Young, Carlos           Wed, Dec 29, 2011       D22-20-05 
 JA113SU3A35218C44  Accord       2011  21215  23480  Thompson, Gail          Sat, Dec 25, 2011       D22-20-03 
 JB121S1223525C386  Civic        2011  15012  16455  Soto, Roger             Mon, Dec 27, 2011       D22-20-06 
 JA1X1S12235218C48  Accord       2011  22976  24089  Tucker, Ann             Fri, Dec 24, 2011       D22-20-02 
 JA113SU313524B28X  Accord       2011  22875  23480  Morrison, Irene         Wed, Dec 29, 2011       D22-20-07 
 JE141F114352826C2  Crosstour    2011  35971  37640  Soto, Roger             Sat, Dec 25, 2011       D22-20-06 
 JA112F1343525C394  Accord       2011  31994  32930  Watson, Lori            Mon, Dec 27, 2011       D22-20-01 
 JA1X3SU213523A176  Accord       2011  23795  25089  Thompson, Gail          Wed, Dec 29, 2011       D22-20-03 
 JK166FU19352826C8  Ridgeline    2011  46056  47750  Thompson, Gail          Fri, Dec 24, 2011       D22-20-03 
 JA111S13A352X7B5X  Accord       2011  20207  22480  Thompson, Gail          Wed, Dec 29, 2011       D22-20-03 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JD136F110YX96X281  CR-Z        2008  16107  24705  Young, Carlos           Wed, Dec 29, 2011       D22-20-05 
 JH157F315YX571393  Odyssey     2008  29184  45825  Nichols, Colleen        Mon, Dec 27, 2011       D22-20-04 
 JH151F11635P5C175  Odyssey      2011  40973  44825  Morrison, Irene         Sun, Dec 26, 2011       D22-20-07 
 JE141F118Y16824A7  Crosstour   2008  24619  37640  Watson, Lori            Sat, Dec 25, 2011       D22-20-01 
 JG148F11412PX7929  Insight     2009  17560  24390  Young, Carlos           Wed, Dec 29, 2011       D22-20-05 
 JA1X7S32AXX64BX71  Accord      2007  15276  25089  Thompson, Gail          Wed, Dec 29, 2011       D22-20-03 
 JB126GU61351X7933  Civic        2011  26928  29305  Watson, Lori            Sun, Dec 26, 2011       D22-20-01 
 JB127S13AY34824B5  Civic       2008  10810  16655  Romero, Gladys          Fri, Dec 24, 2011       D22-20-08 
 JC131F119Y3418A47  CR-V        2008  20246  30995  Young, Carlos           Wed, Dec 29, 2011       D22-20-05 
 JH152SU10WX518A49  Odyssey     2006  15592  30375  Young, Carlos           Tue, Dec 28, 2011       D22-20-05 
