Dealer Name: City Honda
Address:     9489 Ford Parkwark
             Brookland, GA
Dealer ID:   25
Owner:       Porter, Barbara
Date:        Fri, Dec 24, 2011 thru Fri, Dec 31, 2011  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA116FU3435271538  Accord       2011  32720  35930  Fuller, Jacob           Sat, Dec 25, 2011       D25-22-02 
 JA112F13135218CBX  Accord       2011  31994  32930  Sullivan, Hazel         Sun, Dec 26, 2011       D25-22-06 
 JB127S13835229XC2  Civic        2011  15614  16655  Shelton, Alicia         Tue, Dec 28, 2011       D25-22-01 
 JC131F11A35271544  CR-V         2011  28410  30995  Hall, Josephine         Sat, Dec 25, 2011       D25-22-03 
 JB123H1573525C326  Civic        2011  24486  27600  Hall, Josephine         Sun, Dec 26, 2011       D25-22-03 
 JH155FU133525C328  Odyssey      2011  44926  47825  Shelton, Alicia         Wed, Dec 29, 2011       D25-22-01 
 JH155FU1735218X2X  Odyssey      2011  45167  47825  Sullivan, Hazel         Tue, Dec 28, 2011       D25-22-06 
 JA111S13235218X22  Accord       2011  22023  22480  Hall, Josephine         Sun, Dec 26, 2011       D25-22-03 
 JB121S1243523A244  Civic        2011  15929  16455  Shelton, Alicia         Tue, Dec 28, 2011       D25-22-01 
 JB122SU273523A246  Civic        2011  16431  17255  Fuller, Jacob           Sat, Dec 25, 2011       D25-22-02 
 JC131F1103524B358  CR-V         2011  27785  30995  Fuller, Jacob           Fri, Dec 24, 2011       D25-22-02 
 JB127S1363526X58X  Civic        2011  15192  16655  Shelton, Alicia         Wed, Dec 29, 2011       D25-22-01 
 JB127S13835218X32  Civic        2011  16373  16655  Mcdonald, Eduardo       Tue, Dec 28, 2011       D25-22-05 
 JH155FU103523A254  Odyssey      2011  45647  47825  Mcdonald, Eduardo       Sun, Dec 26, 2011       D25-22-05 
 JA111S1393523A256  Accord       2011  22023  22480  Fuller, Jacob           Sat, Dec 25, 2011       D25-22-02 
 JJ162FU1135229148  Pilot        2011  42483  44970  Hall, Josephine         Fri, Dec 24, 2011       D25-22-03 
 JA1X1S124352716AX  Accord       2011  22125  24089  Wallace, Harry          Sat, Dec 25, 2011       D25-22-04 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JH153FU11Y495C1X3  Odyssey     2008  30004  45825  Wallace, Harry          Thu, Dec 30, 2011       D25-22-04 
 JG148F117YX53ACB5  Insight     2008  15465  24390  Shelton, Alicia         Thu, Dec 30, 2011       D25-22-01 
 JH153FU18Y1271327  Odyssey     2008  30004  45825  Shelton, Alicia         Mon, Dec 27, 2011       D25-22-01 
 JG148F110W5P29BA9  Insight     2006  12450  24390  Shelton, Alicia         Wed, Dec 29, 2011       D25-22-01 
 JH154SU10Y4218AA1  Odyssey     2008  21154  32375  Mcdonald, Eduardo       Thu, Dec 30, 2011       D25-22-05 
 JH153FU1AW323ACC3  Odyssey     2006  21446  45825  Mcdonald, Eduardo       Sat, Dec 25, 2011       D25-22-05 
 JE143FU15XX282445  Crosstour   2007  24917  40640  Mcdonald, Eduardo       Wed, Dec 29, 2011       D25-22-05 
 JB121S124Y19X7997  Civic       2008  10679  16455  Fuller, Jacob           Fri, Dec 24, 2011       D25-22-02 
 JD139F3121X129BB9  CR-Z        2009  18867  25705  Hall, Josephine         Sun, Dec 26, 2011       D25-22-03 
 JK166FU16WX482451  Ridgeline   2006  23537  47750  Hall, Josephine         Mon, Dec 27, 2011       D25-22-03 
 JH152SU14Y3718AB3  Odyssey     2008  19838  30375  Wallace, Harry          Sun, Dec 26, 2011       D25-22-04 
 JH153FU10Y3129BC5  Odyssey     2008  30004  45825  Sullivan, Hazel         Mon, Dec 27, 2011       D25-22-06 
 JB123H15513118AB7  Civic       2009  20258  27600  Fuller, Jacob           Wed, Dec 29, 2011       D25-22-02 
 JJ162FU18W193ACX9  Pilot       2006  23254  44970  Hall, Josephine         Wed, Dec 29, 2011       D25-22-03 
 JA111S137W526X371  Accord      2006  11447  22480  Hall, Josephine         Mon, Dec 27, 2011       D25-22-03 
 JB129S144YX482593  Civic       2008  15022  23055  Fuller, Jacob           Wed, Dec 29, 2011       D25-22-02 
 JB122SU201X629C35  Civic       2009  12665  17255  Wallace, Harry          Sun, Dec 26, 2011       D25-22-04 
 JH157F314XX23AX47  Odyssey     2007  28132  45825  Fuller, Jacob           Thu, Dec 30, 2011       D25-22-02 
 JH15AS117YX8X7A19  Odyssey     2008  18656  29375  Fuller, Jacob           Tue, Dec 28, 2011       D25-22-02 
 JA111S136Y26825A1  Accord      2008  20140  22480  Wallace, Harry          Fri, Dec 24, 2011       D25-22-04 
 JH15AS113VX56X383  Odyssey     2005  12244  29375  Sullivan, Hazel         Wed, Dec 29, 2011       D25-22-06 
 JC131F117YX95C275  CR-V        2008  20246  30995  Mcdonald, Eduardo       Fri, Dec 24, 2011       D25-22-05 
 JB121S128X473AX57  Civic       2007  9923   16455  Mcdonald, Eduardo       Sun, Dec 26, 2011       D25-22-05 
 JD136F1151314B169  CR-Z        2009  17787  24705  Sullivan, Hazel         Fri, Dec 24, 2011       D25-22-06 
